canonical_name,name_cn,name_jp,factions,primary_faction,basis,thbwiki_url,first_appearance
梅蒂欣梅兰可莉,梅蒂欣·梅兰可莉,メディスン・メランコリー,作品首登：东方花映塚,作品首登：东方花映塚,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/梅蒂欣·梅兰可莉,东方花映塚
风见幽香,风见幽香,風見 幽香,作品首登：东方花映塚,作品首登：东方花映塚,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/风见幽香,东方花映塚
茨木华扇,茨木华扇,茨木 華扇,作品首登：东方茨歌仙,作品首登：东方茨歌仙,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/茨木华扇,东方茨歌仙
伊吹萃香,伊吹萃香,伊吹 萃香,作品首登：东方萃梦想,作品首登：东方萃梦想,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/伊吹萃香,东方萃梦想
天弓千亦,天弓千亦,天弓 千亦,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/天弓千亦,东方虹龙洞
姬虫百百世,姬虫百百世,姫虫 百々世,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/姬虫百百世,东方虹龙洞
山城高岭,山城高岭,山城 たかね,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/山城高岭,东方虹龙洞
玉造魅须丸,玉造魅须丸,玉造 魅須丸,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/玉造魅须丸,东方虹龙洞
豪德寺三花,豪德寺三花,豪徳寺 ミケ,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/豪德寺三花,东方虹龙洞
驹草山如,驹草山如,駒草 山如,作品首登：东方虹龙洞,作品首登：东方虹龙洞,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/驹草山如,东方虹龙洞
九十九八桥,九十九八桥,九十九 八橋,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/九十九八桥,东方辉针城
九十九弁弁,九十九弁弁,九十九 弁々,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/九十九弁弁,东方辉针城
今泉影狼,今泉影狼,今泉 影狼,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/今泉影狼,东方辉针城
堀川雷鼓,堀川雷鼓,堀川 雷鼓,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/堀川雷鼓,东方辉针城
少名针妙丸,少名针妙丸,少名 針妙丸,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/少名针妙丸,东方辉针城
若鹭姬,若鹭姬,わかさぎ姫,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/若鹭姬,东方辉针城
赤蛮奇,赤蛮奇,赤蛮奇,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/赤蛮奇,东方辉针城
鬼人正邪,鬼人正邪,鬼人 正邪,作品首登：东方辉针城,作品首登：东方辉针城,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/鬼人正邪,东方辉针城
奥野田美宵,奥野田美宵,奥野田 美宵,作品首登：东方醉蝶华,作品首登：东方醉蝶华,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/奥野田美宵,东方醉蝶华
本居小铃,本居小铃,本居 小鈴,作品首登：东方铃奈庵,作品首登：东方铃奈庵,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/本居小铃,东方铃奈庵
塵塚ウバメ,,塵塚 ウバメ,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/尘塚姥芽,东方锦上京
封獣チミ,,封獣 チミ,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/封兽魑魅,东方锦上京
渡里贝子,渡里贝子,渡里 ニナ,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/渡里贝子,东方锦上京
磐永阿梨夜,磐永阿梨夜,磐永 阿梨夜,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/磐永阿梨夜,东方锦上京
维缦浅间,维缦·浅间,ユイマン・浅間,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/维缦·浅间,东方锦上京
道神馴子,,道神 馴子,作品首登：东方锦上京,作品首登：东方锦上京,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/道神驯子,东方锦上京
秋穰子,秋穰子,秋 穣子,作品首登：东方风神录,作品首登：东方风神录,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/秋穰子,东方风神录
秋静叶,秋静叶,秋 静葉,作品首登：东方风神录,作品首登：东方风神录,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/秋静叶,东方风神录
无名的读书妖怪,无名的读书妖怪,,作品首登：东方香霖堂,作品首登：东方香霖堂,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/无名的读书妖怪,东方香霖堂
无名的读书妖怪（朱鹭子）,无名的读书妖怪（朱鹭子）,名無しの本読み妖怪,作品首登：东方香霖堂,作品首登：东方香霖堂,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/无名的读书妖怪,东方香霖堂
森近霖之助,森近霖之助,森近 霖之助,作品首登：东方香霖堂,作品首登：东方香霖堂,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/森近霖之助,东方香霖堂
戎璎花,戎璎花,戎 瓔花,作品首登：东方鬼形兽,作品首登：东方鬼形兽,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/戎璎花,东方鬼形兽
牛崎润美,牛崎润美,牛崎 潤美,作品首登：东方鬼形兽,作品首登：东方鬼形兽,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/牛崎润美,东方鬼形兽
博丽灵梦,博丽灵梦,博麗 霊夢,博丽神社;作品首登：东方红魔乡,博丽神社,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/博丽灵梦,东方红魔乡
高丽野阿吽,高丽野阿吽,高麗野あうん,博丽神社;作品首登：东方天空璋,博丽神社,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/高丽野阿吽,东方天空璋
云居一轮,云居一轮,雲居 一輪,命莲寺,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
云山,云山,雲山,命莲寺,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
圣白莲,圣白莲,聖 白蓮,命莲寺;作品首登：东方星莲船,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/圣白莲,东方星莲船
寅丸星,寅丸星,寅丸 星,命莲寺;作品首登：东方星莲船,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/寅丸星,东方星莲船
封兽鵺,封兽鵺,封獣 ぬえ,命莲寺;作品首登：东方星莲船,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/封兽鵺,东方星莲船
幽谷响子,幽谷响子,幽谷 響子,命莲寺;作品首登：东方神灵庙,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/幽谷响子,东方神灵庙
村纱水蜜,村纱水蜜,村紗 水蜜,命莲寺;作品首登：东方星莲船,命莲寺,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/村纱水蜜,东方星莲船
古明地恋,古明地恋,古明地 こいし,地灵殿;作品首登：东方地灵殿,地灵殿,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/古明地恋,东方地灵殿
古明地觉,古明地觉,古明地 さとり,地灵殿;作品首登：东方地灵殿,地灵殿,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/古明地觉,东方地灵殿
火焰猫燐,火焰猫燐,火焔猫 燐,地灵殿;作品首登：东方地灵殿,地灵殿,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/火焰猫燐,东方地灵殿
灵乌路空,灵乌路空,霊烏路 空,地灵殿;作品首登：东方地灵殿,地灵殿,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/灵乌路空,东方地灵殿
四季映姬夜摩仙那度,四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,地狱;作品首登：东方花映塚,地狱,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/四季映姬·夜摩仙那度,东方花映塚
小野塚小町,小野塚小町,小野塚 小町,地狱;作品首登：东方花映塚,地狱,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/小野塚小町,东方花映塚
比那名居天子,比那名居天子,比那名居 天子,天界;作品首登：东方绯想天,天界,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/比那名居天子,东方绯想天
永江衣玖,永江衣玖,永江 衣玖,天界;作品首登：东方绯想天,天界,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/永江衣玖,东方绯想天
姬海棠果,姬海棠果,姫海棠 はたて,妖怪之山;作品首登：东方文花帖DS,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/姬海棠果,东方文花帖DS
射命丸文,射命丸文,射命丸 文,妖怪之山;作品首登：东方文花帖（书籍）,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/射命丸文,东方文花帖（书籍）
河城荷取,河城荷取,河城 にとり,妖怪之山;作品首登：东方风神录,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/河城荷取,东方风神录
河童,河童,河童,妖怪之山,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
河童（含山童）,河童（含山童）,河童（山童含む）,妖怪之山,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
河童（含山童）1,河童（含山童）1,河童（山童含む）,妖怪之山,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
河童（山童）,河童（山童）,河童（山童）,妖怪之山,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
河童（山童）1,河童（山童）1,河童（山童）,妖怪之山,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,,
犬走椛,犬走椛,犬走 椛,妖怪之山;作品首登：东方风神录,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/犬走椛,东方风神录
菅牧典,菅牧典,菅牧 典,妖怪之山;作品首登：东方虹龙洞,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/菅牧典,东方虹龙洞
键山雏,键山雏,鍵山 雛,妖怪之山;作品首登：东方风神录,妖怪之山,THBWiki角色资料/原作关系的保守群体映射；可同时属于作品首登标签。,https://thbwiki.cc/键山雏,东方风神录
