region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,points,primary_count,secondary_count,selection_count,ballots,primary_rate,selection_rate,comment_count,arrangement_count,arrangement_cumulative_count,undated_arrangement_count,arrangement_total_count,source_type,catalog_matched,catalog_owner,source_row_count
cn,1,CN1,music,64,badapple,Bad Apple!!,Bad Apple!!,11,11,695.0,98.0,,695.0,6105.0,0.1410071942446043,0.11384111384111384,,,,,829.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,177,千年幻想乡,千年幻想郷　～ History of the Moon,千年幻想乡 ～ History of the Moon,12,12,661.0,51.0,,661.0,6105.0,0.07715582450832073,0.10827190827190827,,,,,1983.0,cn_normalized_workbook,1,八意永琳,1
cn,1,CN1,music,134,幽灵乐团,幽霊楽団　～ Phantom Ensemble,幽灵乐团 ～ Phantom Ensemble,13,13,651.0,99.0,,651.0,6105.0,0.15207373271889402,0.10663390663390664,,,,,2028.0,cn_normalized_workbook,1,露娜萨·普莉兹姆利巴|梅露兰·普莉兹姆利巴|莉莉卡·普莉兹姆利巴,1
cn,1,CN1,music,67,少女绮想曲,少女綺想曲,少女绮想曲,14,14,563.0,84.0,,563.0,6105.0,0.1492007104795737,0.09221949221949222,,,,,2836.0,cn_normalized_workbook,1,灵梦,1
cn,1,CN1,music,213,信仰是为了虚幻之人,信仰は儚き人間の為に,信仰是为了虚幻之人,15,15,485.0,60.0,,485.0,6105.0,0.12371134020618557,0.07944307944307945,,,,,2135.0,cn_normalized_workbook,1,东风谷早苗,1
cn,1,CN1,music,119,月时计,月時計　～ ルナ・ダイアル,月时计 ～ Luna Dial,16,16,475.0,36.0,,475.0,6105.0,0.07578947368421053,0.07780507780507781,,,,,1950.0,cn_normalized_workbook,1,十六夜咲夜,1
cn,1,CN1,music,115,明治十七年的上海爱丽丝,明治十七年の上海アリス,明治十七年的上海爱丽丝,17,17,441.0,46.0,,441.0,6105.0,0.10430839002267574,0.07223587223587223,,,,,1211.0,cn_normalized_workbook,1,红美铃,1
cn,1,CN1,music,24,恋色masterspark,恋色マスタースパーク（恋色マジック）,恋色Master spark（恋色Magic）,18,18,433.0,67.0,,433.0,6105.0,0.15473441108545036,0.07092547092547093,,,,,4193.0,cn_normalized_workbook,1,雾雨魔理沙,1
cn,1,CN1,music,193,第六十年的东方审判,六十年目の東方裁判　～ Fate of Sixty Years,第六十年的东方审判 ～ Fate of Sixty Years,19,19,428.0,32.0,,428.0,6105.0,0.07476635514018691,0.0701064701064701,,,,,1307.0,cn_normalized_workbook,1,四季映姬·夜摩仙那度,1
cn,1,CN1,music,141,少女幻葬,少女幻葬　～ Necro-Fantasy,少女幻葬 ～ Necro-Fantasy,20,20,413.0,39.0,,413.0,6105.0,0.09443099273607748,0.06764946764946765,,,,,814.0,cn_normalized_workbook,1,八云蓝,1
cn,1,CN1,music,143,necrofantasia,ネクロファンタジア,Necro-Fantasia,21,21,408.0,65.0,,408.0,6105.0,0.15931372549019607,0.06683046683046683,,,,,3319.0,cn_normalized_workbook,1,八云紫,1
cn,1,CN1,music,113,活泼的纯情小姑娘,おてんば恋娘,活泼的纯情小姑娘,22,22,406.0,59.0,,406.0,6105.0,0.14532019704433496,0.0665028665028665,,,,,3511.0,cn_normalized_workbook,1,琪露诺,1
cn,1,CN1,music,253,哈德曼的妖怪少女,ハルトマンの妖怪少女,哈德曼的妖怪少女,23,23,368.0,43.0,,368.0,6105.0,0.11684782608695653,0.06027846027846028,,,,,2820.0,cn_normalized_workbook,1,古明地恋,1
cn,1,CN1,music,248,废狱摇篮曲,廃獄ララバイ,废狱摇篮曲,24,24,344.0,45.0,,344.0,6105.0,0.1308139534883721,0.05634725634725635,,,,,906.0,cn_normalized_workbook,1,火焰猫燐,1
cn,1,CN1,music,211,妖怪之山,妖怪の山　～ Mysterious Mountain,妖怪之山 ～ Mysterious Mountain,25,25,329.0,46.0,,329.0,6105.0,0.1398176291793313,0.05389025389025389,,,,,1298.0,cn_normalized_workbook,1,姬海棠果|射命丸文,1
cn,1,CN1,music,238,东方绯想天,東方緋想天,东方绯想天,26,26,313.0,37.0,,313.0,6105.0,0.1182108626198083,0.05126945126945127,,,,,291.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,129,远野幻想物语,遠野幻想物語,远野幻想物语,27,27,307.0,28.0,,307.0,6105.0,0.09120521172638436,0.05028665028665029,,,,,1274.0,cn_normalized_workbook,1,橙,1
cn,1,CN1,music,251,灵知的太阳信仰,霊知の太陽信仰　～ Nuclear Fusion,灵知的太阳信仰 ～ Nuclear Fusion,28,28,300.0,37.0,,300.0,6105.0,0.12333333333333334,0.04914004914004914,,,,,1635.0,cn_normalized_workbook,1,灵乌路空,1
cn,1,CN1,music,125,红楼easterndream,紅楼　～ Eastern Dream...,红楼 ～ Eastern Dream...,29,29,297.0,18.0,,297.0,6105.0,0.06060606060606061,0.04864864864864865,,,,,1204.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,146,萃梦想,萃夢想,萃梦想,30,30,280.0,29.0,,280.0,6105.0,0.10357142857142858,0.04586404586404586,,,,,192.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,41,梦消失lostdream,夢消失　～ Lost Dream,梦消失 ～ Lost Dream,31,31,264.0,15.0,,264.0,6105.0,0.056818181818181816,0.043243243243243246,,,,,402.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,221,绯想天,緋想天,绯想天,32,32,261.0,30.0,,261.0,6105.0,0.11494252873563218,0.04275184275184275,,,,,146.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,136,广有射怪鸟事,広有射怪鳥事　～ Till When?,广有射怪鸟事 ～ Till When?,33,33,258.0,21.0,,258.0,6105.0,0.08139534883720931,0.04226044226044226,,,,,1355.0,cn_normalized_workbook,1,魂魄妖梦,1
cn,1,CN1,music,215,神圣庄严的古战场,神さびた古戦場　～ Suwa Foughten Field,神圣庄严的古战场 ～ Suwa Foughten Field,33,33,258.0,21.0,,258.0,6105.0,0.08139534883720931,0.04226044226044226,,,,,1257.0,cn_normalized_workbook,1,八坂神奈子,1
cn,1,CN1,music,297,desiredrive,デザイアドライブ,Desire Drive,35,35,254.0,23.0,,254.0,6105.0,0.09055118110236221,0.04160524160524161,,,,,1916.0,cn_normalized_workbook,1,霍青娥,1
cn,1,CN1,music,133,天空的花都,天空の花の都,天空的花都,36,36,251.0,24.0,,251.0,6105.0,0.09561752988047809,0.041113841113841115,,,,,1164.0,cn_normalized_workbook,1,莉莉白,1
cn,1,CN1,music,101,不可思议之国的爱丽丝,不思議の国のアリス,不可思议之国的爱丽丝,37,37,245.0,31.0,,245.0,6105.0,0.12653061224489795,0.04013104013104013,,,,,762.0,cn_normalized_workbook,1,爱丽丝·玛格特洛依德,1
cn,1,CN1,music,284,无间之钟infinitenightmare,無間の鐘　～ Infinite Nightmare,无间之钟 ～ Infinite Nightmare,38,38,241.0,30.0,,241.0,6105.0,0.12448132780082988,0.03947583947583948,,,,,586.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,207,命运的阴暗面,運命のダークサイド,命运的阴暗面,39,39,240.0,22.0,,240.0,6105.0,0.09166666666666666,0.03931203931203931,,,,,1058.0,cn_normalized_workbook,1,键山雏,1
cn,1,CN1,music,212,少女曾见的日本原风景,少女が見た日本の原風景,少女曾见的日本原风景,40,40,234.0,17.0,,234.0,6105.0,0.07264957264957266,0.03832923832923833,,,,,1479.0,cn_normalized_workbook,1,东风谷早苗,1
cn,1,CN1,music,171,令人怀念的东方之血,懐かしき東方の血　～ Old World,令人怀念的东方之血 ～ Old World,41,41,231.0,19.0,,231.0,6105.0,0.08225108225108226,0.03783783783783784,,,,,1305.0,cn_normalized_workbook,1,上白泽慧音,1
cn,1,CN1,music,244,漫游旧地狱街道,旧地獄街道を行く,漫游旧地狱街道,42,42,229.0,14.0,,229.0,6105.0,0.0611353711790393,0.03751023751023751,,,,,698.0,cn_normalized_workbook,1,星熊勇仪,1
cn,1,CN1,music,132,人偶裁判,人形裁判,人偶裁判,43,43,228.0,22.0,,228.0,6105.0,0.09649122807017543,0.03734643734643735,,,,,1975.0,cn_normalized_workbook,1,爱丽丝·玛格特洛依德,1
cn,1,CN1,music,175,狂气之瞳,狂気の瞳　～ Invisible Full Moon,狂气之瞳 ～ Invisible Full Moon,44,44,223.0,26.0,,223.0,6105.0,0.11659192825112108,0.03652743652743653,,,,,1998.0,cn_normalized_workbook,1,铃仙·优昙华院·因幡,1
cn,1,CN1,music,117,lockedgirl,ラクトガール　～ 少女密室,Locked Girl ～ 少女密室,45,45,220.0,26.0,,220.0,6105.0,0.11818181818181818,0.036036036036036036,,,,,2496.0,cn_normalized_workbook,1,帕秋莉·诺蕾姬,1
cn,1,CN1,music,206,厄神降临之路,厄神様の通り道　～ Dark Road,厄神降临之路 ～ Dark Road,46,46,218.0,18.0,,218.0,6105.0,0.08256880733944955,0.03570843570843571,,,,,1222.0,cn_normalized_workbook,1,键山雏,1
cn,1,CN1,music,2,永远之巫女,永遠の巫女,永远之巫女,47,47,216.0,29.0,,216.0,6105.0,0.13425925925925927,0.03538083538083538,,,,,417.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,209,芥川龙之介的河童,芥川龍之介の河童　～ Candid Friend,芥川龙之介的河童 ～ Candid Friend,48,48,215.0,19.0,,215.0,6105.0,0.08837209302325581,0.03521703521703522,,,,,1600.0,cn_normalized_workbook,1,河城荷取,1
cn,1,CN1,music,217,nativefaith,ネイティブフェイス,Native Faith,49,49,211.0,21.0,,211.0,6105.0,0.0995260663507109,0.034561834561834565,,,,,1966.0,cn_normalized_workbook,1,洩矢诹访子,1
cn,1,CN1,music,302,圣德传说,聖徳伝説　～ True Administrator,圣德传说 ～ True Administrator,50,50,209.0,15.0,,209.0,6105.0,0.07177033492822966,0.03423423423423423,,,,,795.0,cn_normalized_workbook,1,丰聪耳神子,1
cn,1,CN1,music,122,魔法少女们的百年祭,魔法少女達の百年祭,魔法少女们的百年祭,51,51,200.0,8.0,,200.0,6105.0,0.04,0.03276003276003276,,,,,1255.0,cn_normalized_workbook,1,芙兰朵露·斯卡蕾特|帕秋莉·诺蕾姬,1
cn,1,CN1,music,243,绿眼的嫉妒,緑眼のジェラシー,绿眼的嫉妒,52,52,197.0,22.0,,197.0,6105.0,0.1116751269035533,0.03226863226863227,,,,,1131.0,cn_normalized_workbook,1,水桥帕露西,1
cn,1,CN1,music,210,falloffall,フォールオブフォール　～ 秋めく滝,Fall of Fall ～ 秋意渐浓之瀑,53,53,195.0,24.0,,195.0,6105.0,0.12307692307692308,0.03194103194103194,,,,,1554.0,cn_normalized_workbook,1,犬走椛,1
cn,1,CN1,music,317,童祭innocenttreasures,童祭　～ Innocent Treasures,童祭 ～ Innocent Treasures,54,54,185.0,23.0,,185.0,6105.0,0.12432432432432433,0.030303030303030304,,,,,712.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,192,彼岸归航,彼岸帰航　～ Riverside View,彼岸归航 ～ Riverside View,55,55,183.0,13.0,,183.0,6105.0,0.07103825136612021,0.029975429975429974,,,,,1155.0,cn_normalized_workbook,1,小野塚小町,1
cn,1,CN1,music,151,东方萃梦想,東方萃夢想,东方萃梦想,56,56,180.0,17.0,,180.0,6105.0,0.09444444444444444,0.029484029484029485,,,,,490.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,235,有顶天变,有頂天変　～ Wonderful Heaven,有顶天变 ～ Wonderful Heaven,56,56,180.0,16.0,,180.0,6105.0,0.08888888888888889,0.029484029484029485,,,,,828.0,cn_normalized_workbook,1,比那名居天子,1
cn,1,CN1,music,135,东方妖妖梦,東方妖々夢　～ Ancient Temple,东方妖妖梦 ～ Ancient Temple,58,58,178.0,24.0,,178.0,6105.0,0.1348314606741573,0.029156429156429155,,,,,1849.0,cn_normalized_workbook,1,魂魄妖梦,1
cn,1,CN1,music,216,明日之盛昨日之俗,明日ハレの日、ケの昨日,明日之盛，昨日之俗,59,59,167.0,16.0,,167.0,6105.0,0.09580838323353294,0.027354627354627355,,,,,1369.0,cn_normalized_workbook,1,洩矢诹访子,1
cn,1,CN1,music,252,lastremote,ラストリモート,Last Remote,60,60,161.0,18.0,,161.0,6105.0,0.11180124223602485,0.026371826371826373,,,,,1602.0,cn_normalized_workbook,1,古明地恋,1
cn,1,CN1,music,291,死灵的夜樱,死霊の夜桜,死灵的夜樱,61,61,156.0,16.0,,156.0,6105.0,0.10256410256410256,0.025552825552825554,,,,,801.0,cn_normalized_workbook,1,西行寺幽幽子,1
cn,1,CN1,music,270,平安时代的外星人,平安のエイリアン,平安时代的外星人,62,62,139.0,13.0,,139.0,6105.0,0.09352517985611511,0.022768222768222768,,,,,1411.0,cn_normalized_workbook,1,封兽鵺,1
cn,1,CN1,music,343,风神少女,風神少女,风神少女,63,63,137.0,19.0,,137.0,6105.0,0.1386861313868613,0.02244062244062244,,,,,1759.0,cn_normalized_workbook,1,射命丸文,1
cn,1,CN1,music,245,大江山的花之酒宴,華のさかづき大江山,大江山的花之酒宴,64,64,134.0,10.0,,134.0,6105.0,0.07462686567164178,0.02194922194922195,,,,,669.0,cn_normalized_workbook,1,星熊勇仪,1
cn,1,CN1,music,142,妖妖跋扈,妖々跋扈　～ Who done it!,妖妖跋扈 ～ Who done it!,65,65,132.0,5.0,,132.0,6105.0,0.03787878787878788,0.021621621621621623,,,,,539.0,cn_normalized_workbook,1,八云蓝,3
cn,1,CN1,music,188,floweringnight,フラワリングナイト,Flowering Night,66,66,131.0,20.0,,131.0,6105.0,0.15267175572519084,0.021457821457821456,,,,,1798.0,cn_normalized_workbook,1,十六夜咲夜,1
cn,1,CN1,music,237,暮色苍然,暮色蒼然,暮色苍然,67,67,127.0,16.0,,127.0,6105.0,0.12598425196850394,0.020802620802620804,,,,,67.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,127,无何有之乡deepmountain,無何有の郷　～ Deep Mountain,无何有之乡 ～ Deep Mountain,68,68,121.0,5.0,,121.0,6105.0,0.04132231404958678,0.01981981981981982,,,,,1206.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,58,幻想乡lotuslandstory,幻想郷　～ Lotus Land Story,幻想乡 ～ Lotus Land Story,69,69,119.0,21.0,,119.0,6105.0,0.17647058823529413,0.019492219492219492,,,,,66.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,311,少女秘封俱乐部,少女秘封倶楽部,少女秘封俱乐部,70,70,117.0,13.0,,117.0,6105.0,0.1111111111111111,0.019164619164619166,,,,,995.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,277,悠久的蒸汽机关,悠久の蒸気機関,悠久的蒸汽机关,70,70,117.0,16.0,,117.0,6105.0,0.13675213675213677,0.019164619164619166,,,,,154.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,131,布加勒斯特的人偶师,ブクレシュティの人形師,布加勒斯特的人偶师,72,72,115.0,11.0,,115.0,6105.0,0.09565217391304348,0.018837018837018837,,,,,1343.0,cn_normalized_workbook,1,爱丽丝·玛格特洛依德,1
cn,1,CN1,music,267,法界之火,法界の火,法界之火,73,73,113.0,10.0,,113.0,6105.0,0.08849557522123894,0.01850941850941851,,,,,807.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,68,星之器,星の器　～ Casket of Star,星之器 ～ Casket of Star,74,74,111.0,12.0,,111.0,6105.0,0.10810810810810811,0.01818181818181818,,,,,947.0,cn_normalized_workbook,1,雾雨魔理沙,1
cn,1,CN1,music,37,reincarnation,リーインカーネイション,Reincarnation,75,75,110.0,12.0,,110.0,6105.0,0.10909090909090909,0.018018018018018018,,,,,575.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,118,女仆与血之怀表,メイドと血の懐中時計,女仆与血之怀表,76,76,109.0,10.0,,109.0,6105.0,0.09174311926605505,0.017854217854217855,,,,,1440.0,cn_normalized_workbook,1,十六夜咲夜,1
cn,1,CN1,music,191,今昔幻想乡,今昔幻想郷　～ Flower Land,今昔幻想乡 ～ Flower Land,77,77,106.0,14.0,,106.0,6105.0,0.1320754716981132,0.017362817362817362,,,,,951.0,cn_normalized_workbook,1,风见幽香,1
cn,1,CN1,music,36,东方妖恋谈,東方妖恋談,东方妖恋谈,78,78,102.0,5.0,,102.0,6105.0,0.049019607843137254,0.016707616707616706,,,,,392.0,cn_normalized_workbook,1,博丽灵梦,1
cn,1,CN1,music,116,伏瓦鲁魔法图书馆,ヴワル魔法図書館,伏瓦鲁魔法图书馆,78,78,102.0,10.0,,102.0,6105.0,0.09803921568627451,0.016707616707616706,,,,,1151.0,cn_normalized_workbook,1,帕秋莉·诺蕾姬,1
cn,1,CN1,music,111,妖魔夜行,妖魔夜行,妖魔夜行,78,78,102.0,6.0,,102.0,6105.0,0.058823529411764705,0.016707616707616706,,,,,1499.0,cn_normalized_workbook,1,露米娅,1
cn,1,CN1,music,249,尸体旅行,死体旅行　～ Be of good cheer!,尸体旅行 ～ Be of good cheer!,81,81,99.0,3.0,,99.0,6105.0,0.030303030303030304,0.016216216216216217,,,,,1177.0,cn_normalized_workbook,1,火焰猫燐,1
cn,1,CN1,music,205,会受稻田姬的斥责啦,稲田姫様に叱られるから,会受稻田姬的斥责啦,82,82,96.0,4.0,,96.0,6105.0,0.041666666666666664,0.015724815724815724,,,,,1155.0,cn_normalized_workbook,1,秋穰子,1
cn,1,CN1,music,275,我们的非想天则,ぼくらの非想天則,我们的非想天则,83,83,94.0,5.0,,94.0,6105.0,0.05319148936170213,0.015397215397215397,,,,,107.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,236,幼小的有顶天,幼心地の有頂天,幼小的有顶天,84,84,90.0,4.0,,90.0,6105.0,0.044444444444444446,0.014742014742014743,,,,,150.0,cn_normalized_workbook,1,比那名居天子,1
cn,1,CN1,music,307,蓬莱传说,蓬莱伝説,蓬莱传说,85,85,89.0,9.0,,89.0,6105.0,0.10112359550561797,0.014578214578214578,,,,,246.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,260,请注意万年备用伞,万年置き傘にご注意を,请注意万年备用伞,85,85,89.0,8.0,,89.0,6105.0,0.0898876404494382,0.014578214578214578,,,,,1048.0,cn_normalized_workbook,1,多多良小伞,1
cn,1,CN1,music,102,thegrimoireofalice,the Grimoire of Alice,the Grimoire of Alice,87,87,87.0,5.0,,87.0,6105.0,0.05747126436781609,0.01425061425061425,,,,,487.0,cn_normalized_workbook,1,爱丽丝·玛格特洛依德,1
cn,1,CN1,music,126,妖妖梦snoworcherrypetal,妖々夢　～ Snow or Cherry Petal,妖妖梦 ～ Snow or Cherry Petal,88,88,86.0,6.0,,86.0,6105.0,0.06976744186046512,0.014086814086814087,,,,,624.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,176,voyage1969,ヴォヤージュ1969,Voyage1969,89,89,85.0,6.0,,85.0,6105.0,0.07058823529411765,0.013923013923013924,,,,,1080.0,cn_normalized_workbook,1,蓬莱山辉夜|八意永琳,1
cn,1,CN1,music,180,extendash蓬莱人,エクステンドアッシュ　～ 蓬莱人,Extend Ash ～ 蓬莱人,90,90,84.0,4.0,,84.0,6105.0,0.047619047619047616,0.013759213759213759,,,,,1028.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,201,东之国的不眠夜,東の国の眠らない夜,东之国的不眠夜,91,91,83.0,8.0,,83.0,6105.0,0.0963855421686747,0.013595413595413596,,,,,671.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,174,灰姑娘的笼子,シンデレラケージ　～ Kagome-Kagome,灰姑娘的笼子 ～ Kagome-Kagome,92,92,77.0,4.0,,77.0,6105.0,0.05194805194805195,0.012612612612612612,,,,,1276.0,cn_normalized_workbook,1,因幡天为（因幡帝）,1
cn,1,CN1,music,304,佐渡的二岩,佐渡の二ッ岩,佐渡的二岩,93,93,75.0,4.0,,75.0,6105.0,0.05333333333333334,0.012285012285012284,,,,,667.0,cn_normalized_workbook,1,二岩猯藏,1
cn,1,CN1,music,273,你见到了那个影子吗,君はあの影を見たか,你见到了那个影子吗,93,93,75.0,8.0,,75.0,6105.0,0.10666666666666667,0.012285012285012284,,,,,47.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,257,春之港湾,春の湊に,春之港湾,93,93,75.0,3.0,,75.0,6105.0,0.04,0.012285012285012284,,,,,1167.0,cn_normalized_workbook,1,娜兹玲,1
cn,1,CN1,music,186,春色小径,春色小径　～ Colorful Path,春色小径 ～ Colorful Path,93,93,75.0,5.0,,75.0,6105.0,0.06666666666666667,0.012285012285012284,,,,,1135.0,cn_normalized_workbook,1,博丽灵梦,1
cn,1,CN1,music,145,樱花樱花japanizedream,さくらさくら　～ Japanize Dream...,樱花樱花 ～ Japanize Dream...,97,97,73.0,6.0,,73.0,6105.0,0.0821917808219178,0.011957411957411958,,,,,975.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,169,夜雀的歌声,夜雀の歌声　～ Night Bird,夜雀的歌声 ～ Night Bird,98,98,71.0,4.0,,71.0,6105.0,0.056338028169014086,0.01162981162981163,,,,,802.0,cn_normalized_workbook,1,米斯蒂娅·萝蕾拉,1
cn,1,CN1,music,166,永夜抄easternnight,永夜抄　～ Eastern Night.,永夜抄 ～ Eastern Night.,99,99,69.0,7.0,,69.0,6105.0,0.10144927536231885,0.011302211302211302,,,,,624.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,39,tabularasa空白少女,Tabula rasa　～ 空白少女,Tabula rasa ～ 空白少女,100,100,65.0,6.0,,65.0,6105.0,0.09230769230769231,0.010647010647010647,,,,,143.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,376,二色莲花蝶,二色蓮花蝶,二色莲花蝶,100,100,65.0,4.0,,65.0,6105.0,0.06153846153846154,0.010647010647010647,,,,,929.0,cn_normalized_workbook,1,灵梦,1
cn,1,CN1,music,288,magusnight,メイガスナイト,Magus Night,102,102,60.0,5.0,,60.0,6105.0,0.08333333333333333,0.009828009828009828,,,,,971.0,cn_normalized_workbook,1,雾雨魔理沙,1
cn,1,CN1,music,172,plainasia,プレインエイジア,Plain Asia,102,102,60.0,5.0,,60.0,6105.0,0.08333333333333333,0.009828009828009828,,,,,1268.0,cn_normalized_workbook,1,上白泽慧音,1
cn,1,CN1,music,324,最澄澈的空与海,最も澄みわたる空と海,最澄澈的空与海,102,102,60.0,9.0,,60.0,6105.0,0.15,0.009828009828009828,,,,,268.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,109,比赤色更红的梦,赤より紅い夢,比赤色更红的梦,102,102,60.0,5.0,,60.0,6105.0,0.08333333333333333,0.009828009828009828,,,,,527.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,139,borderoflife,ボーダーオブライフ,Border of Life,106,106,58.0,4.0,,58.0,6105.0,0.06896551724137931,0.0095004095004095,,,,,394.0,cn_normalized_workbook,1,西行寺幽幽子,1
cn,1,CN1,music,170,已经只能听见歌声了,もう歌しか聞こえない,已经只能听见歌声了,106,106,58.0,4.0,,58.0,6105.0,0.06896551724137931,0.0095004095004095,,,,,1204.0,cn_normalized_workbook,1,米斯蒂娅·萝蕾拉,1
cn,1,CN1,music,375,魔女们的舞会,魔女達の舞踏会,魔女们的舞会,108,108,56.0,9.0,,56.0,6105.0,0.16071428571428573,0.009172809172809172,,,,,341.0,cn_normalized_workbook,1,魔理沙,1
cn,1,CN1,music,300,大神神话传,大神神話伝,大神神话传,109,109,55.0,3.0,,55.0,6105.0,0.05454545454545454,0.009009009009009009,,,,,518.0,cn_normalized_workbook,1,物部布都,1
cn,1,CN1,music,298,古老的元神,古きユアンシェン,古老的元神,110,110,54.0,4.0,,54.0,6105.0,0.07407407407407407,0.008845208845208846,,,,,747.0,cn_normalized_workbook,1,霍青娥,1
cn,1,CN1,music,149,御伽之国的鬼岛,御伽の国の鬼が島　～ Missing Power,御伽之国的鬼岛 ～ Missing Power,111,111,53.0,4.0,,53.0,6105.0,0.07547169811320754,0.008681408681408681,,,,,487.0,cn_normalized_workbook,1,伊吹萃香,1
cn,1,CN1,music,386,樱花之恋塚flowerofjapan,,樱花之恋塚　～ Flower of Japan,112,112,50.0,5.0,,50.0,6105.0,0.1,0.00819000819000819,,,,,391.0,cn_normalized_workbook,,,1
cn,1,CN1,music,17,博丽easternwind,博麗　～ Eastern Wind,博丽 ～ Eastern Wind,113,113,49.0,4.0,,49.0,6105.0,0.08163265306122448,0.008026208026208027,,,,,112.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,369,魔法少女十字军,魔法少女十字軍,魔法少女十字军,114,114,46.0,2.0,,46.0,6105.0,0.043478260869565216,0.007534807534807535,,,,,185.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,332,未知之花魅知之旅,未知の花 魅知の旅,未知之花 魅知之旅,115,115,45.0,7.0,,45.0,6105.0,0.15555555555555556,0.007371007371007371,,,,,261.0,cn_normalized_workbook,1,,1
