region,round,round_label,name_jp,name_cn,occurrence_count,rounds
cn,8,CN8,,夜晚无法入睡,1,CN8
cn,8,CN8,,天衣无缝（天衣无缝　～ Yellow Lily）,1,CN8
cn,8,CN8,,容貌错乱　～ Horrible Night,1,CN8
cn,8,CN8,,幻想科学　～ Doll's Phantom,1,CN8
cn,8,CN8,,异变的种子,1,CN8
cn,8,CN8,,心绮楼演舞,1,CN8
cn,8,CN8,,星幽剑士,1,CN8
cn,8,CN8,,曲名不详,1,CN8
cn,8,CN8,,未知物Ｘ　～ Unfound Adventure（未知物X　～ Occultly Madness）,1,CN8
cn,8,CN8,,机械马戏团　～ Reverie（Circus Reverie）,1,CN8
cn,8,CN8,,梦世界民俗,1,CN8
cn,8,CN8,,樱花之恋塚　～ Flower of Japan,1,CN8
cn,8,CN8,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN8
cn,8,CN8,,疑惑的萌芽,1,CN8
cn,8,CN8,,神秘的人偶　～ God Knows,1,CN8
cn,8,CN8,,花映塚 ～ after Higan Retour,1,CN8
cn,8,CN8,,花映塚　～ Higan Retour,1,CN8
cn,8,CN8,,通往真相的枝叶,1,CN8
cn,8,CN8,,飞舞飘散的凭依华吹雪,1,CN8
cn,9,CN9,,Lastword发动,1,CN9
cn,9,CN9,,Occult Attract,1,CN9
cn,9,CN9,,Plastic Space,1,CN9
cn,9,CN9,,争奇斗艳的凭依华,1,CN9
cn,9,CN9,,亿万劫之钟,1,CN9
cn,9,CN9,,凭依华,1,CN9
cn,9,CN9,,出演者选择,1,CN9
cn,9,CN9,,同归于尽,1,CN9
cn,9,CN9,,含苞待放的凭依华,1,CN9
cn,9,CN9,,地之色乃黄色（地之色乃黄色　～ Primrose）,1,CN9
cn,9,CN9,,夜晚无法入睡,1,CN9
cn,9,CN9,,天衣无缝（天衣无缝　～ Yellow Lily）,1,CN9
cn,9,CN9,,容貌错乱　～ Horrible Night,1,CN9
cn,9,CN9,,幻想科学　～ Doll's Phantom,1,CN9
cn,9,CN9,,异变的种子,1,CN9
cn,9,CN9,,心绮楼演舞,1,CN9
cn,9,CN9,,星幽剑士,1,CN9
cn,9,CN9,,曲名不详,1,CN9
cn,9,CN9,,曲名不详(刚欲异闻标题曲),1,CN9
cn,9,CN9,,未知物Ｘ　～ Unfound Adventure（未知物X　～ Occultly Madness）,1,CN9
cn,9,CN9,,机械马戏团　～ Reverie（Circus Reverie）,1,CN9
cn,9,CN9,,梦世界民俗,1,CN9
cn,9,CN9,,樱花之恋塚　～ Flower of Japan,1,CN9
cn,9,CN9,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN9
cn,9,CN9,,疑惑的萌芽,1,CN9
cn,9,CN9,,神秘的人偶　～ God Knows,1,CN9
cn,9,CN9,,花映塚 ～ after Higan Retour,1,CN9
cn,9,CN9,,花映塚　～ Higan Retour,1,CN9
cn,9,CN9,,通往真相的枝叶,1,CN9
cn,9,CN9,,飞舞飘散的凭依华吹雪,1,CN9
cn,9,CN9,,黄昏的魔术师,1,CN9
cn,10,CN10,,Lastword发动,1,CN10
cn,10,CN10,,My Maid,1,CN10
cn,10,CN10,,Occult Attract,1,CN10
cn,10,CN10,,Plastic Space,1,CN10
cn,10,CN10,,争奇斗艳的凭依华,1,CN10
cn,10,CN10,,亿万劫之钟,1,CN10
cn,10,CN10,,凭依华,1,CN10
cn,10,CN10,,出演者选择,1,CN10
cn,10,CN10,,同归于尽,1,CN10
cn,10,CN10,,含苞待放的凭依华,1,CN10
cn,10,CN10,,地之色乃黄色（地之色乃黄色　～ Primrose）,1,CN10
cn,10,CN10,,天衣无缝（天衣无缝　～ Yellow Lily）,1,CN10
cn,10,CN10,,容貌错乱　～ Horrible Night,1,CN10
cn,10,CN10,,幻想科学　～ Doll's Phantom,1,CN10
cn,10,CN10,,异变的种子,1,CN10
cn,10,CN10,,心绮楼演舞,1,CN10
cn,10,CN10,,星幽剑士,1,CN10
cn,10,CN10,,曲名不详,1,CN10
cn,10,CN10,,未知物Ｘ　～ Unfound Adventure（未知物X　～ Occultly Madness）,1,CN10
cn,10,CN10,,机械马戏团　～ Reverie（Circus Reverie）,1,CN10
cn,10,CN10,,梦世界民俗,1,CN10
cn,10,CN10,,樱花之恋塚　～ Flower of Japan,1,CN10
cn,10,CN10,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN10
cn,10,CN10,,疑惑的萌芽,1,CN10
cn,10,CN10,,神秘的人偶　～ God Knows,1,CN10
cn,10,CN10,,花映塚 ～ after Higan Retour,1,CN10
cn,10,CN10,,花映塚　～ Higan Retour,1,CN10
cn,10,CN10,,通往真相的枝叶,1,CN10
cn,10,CN10,,飞舞飘散的凭依华吹雪,1,CN10
cn,10,CN10,,黄昏的魔术师,1,CN10
cn,11,CN11,,Lastword发动,1,CN11
cn,11,CN11,,My Maid,1,CN11
cn,11,CN11,,Occult Attract,1,CN11
cn,11,CN11,,Plastic Space,1,CN11
cn,11,CN11,,两方世界,1,CN11
cn,11,CN11,,争奇斗艳的凭依华,1,CN11
cn,11,CN11,,亿万劫之钟,1,CN11
cn,11,CN11,,凭依华,1,CN11
cn,11,CN11,,出演者选择,1,CN11
cn,11,CN11,,同归于尽,1,CN11
cn,11,CN11,,含苞待放的凭依华,1,CN11
cn,11,CN11,,地之色乃黄色（地之色乃黄色　～ Primrose）,1,CN11
cn,11,CN11,,天衣无缝（天衣无缝　～ Yellow Lily）,1,CN11
cn,11,CN11,,容貌错乱　～ Horrible Night,1,CN11
cn,11,CN11,,幻想科学　～ Doll's Phantom,1,CN11
cn,11,CN11,,开演在即,1,CN11
cn,11,CN11,,异变的种子,1,CN11
cn,11,CN11,,心绮楼演舞,1,CN11
cn,11,CN11,,星幽剑士,1,CN11
cn,11,CN11,,曲名不详,1,CN11
cn,11,CN11,,未知物Ｘ　～ Unfound Adventure（未知物X　～ Occultly Madness）,1,CN11
cn,11,CN11,,机械马戏团　～ Reverie（Circus Reverie）,1,CN11
cn,11,CN11,,梦世界民俗,1,CN11
cn,11,CN11,,樱花之恋塚　～ Flower of Japan,1,CN11
cn,11,CN11,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN11
cn,11,CN11,,畜生们的小憩,1,CN11
cn,11,CN11,,疑惑的萌芽,1,CN11
cn,11,CN11,,神秘的人偶　～ God Knows,1,CN11
cn,11,CN11,,胜利对话,1,CN11
cn,11,CN11,,花映塚 ～ after Higan Retour,1,CN11
cn,11,CN11,,花映塚　～ Higan Retour,1,CN11
cn,11,CN11,,通往真相的枝叶,1,CN11
cn,11,CN11,,飞舞飘散的凭依华吹雪,1,CN11
jp,3,JP3,幻想科学 ～ Doll's Phantom,幻想科学 ～ Doll's Phantom,1,JP3
jp,3,JP3,星幽天使,星幽天使,1,JP3
jp,3,JP3,桜花之恋塚 ～ Japanese Flower,樱花之恋塚 ～ Flower of Japan,1,JP3
jp,4,JP4,幻想機械 ～ Phantom Factory(夢機械 ～ Innocent Power),幻想机械　～ Phantom Factory（梦机械　～ Innocent Power),1,JP4
jp,4,JP4,幻想科学 ～ Doll's Phantom,幻想科学　～ Doll's Phantom,1,JP4
jp,4,JP4,花映塚 ～ Higan Retour,花映塚　～ Higan Retour,1,JP4
jp,5,JP5,Plastic Space,Plastic Space,1,JP5
jp,5,JP5,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom),1,JP5
jp,5,JP5,星幽天使,星幽天使,1,JP5
jp,5,JP5,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP5
jp,6,JP6,Plastic Space,Plastic Space,1,JP6
jp,6,JP6,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom),1,JP6
jp,6,JP6,星幽天使,星幽天使,1,JP6
jp,6,JP6,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP6
jp,7,JP7,Plastic Space,Plastic Space,1,JP7
jp,7,JP7,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom),1,JP7
jp,7,JP7,星幽天使,星幽天使,1,JP7
jp,7,JP7,アンノウンX 〜 Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP7
jp,7,JP7,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP7
jp,8,JP8,Plastic Space,Plastic Space,1,JP8
jp,8,JP8,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom),1,JP8
jp,8,JP8,星幽天使,星幽天使,1,JP8
jp,8,JP8,アンノウンX 〜 Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP8
jp,8,JP8,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP8
jp,9,JP9,Plastic Space,Plastic Space,1,JP9
jp,9,JP9,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom）,1,JP9
jp,9,JP9,星幽天使,星幽天使,1,JP9
jp,9,JP9,アンノウンX 〜 Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP9
jp,9,JP9,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP9
jp,10,JP10,Plastic Space,Plastic Space,1,JP10
jp,10,JP10,演者選択,出演者选择,1,JP10
jp,10,JP10,幻想機械 〜 Phantom Factory(幻想科学 〜 Doll's Phantom),幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom）,1,JP10
jp,10,JP10,星幽天使,星幽天使,1,JP10
jp,10,JP10,アンノウンX 〜 Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP10
jp,10,JP10,花映塚 〜 Higan Retour,花映塚　～ Higan Retour,1,JP10
jp,11,JP11,Plastic Space,Plastic Space,1,JP11
jp,11,JP11,演者選択,出演者选择,1,JP11
jp,11,JP11,幻想機械 ～ Phantom Factory（幻想科学 ～ Doll's Phantom）,幻想机械　～ Phantom Factory（幻想科学　～ Doll's Phantom）,1,JP11
jp,11,JP11,アンノウンX ～ Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP11
jp,12,JP12,Plastic Space,Plastic Space,1,JP12
jp,12,JP12,演者選択,出演者选择,1,JP12
jp,12,JP12,アンノウンX ～ Unfound Adventure,未知物Ｘ　～ Unfound Adventure,1,JP12
jp,13,JP13,Plastic Space,Plastic Space,1,JP13
jp,13,JP13,演者選択,出演者选择,1,JP13
jp,14,JP14,Plastic Space,Plastic Space,1,JP14
jp,15,JP15,Plastic Space,Plastic Space,1,JP15
jp,15,JP15,演者選択,出演者选择,1,JP15
jp,16,JP16,Plastic Space,Plastic Space,1,JP16
jp,16,JP16,演者選択,出演者选择,1,JP16
jp,17,JP17,Plastic Space,Plastic Space,1,JP17
jp,17,JP17,演者選択,出演者选择,1,JP17
jp,18,JP18,Plastic Space,Plastic Space,1,JP18
jp,18,JP18,演者選択,出演者选择,1,JP18
jp,19,JP19,Plastic Space,Plastic Space,1,JP19
jp,19,JP19,演者選択,出演者选择,1,JP19
jp,21,JP21,Plastic Space,,1,JP21
jp,21,JP21,どうせなら命を賭けて謎を解け,,1,JP21
jp,21,JP21,セイクリッドフォレスト,,1,JP21
jp,21,JP21,プレステ・ジョアンの黄金境,,1,JP21
jp,21,JP21,例え世界から忘れられても,,1,JP21
jp,21,JP21,愛おしき塵の住処,,1,JP21
jp,21,JP21,森にはお化けがいるよ,,1,JP21
jp,21,JP21,演者選択,,1,JP21
jp,21,JP21,錦の上の巫女,,1,JP21
jp,22,JP22,Plastic Space,,1,JP22
jp,22,JP22,どうせなら命を賭けて謎を解け,,1,JP22
jp,22,JP22,セイクリッドフォレスト,,1,JP22
jp,22,JP22,ピラミッドの神域,,1,JP22
jp,22,JP22,ファンタスティックドリフト,,1,JP22
jp,22,JP22,フォーカラーラビリンス,,1,JP22
jp,22,JP22,プレステ・ジョアンの黄金境,,1,JP22
jp,22,JP22,不変の日常,,1,JP22
jp,22,JP22,例え世界から忘れられても,,1,JP22
jp,22,JP22,失敗を尊ぶ人類に、次の二千年を,,1,JP22
jp,22,JP22,奈良異界公園,,1,JP22
jp,22,JP22,愛おしき塵の住処,,1,JP22
jp,22,JP22,愛おしき日常,,1,JP22
jp,22,JP22,文化計画都市　霊長新益京,,1,JP22
jp,22,JP22,森にはお化けがいるよ,,1,JP22
jp,22,JP22,演者選択,,1,JP22
jp,22,JP22,生と死のある世界へ,,1,JP22
jp,22,JP22,盧舎那仏遺構,,1,JP22
jp,22,JP22,美しく心地の良い犯罪,,1,JP22
jp,22,JP22,記憶の深海に沈む少女,,1,JP22
jp,22,JP22,錦の上の巫女,,1,JP22
