round,topic,source_question_id,question,rows,numeric_rows,rows_with_denominator,included_in_any_comparable_trend,trend_status,exclusion_reason,source_url
6,cognition,jp6:q:6bc906650360,8.東方を知った時期,11,11,11,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,magazine,jp6:q:77e008c7623d,9.購読している雑誌・所持している書籍,10,10,10,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,main_character,jp6:q:85d8f14f748b,4.メイン使用キャラ,21,21,21,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote6/result_anq.html
6,other,jp6:q:ebed4a2ab4f2,5.東方緋想天の対戦について,3,3,3,False,raw_only_one_off_or_unmapped,one-off numeric question or component outside a repeatable cross-round definition,http://thwiki.info/th/vote6/result_anq.html
6,played_title,jp6:q:0819d4ec7362,2.プレイしたことがある作品,19,19,19,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,sex,jp6:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,trigger,jp6:q:0a3b3b3f8778,7.東方を知った場所,13,13,13,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,work_rating,jp6:q:cc4902a8011f,6.各作品の評価(5段階),10,10,10,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote6/result_anq.html
7,age,jp7:q:31ad93ca0306,1.プレイヤー層調査,62,62,62,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,charm,jp7:q:e188e275fa70,8.東方の特に魅力を感じている所(最大3つまで選択),13,13,13,False,raw_only_no_two_round_series,no same-definition option series appears in at least two rounds,http://thwiki.info/th/vote7/result_anq.html
7,cleared_title,jp7:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),61,61,61,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,cognition,jp7:q:2a89dcedda23,7.東方を知った時期,12,12,12,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,main_character,jp7:q:85d8f14f748b,4.メイン使用キャラ,26,26,26,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote7/result_anq.html
7,played_title,jp7:q:0819d4ec7362,2.プレイしたことがある作品,23,23,23,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,sex,jp7:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,trigger,jp7:q:7ffd30f17ce5,6.東方を知った場所,13,13,13,True,included_in_comparable_trend,,http://thwiki.info/th/vote7/result_anq.html
7,work_rating,jp7:q:ff067c7be085,5.各作品の評価(5段階),15,15,15,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote7/result_anq.html
8,age,jp8:q:31ad93ca0306,1.プレイヤー層調査,62,62,62,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,cleared_title,jp8:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),56,56,56,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,favorite_work,jp8:q:dbcc7108829e,6.シリーズ中(ゲーム・連載作品)で気に入っている作品を順に3つ選んでください,69,69,69,False,raw_only_incompatible_repeated_design,similarly themed rounds use materially different question/ranking definitions,http://thwiki.info/th/vote8/result_anq.html
8,magazine,jp8:q:d9d5a5b6119a,8.購読している雑誌・所持している書籍,8,8,8,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,other,jp8:q:f0d466de7034,7.年間で東方関係に使用している金額,12,12,12,False,raw_only_one_off_or_unmapped,one-off numeric question or component outside a repeatable cross-round definition,http://thwiki.info/th/vote8/result_anq.html
8,played_title,jp8:q:0819d4ec7362,2.プレイしたことがある作品,27,27,27,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,sex,jp8:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,trigger,jp8:q:2045ac6000cc,5.東方を知った場所,15,15,15,True,included_in_comparable_trend,,http://thwiki.info/th/vote8/result_anq.html
8,work_rating,jp8:q:f5304cf7ca7f,4.各作品の評価(5段階),10,10,10,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote8/result_anq.html
9,age,jp9:q:31ad93ca0306,1.プレイヤー層調査,62,62,62,True,included_in_comparable_trend,,http://thwiki.info/th/vote9/result_anq.html
9,cleared_title,jp9:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),85,85,85,True,included_in_comparable_trend,,http://thwiki.info/th/vote9/result_anq.html
9,event_attendance,jp9:q:d726e1e6c8c6,8.東方の同人イベント(コミケ等オールジャンル含む)への過去1年の参加回数とサークル参加の有無,23,23,23,False,raw_only_incompatible_repeated_design,similarly themed rounds use materially different question/ranking definitions,http://thwiki.info/th/vote9/result_anq.html
9,magazine,jp9:q:c20ae547a0f3,8.購読している雑誌・所持している書籍/CD,4,4,0,False,raw_only_no_two_round_series,no same-definition option series appears in at least two rounds,http://thwiki.info/th/vote9/result_anq.html
9,main_character,jp9:q:85d8f14f748b,4.メイン使用キャラ,4,4,4,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote9/result_anq.html
9,other,jp9:q:6394dc70d0ed,7.シリーズ中で、構成する要素別に好きな作品,171,171,171,False,raw_only_one_off_or_unmapped,one-off numeric question or component outside a repeatable cross-round definition,http://thwiki.info/th/vote9/result_anq.html
9,play_time,jp9:q:7b2e021c01c8,6.各作品の総プレイ時間,144,144,144,False,raw_only_no_two_round_series,no same-definition option series appears in at least two rounds,http://thwiki.info/th/vote9/result_anq.html
9,played_title,jp9:q:0819d4ec7362,2.プレイしたことがある作品,29,29,29,True,included_in_comparable_trend,,http://thwiki.info/th/vote9/result_anq.html
9,sex,jp9:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote9/result_anq.html
9,work_rating,jp9:q:543f1015dc6a,5.作品の評価(5段階),5,5,5,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote9/result_anq.html
10,age,jp10:q:31ad93ca0306,1.プレイヤー層調査,62,62,62,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,cleared_title,jp10:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),73,73,73,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,cognition,jp10:q:2a89dcedda23,7.東方を知った時期,15,15,15,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,magazine,jp10:q:c20ae547a0f3,8.購読している雑誌・所持している書籍/CD,5,5,5,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,main_character,jp10:q:85d8f14f748b,4.メイン使用キャラ,16,16,16,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote10/result_anq.html
10,played_title,jp10:q:0819d4ec7362,2.プレイしたことがある作品,33,33,33,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,sex,jp10:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote10/result_anq.html
10,work_rating,jp10:q:543f1015dc6a,5.作品の評価(5段階),10,10,10,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote10/result_anq.html
11,age,jp11:q:274b3674f9ce,1.年齢,105,105,105,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,charm,jp11:q:b388dbde8467,4.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,cleared_title,jp11:q:773de04257d5,3.ノーコンテニューでクリア出来た難易度,68,68,68,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,cognition,jp11:q:acbf9333194a,6.東方Projectを知った時期,17,17,17,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,cross_tab,jp11:q:001d4a90fc2f,6.東方Projectを知った時期(年齢別),170,170,170,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",http://thwiki.info/th/vote11/result_questionnaire.php
11,cross_tab,jp11:q:b83123f0e77b,6.東方Projectをきっかけ時期(知った時期別),221,221,221,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",http://thwiki.info/th/vote11/result_questionnaire.php
11,event_attendance,jp11:q:626303bea0f5,8.第12回博麗神社例大祭に参加しましたか?(掛け持ちだった人は好きな方でご回答ください),5,5,5,False,raw_only_incompatible_repeated_design,similarly themed rounds use materially different question/ranking definitions,http://thwiki.info/th/vote11/result_questionnaire.php
11,magazine,jp11:q:268723116fb1,5.現在購読している雑誌連載作品,6,6,6,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,sex,jp11:q:d7532fed81fc,2.性別,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,trigger,jp11:q:9518b24f776f,7.東方Projectを知ったきっかけ,13,13,13,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
11,voted,jp11:q:bc949926c375,9.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,http://thwiki.info/th/vote11/result_questionnaire.php
12,age,jp12:q:0ee4c3df18cf,01.年齢,67,67,67,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,charm,jp12:q:8ddf31af19a5,06.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,cleared_title,jp12:q:b2adb3d18001,04.ノーコンテニューでクリアできた難易度,66,66,66,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,cognition,jp12:q:e9b488e7eb39,07.東方Projectを知った時期,18,18,18,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,cross_tab,jp12:q:369b2cb84dbe,07.年齢(東方Projectを知った時期別),180,180,180,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",http://thwiki.info/th/vote12/result_list_questionnaire.php
12,cross_tab,jp12:q:e33418f8fa91,08.東方を知ったきっかけ(東方Projectを知った時期別),216,216,216,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",http://thwiki.info/th/vote12/result_list_questionnaire.php
12,intention,jp12:q:4881f73fac81,09.コミケや例大祭など同人誌即売会に参加する際の目当て(複数回答可),14,14,14,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,location,jp12:q:2a29091b25eb,03.お住まいの地域,21,21,21,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,magazine,jp12:q:c20824a4b7b7,05.現在購読している雑誌連載作品,8,8,8,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,sex,jp12:q:9bc643340549,02.性別,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,trigger,jp12:q:816b7f0c5953,08.東方Projectを知ったきっかけ,12,12,12,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
12,voted,jp12:q:277138a751fd,10.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,http://thwiki.info/th/vote12/result_list_questionnaire.php
13,age,jp13:q:0ee4c3df18cf,01.年齢,75,75,75,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,charm,jp13:q:8ddf31af19a5,06.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,cleared_title,jp13:q:b2adb3d18001,04.ノーコンテニューでクリアできた難易度,66,66,66,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,cognition,jp13:q:e9b488e7eb39,07.東方Projectを知った時期,19,19,19,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,cross_tab,jp13:q:369b2cb84dbe,07.年齢(東方Projectを知った時期別),190,190,190,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result13/result_list_questionnaire.php
13,cross_tab,jp13:q:e33418f8fa91,08.東方を知ったきっかけ(東方Projectを知った時期別),247,247,247,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result13/result_list_questionnaire.php
13,intention,jp13:q:4881f73fac81,09.コミケや例大祭など同人誌即売会に参加する際の目当て(複数回答可),14,14,14,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,location,jp13:q:2a29091b25eb,03.お住まいの地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,magazine,jp13:q:c20824a4b7b7,05.現在購読している雑誌連載作品,8,8,8,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,sex,jp13:q:9bc643340549,02.性別,2,2,2,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,trigger,jp13:q:816b7f0c5953,08.東方Projectを知ったきっかけ,13,13,13,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
13,voted,jp13:q:277138a751fd,10.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,https://toho-vote.info/result13/result_list_questionnaire.php
14,age,jp14:q:0ee4c3df18cf,01.年齢,68,68,68,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,charm,jp14:q:8ddf31af19a5,06.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,cleared_title,jp14:q:b2adb3d18001,04.ノーコンテニューでクリアできた難易度,72,72,72,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,cognition,jp14:q:e9b488e7eb39,07.東方Projectを知った時期,20,20,20,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,cross_tab,jp14:q:369b2cb84dbe,07.年齢(東方Projectを知った時期別),21,21,0,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result14/result_list_questionnaire.php
14,cross_tab,jp14:q:e33418f8fa91,08.東方を知ったきっかけ(東方Projectを知った時期別),20,20,0,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result14/result_list_questionnaire.php
14,intention,jp14:q:4881f73fac81,09.コミケや例大祭など同人誌即売会に参加する際の目当て(複数回答可),15,15,15,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,location,jp14:q:2a29091b25eb,03.お住まいの地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,magazine,jp14:q:c20824a4b7b7,05.現在購読している雑誌連載作品,8,8,8,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,sex,jp14:q:9bc643340549,02.性別,2,2,2,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,trigger,jp14:q:816b7f0c5953,08.東方Projectを知ったきっかけ,13,13,13,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
14,voted,jp14:q:277138a751fd,10.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,https://toho-vote.info/result14/result_list_questionnaire.php
15,age,jp15:q:0ee4c3df18cf,01.年齢,106,106,106,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,charm,jp15:q:8ddf31af19a5,06.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,cleared_title,jp15:q:b2adb3d18001,04.ノーコンテニューでクリアできた難易度,72,72,72,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,cognition,jp15:q:e9b488e7eb39,07.東方Projectを知った時期,20,20,20,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,cross_tab,jp15:q:e33418f8fa91,08.東方を知ったきっかけ(東方Projectを知った時期別),247,247,247,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result15/result_list_questionnaire.php
15,intention,jp15:q:4881f73fac81,09.コミケや例大祭など同人誌即売会に参加する際の目当て(複数回答可),15,15,15,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,location,jp15:q:2a29091b25eb,03.お住まいの地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,magazine,jp15:q:c20824a4b7b7,05.現在購読している雑誌連載作品,8,8,8,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,sex,jp15:q:9bc643340549,02.性別,2,2,2,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,trigger,jp15:q:816b7f0c5953,08.東方Projectを知ったきっかけ,13,13,13,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
15,voted,jp15:q:277138a751fd,10.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,https://toho-vote.info/result15/result_list_questionnaire.php
16,age,jp16:q:0ee4c3df18cf,01.年齢,64,64,64,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,charm,jp16:q:8ddf31af19a5,06.東方Projectに魅力を感じているところ(複数回答可),7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,cleared_title,jp16:q:b2adb3d18001,04.ノーコンテニューでクリアできた難易度,78,78,78,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,cognition,jp16:q:e9b488e7eb39,07.東方Projectを知った時期,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,cross_tab,jp16:q:e33418f8fa91,08.東方を知ったきっかけ(東方Projectを知った時期別),294,294,294,False,excluded_cross_tab,"aggregate cross-tab retained, but not joined into an individual response path",https://toho-vote.info/result16/result_list_questionnaire.php
16,intention,jp16:q:4881f73fac81,09.コミケや例大祭など同人誌即売会に参加する際の目当て(複数回答可),15,15,15,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,location,jp16:q:2a29091b25eb,03.お住まいの地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,magazine,jp16:q:c20824a4b7b7,05.現在購読している雑誌連載作品,8,8,8,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,sex,jp16:q:9bc643340549,02.性別,2,2,2,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,trigger,jp16:q:816b7f0c5953,08.東方Projectを知ったきっかけ,14,14,14,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
16,voted,jp16:q:277138a751fd,10.これまでに東方Project(シリーズ)人気投票へ投票したことはありますか?,3,3,3,True,included_in_comparable_trend,,https://toho-vote.info/result16/result_list_questionnaire.php
17,age,jp17:age,年齢,62,62,62,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,charm,jp17:charm,東方Projectに魅力を感じているところ,7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,cleared_title,jp17:cleared_title,作品別ノーコンティニュー到達難易度,84,84,84,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,cognition,jp17:cognition,東方Projectを知った時期,22,22,22,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,intention,jp17:intention,同人誌即売会に参加する際の目的,14,14,14,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,location,jp17:location,居住地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,magazine,jp17:magazine,公式連載作品の購読・閲覧状況,7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,sex,jp17:sex,性別,2,2,2,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,trigger,jp17:trigger,東方Projectを知ったきっかけ,14,14,14,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
17,voted,jp17:voted,過去の人気投票参加経験,3,3,3,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-DRU1OYTt.js
18,age,jp18:age,年齢,65,65,65,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
18,charm,jp18:charm,東方Projectに魅力を感じているところ,7,7,7,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
18,cleared_title,jp18:cleared_title,作品別ノーコンティニュー到達難易度,84,84,84,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
18,cognition,jp18:cognition,東方Projectを知った時期,22,22,22,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
18,intention,jp18:intention,同人誌即売会に参加する際の目的,14,14,14,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
18,location,jp18:location,居住地域,21,21,21,True,included_in_comparable_trend,,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
