id,index,name,first,weight,cname,imp,total,ratio,tratio,fratio
238,36,東方緋想天,54,416,东方绯想天,,362,14.92,7.109999999999999,1.15
326,37,幻想浄瑠璃,21,376,幻想净琉璃,（含天邪鬼版本）,355,5.92,6.97,0.44999999999999996
369,38,故郷の星が映る海,20,368,故乡之星倒映之海,,348,5.75,6.83,0.43
252,39,ラストリモート,41,387,Last Remote,,346,11.85,6.79,0.8699999999999999
115,40,明治十七年の上海アリス,24,366,明治十七年的上海爱丽丝,（含蓬莱人形版本）,342,7.02,6.710000000000001,0.51
133,41,天空の花の都,27,367,天空的花都,,340,7.94,6.67,0.5700000000000001
212,42,少女が見た日本の原風景,22,350,少女曾见的日本原风景,,328,6.71,6.4399999999999995,0.47000000000000003
364,42,永遠の春夢,17,345,永远的春梦,,328,5.18,6.4399999999999995,0.36
113,44,おてんば恋娘,38,356,活泼的纯情小姑娘,（含花映塚、非想天则、文花帖书籍版本）,318,11.95,6.239999999999999,0.8099999999999999
368,44,星条旗のピエロ,10,328,星条旗的小丑,,318,3.14,6.239999999999999,0.21
244,46,旧地獄街道を行く,14,326,漫游旧地狱街道,,312,4.49,6.12,0.3
210,47,フォールオブフォール　～ 秋めく滝,37,344,Fall of Fall ～ 秋意渐浓之瀑,,307,12.05,6.03,0.79
151,47,東方萃夢想,25,332,东方萃梦想,,307,8.14,6.03,0.53
192,49,彼岸帰航　～ Riverside View,12,312,彼岸归航　～ Riverside View,（含绯想天、卯酉东海道版本）,300,4,5.89,0.26
339,50,永遠の三日天下,13,306,永远的三日天下,,293,4.44,5.75,0.27999999999999997
221,51,緋想天,35,304,绯想天,,269,13.01,5.28,0.75
375,52,蓬莱伝説,50,318,蓬莱传说,,268,18.66,5.26,1.06
379,53,少女秘封倶楽部,37,302,少女秘封俱乐部,,265,13.96,5.2,0.79
146,54,萃夢想,25,288,萃梦想,（含非想天则版本）,263,9.51,5.16,0.53
243,55,緑眼のジェラシー,25,287,绿眼的嫉妒,,262,9.54,5.140000000000001,0.53
2,56,永遠の巫女,12,272,永远之巫女,（含蓬莱人形版本）,260,4.62,5.1,0.26
209,57,芥川龍之介の河童　～ Candid Friend,24,281,芥川龙之介的河童 ～ Candid Friend,（含心绮楼、深秘录版本）,257,9.34,5.04,0.51
332,58,始原のビート　～ Pristine Beat,19,273,原初的节拍　～ Pristine Beat,,254,7.48,4.99,0.4
171,59,懐かしき東方の血　～ Old World,23,275,令人怀念的东方之血　～ Old World,,252,9.13,4.95,0.49
267,60,法界の火,16,262,法界之火,,246,6.5,4.83,0.33999999999999997
235,61,有頂天変 ～ Wonderful Heaven,21,266,有顶天变 ～ Wonderful Heaven,,245,8.57,4.81,0.44999999999999996
117,62,ラクトガール　～ 少女密室,24,264,Locked Girl　～ 少女密室,（含萃梦想、绯想天、卯酉东海道版本）,240,10,4.71,0.51
188,63,フラワリングナイト,38,267,Flowering Night,（含绯想天版本）,229,16.59,4.49,0.8099999999999999
292,64,死霊の夜桜,23,250,死灵的夜樱,,227,10.13,4.46,0.49
417,65,風神少女,29,255,风神少女,（含花映塚、文花帖、绯想天版本）,226,12.83,4.44,0.62
122,65,魔法少女達の百年祭,13,239,魔法少女们的百年祭,,226,5.75,4.44,0.27999999999999997
135,67,東方妖々夢　～ Ancient Temple,16,232,东方妖妖梦 ～ Ancient Temple,（含萃梦想、花映塚、莲台野夜行版本）,216,7.41,4.24,0.33999999999999997
175,68,狂気の瞳　～ Invisible Full Moon,20,230,狂气之瞳　～ Invisible Full Moon,（含花映塚、绯想天版本）,210,9.52,4.12,0.43
217,69,ネイティブフェイス,21,224,Native Faith,,203,10.34,3.9800000000000004,0.44999999999999996
205,70,稲田姫様に叱られるから,10,212,会被稻田公主骂的啦,,202,4.95,3.9600000000000004,0.21
186,71,春色小径　～ Colorful Path,15,215,春色小径　～ Colorful Path,（含心绮楼版本）,200,7.5,3.93,0.32
251,72,霊知の太陽信仰　～ Nuclear Fusion,19,213,灵知的太阳信仰 ～ Nuclear Fusion,（含非想天则版本）,194,9.79,3.81,0.4
450,73,二色蓮花蝶　～ Ancients,17,209,二色莲花蝶　～ Ancients,（含蓬莱人形、非想天则、深秘录版本）,192,8.85,3.7699999999999996,0.36
145,74,さくらさくら　～ Japanize Dream...,6,197,樱花樱花 ～ Japanize Dream...,,191,3.14,3.75,0.13
270,75,平安のエイリアン,16,199,平安时代的外星人,,183,8.74,3.5900000000000003,0.33999999999999997
132,76,人形裁判　～ 人の形弄びし少女,12,193,玩偶裁判 ～ 玩弄人形的少女,（含萃梦想、梦违科学世纪版本）,181,6.63,3.55,0.26
367,77,遥か３８万キロのボヤージュ,8,183,遥遥38万公里的航程,,175,4.57,3.4299999999999997,0.16999999999999998
37,78,Reincarnation,13,185,Reincarnation,（含蓬莱人形版本）,172,7.56,3.38,0.27999999999999997
68,79,星の器 ～ Casket of Star,12,181,星之器 ～ Casket of Star,（含绯想天版本）,169,7.1,3.32,0.26
207,80,運命のダークサイド,13,181,命运的阴暗面,,168,7.74,3.3000000000000003,0.27999999999999997
392,81,最も澄みわたる空と海,16,180,最澄澈的空与海,,164,9.76,3.2199999999999998,0.33999999999999997
139,81,ボーダーオブライフ,15,179,Border of Life,,164,9.15,3.2199999999999998,0.32
277,83,悠久の蒸気機関,17,179,悠久的蒸汽机关,,162,10.49,3.18,0.36
305,83,佐渡の二ッ岩,10,172,佐渡的二岩,（含心绮楼版本）,162,6.17,3.18,0.21
365,85,凍り付いた永遠の都,7,168,冻结的永远之都,,161,4.35,3.16,0.15
394,86,天空のグリニッジ,13,172,天空的格林尼治,,159,8.18,3.1199999999999997,0.27999999999999997
309,87,亡失のエモーション,9,167,亡失的情感,（含深秘录版本）,158,5.7,3.1,0.19
318,88,不思議なお祓い棒,9,165,不可思议的驱魔棒,,156,5.77,3.06,0.19
389,89,ヒロシゲ36号　～ Neo Super-Express,15,170,广重36号 ～ Neo Super-Express,,155,9.68,3.04,0.32
174,90,シンデレラケージ　～ Kagome-Kagome,6,156,灰姑娘的笼子　～ Kagome-Kagome,（含幻乐祀典版本）,150,4,2.94,0.13
136,91,広有射怪鳥事　～ Till When?,14,163,广有射怪鸟事 ～ Till When?,（含萃梦想、绯想天版本）,149,9.4,2.92,0.3
357,91,ラストオカルティズム　～現し世の秘術師,10,159,Last Occultism ~现世的秘术师,,149,6.71,2.92,0.21
176,93,ヴォヤージュ1969,8,156,Voyage1969,（含梦违科学世纪版本）,148,5.41,2.9000000000000004,0.16999999999999998
363,94,宇宙を飛ぶ不思議な巫女,6,151,飞翔于宇宙的不可思议巫女,,145,4.14,2.85,0.13
111,95,妖魔夜行,8,149,妖魔夜行,,141,5.67,2.77,0.16999999999999998
245,96,華のさかづき大江山,4,144,大江山的花之酒宴,,140,2.86,2.75,0.09
127,97,無何有の郷 ～ Deep Mountain,8,145,无何有之乡,,137,5.84,2.69,0.16999999999999998
260,98,万年置き傘にご注意を,7,139,请注意万年备用伞,,132,5.3,2.59,0.15
206,99,厄神様の通り道　～ Dark Road,18,144,厄神降临之路　～ Dark Road,,126,14.29,2.4699999999999998,0.38
311,99,心綺楼囃子,9,135,心绮楼囃子,,126,7.14,2.4699999999999998,0.19
460,101,櫻花之戀塚　～ Flower of Japan,19,137,樱花之恋塚　～ Flower of Japan,（含蓬莱人形版本）,118,16.1,2.32,0.4
328,102,リバースイデオロギー,12,129,Reverse Ideology,（含天邪鬼版本）,117,10.26,2.3,0.26
237,102,暮色蒼然,7,124,暮色苍然,,117,5.98,2.3,0.15
118,104,メイドと血の懐中時計,11,126,女仆和血的怀表,（含萃梦想版本）,115,9.57,2.26,0.22999999999999998
39,105,Tabula rasa ～ 空白少女,10,124,Tabula rasa ～ 空白少女,,114,8.77,2.2399999999999998,0.21
399,106,向こう側の月,13,126,月的另一侧,,113,11.5,2.22,0.27999999999999997
180,107,エクステンドアッシュ　～ 蓬莱人,7,114,Extend Ash　～ 蓬莱人,,107,6.54,2.1,0.15
327,108,空中に沈む輝針城,3,109,沉向空中的辉针城,,106,2.83,2.08,0.06
191,109,今昔幻想郷　～ Flower Land,10,115,今昔幻想乡　～ Flower Land,,105,9.52,2.06,0.21
131,109,ブクレシュティの人形師,9,114,布加勒斯特的人偶师,（含萃梦想、绯想天版本）,105,8.57,2.06,0.19
249,111,死体旅行～Be of good cheer!,6,110,尸体旅行　～ Be of good cheer!,,104,5.77,2.04,0.13
201,112,東の国の眠らない夜,7,106,东之国的不眠夜,（含大空魔术版本）,99,7.07,1.94,0.15
236,113,幼心地の有頂天,9,105,幼小的有顶天,,96,9.38,1.8800000000000001,0.19
130,114,ティアオイエツォン(withered leaf),7,101,凋叶棕（withered leaf）,,94,7.45,1.8399999999999999,0.15
167,115,幻視の夜　～ Ghostly Eyes,4,96,幻视之夜　～ Ghostly Eyes,（含莲台野夜行版本）,92,4.35,1.81,0.09
400,116,未知の花 魅知の旅,4,92,未知之花 魅知之旅,,88,4.55,1.73,0.09
66,117,アリスマエステラ,9,96,Alice Maestra,,87,10.34,1.71,0.19
72,117,幽夢 ～ Inanimate Dream,4,91,幽梦 ～ Inanimate Dream,,87,4.6,1.71,0.09
257,119,春の湊に,4,90,春之岸,,86,4.65,1.69,0.09
299,120,古きユアンシェン,7,91,古老的元神,（含三月精版本）,84,8.33,1.6500000000000001,0.15
362,120,九月のパンプキン,3,87,九月的南瓜,,84,3.57,1.6500000000000001,0.06
36,120,東方妖恋談,1,85,东方妖恋谈,（含萃梦想、绯想天、非想天则版本）,84,1.19,1.6500000000000001,0.02
172,123,プレインエイジア,2,85,Plain Asia,,83,2.41,1.63,0.04
449,124,魔女達の舞踏会　～ Magus,12,94,魔女们的舞会　～ Magus,（含萃梦想版本）,82,14.63,1.6099999999999999,0.26
102,124,the Grimoire of Alice,7,89,the Grimoire of Alice,（含非想天则版本）,82,8.54,1.6099999999999999,0.15
137,126,アルティメットトゥルース,6,86,Ultimate Truth,,80,7.5,1.5699999999999998,0.13
126,127,妖々夢 ～ Snow or Cherry Petal,4,82,妖妖梦 ～ Snow or Cherry Petal,,78,5.13,1.53,0.09
169,128,夜雀の歌声　～ Night Bird,4,80,夜雀的歌声　～ Night Bird,,76,5.26,1.49,0.09
301,128,大神神話伝,3,79,大神神话传,（含心绮楼、深秘录版本）,76,3.95,1.49,0.06
338,130,ロマンチック逃飛行,2,75,浪漫逃飞行,,73,2.74,1.43,0.04
372,131,パンデモニックプラネット,4,73,Pandemonic Planet,,69,5.8,1.35,0.09
45,132,Strawberry Crisis!!,6,72,Strawberry Crisis!!,,66,9.09,1.3,0.13
116,132,ヴワル魔法図書館,5,71,巴瓦鲁魔法图书馆,（含萃梦想、非想天则版本）,66,7.58,1.3,0.11
166,132,永夜抄　～ Eastern Night.,4,70,永夜抄　～ Eastern Night.,,66,6.06,1.3,0.09
273,132,君はあの影を見たか,4,70,你见到了那个影子吗,,66,6.06,1.3,0.09
289,136,メイガスナイト,2,66,Magus Night,（含三月精、心绮楼版本）,64,3.13,1.26,0.04
170,137,もう歌しか聞こえない,6,69,只听见歌声,（含花映塚版本）,63,9.52,1.24,0.13
196,138,花は幻想のままに,6,67,花如幻想一般,,61,9.84,1.2,0.13
308,138,幻想郷の二ッ岩,3,64,幻想乡的二岩,（含深秘录版本）,61,4.92,1.2,0.06
179,140,ヴォヤージュ1970,3,63,Voyage1970,,60,5,1.18,0.06
366,140,逆転するホイールオブフォーチュン,3,63,逆转的命运之轮,,60,5,1.18,0.06
11,140,いざ、倒れ逝くその時まで,2,62,来吧，直到倒地死去的那一刻,,60,3.33,1.18,0.04
323,143,満月の竹林,3,62,满月的竹林,,59,5.08,1.16,0.06
302,144,小さな欲望の星空,0,58,小小欲望的星空,,58,0,1.1400000000000001,0
264,145,キャプテン·ムラサ,4,61,Captain Murasa,,57,7.02,1.1199999999999999,0.09
70,145,眠れる恐怖 ～ Sleeping Terror,2,59,能够睡眠的恐怖 ～ Sleeping Terror,,57,3.51,1.1199999999999999,0.04
387,145,科学世紀の少年少女,2,59,科学世纪的少年少女,,57,3.51,1.1199999999999999,0.04
168,148,蠢々秋月　～ Mooned Insect,1,56,蠢蠢的秋月　～ Mooned Insect,,55,1.82,1.08,0.02
189,149,お宇佐さまの素い幡,4,57,宇佐大人的白旗,（含卯酉东海道版本）,53,7.55,1.04,0.09
300,149,夢殿大祀廟,2,55,梦殿大祀庙,,53,3.77,1.04,0.04
336,149,不可能弾幕には反則を,2,55,以犯规对不可能的弹幕,,53,3.77,1.04,0.04
296,152,素敵な墓場で暮しましょ,2,54,在美妙的墓地里住下吧,（含伊奘诺物质版本）,52,3.85,1.02,0.04
356,152,華狭間のバトルフィールド,1,53,华狭间的战场,,52,1.92,1.02,0.02
184,154,東方妖怪小町,2,52,东方妖怪小镇,,50,4,0.98,0.04
395,155,車椅子の未来宇宙,6,55,轮椅上的未来宇宙,,49,12.24,0.96,0.13
371,156,見た事も無い悪夢の世界,2,50,前所未见的噩梦世界,,48,4.17,0.9400000000000001,0.04
263,157,幽霊客船の時空を越えた旅,2,49,幽灵客船的时空穿越之旅,,47,4.26,0.9199999999999999,0.04
173,158,永夜の報い　～ Imperishable Night,3,49,永夜的报应　～ Imperishable Night,（含梦违科学世纪版本）,46,6.52,0.8999999999999999,0.06
142,159,妖々跋扈　～ Who done it!,3,48,妖妖跋扈 ～ Who done it!,,45,6.67,0.88,0.06
100,160,神話幻想 ～ Infinite Being,3,47,神话幻想 ～ Infinite Being,,44,6.82,0.86,0.06
50,160,永遠の満月,2,46,永远的满月,,44,4.55,0.86,0.04
109,160,赤より紅い夢,2,46,比赤色更红的梦,,44,4.55,0.86,0.04
149,160,御伽の国の鬼が島 ～ Missing Power,0,44,御伽之国的鬼岛 ～ Missing Power,,44,0,0.86,0
266,164,虎柄の毘沙門天,1,43,虎纹的毘沙门天,,42,2.38,0.8200000000000001,0.02
202,165,レトロスペクティブ京都,3,44,回忆京都,（含卯酉东海道版本）,41,7.32,0.8,0.06
269,165,夜空のユーフォーロマンス,2,43,夜空中的UFO恋曲,（含鸟船遗迹版本）,41,4.88,0.8,0.04
382,165,月の妖鳥、化猫の幻,2,43,月的妖鸟、化猫的幻,,41,4.88,0.8,0.04
319,168,ミストレイク,2,42,Mist Lake,,40,5,0.79,0.04
246,169,ハートフェルトファンシー,8,47,Heartfelt Fancy,（含伊奘诺物质版本）,39,20.51,0.77,0.16999999999999998
147,169,Demystify Feast,2,41,揭开宴会的秘密,（含大空魔术版本）,39,5.13,0.77,0.04
148,169,夜が降りてくる ～ Evening Star,2,41,夜幕降临 ～ Evening Star,（含绯想天、梦违科学世纪版本）,39,5.13,0.77,0.04
390,172,53ミニッツの青い海,6,44,53分钟的蓝色大海,,38,15.79,0.75,0.13
183,172,Eternal Dream　～ 幽玄の槭樹,3,41,Eternal Dream　～ 幽玄的枫树,（含梦违科学世纪版本）,38,7.89,0.75,0.06
204,174,人恋し神様　～ Romantic Fall,1,38,眷爱众生之神　～ Romantic Fall,,37,2.7,0.73,0.02
198,175,天狗の手帖　～ Mysterious Note,3,39,天狗的笔记 ～ Mysterious Note,,36,8.33,0.7100000000000001,0.06
275,175,ぼくらの非想天則,3,39,我们的非想天则,,36,8.33,0.7100000000000001,0.06
381,177,魔術師メリー,3,38,魔术师梅莉,,35,8.57,0.69,0.06
234,177,天衣無縫,1,36,天衣无缝,,35,2.86,0.69,0.02
265,177,魔界地方都市エソテリア,1,36,魔界地方都市秘境,,35,2.86,0.69,0.02
310,177,塵界不変のペシミズム,0,35,尘世不变的悲观主义,,35,0,0.69,0
396,181,衛星カフェテラス,2,36,卫星露天咖啡屋,,34,5.88,0.67,0.04
397,181,G Free,0,34,G Free,,34,0,0.67,0
140,183,妖々跋扈,2,35,妖妖跋扈,,33,6.06,0.65,0.04
410,183,日本中の不思議を集めて,2,35,收集日本各地的不可思议,,33,6.06,0.65,0.04
46,183,非統一魔法世界論,1,34,非统一魔法世界论,,33,3.03,0.65,0.02
360,183,兎は舞い降りた,1,34,兔已着陆,,33,3.03,0.65,0.02
322,187,柳の下のデュラハン,5,37,柳树下的杜拉罕,,32,15.63,0.63,0.11
383,187,過去の花　～ Fairy of Flower,2,34,过去的花 ～ Fairy of Flower,,32,6.25,0.63,0.04
214,187,御柱の墓場　～ Grave of Being,1,33,御柱的墓场 ～ Grave of Being,,32,3.13,0.63,0.02
432,190,妖精大戦争　～ Fairy Wars,4,35,妖精大战争 ～Faily Wars,（含妖精大战争版本）,31,12.9,0.61,0.09
250,190,業火マントル,3,34,业火地幔,,31,9.68,0.61,0.06
398,190,大空魔術　～ Magical Astronomy,3,34,太空魔术 ～ Magical Astronomy,,31,9.68,0.61,0.06
408,190,アガルタの風,3,34,阿加尔塔之风,,31,9.68,0.61,0.06
419,190,魔法使いの憂鬱,3,34,魔法使的忧郁,,31,9.68,0.61,0.06
91,190,Romantic Children,1,32,Romantic Children,,31,3.23,0.61,0.02
112,196,ルーネイトエルフ,2,32,Lunate Elf,,30,6.67,0.59,0.04
5,196,東方怪奇談,1,31,东方怪奇谈,（含蓬莱人形版本）,30,3.33,0.59,0.02
443,198,魔法少女十字軍,2,31,魔法少女十字军,（含莲台野夜行版本）,29,6.9,0.5700000000000001,0.04
26,198,Complete Darkness,1,30,Complete Darkness,,29,3.45,0.5700000000000001,0.02
58,200,幻想郷 ～ Lotus Land Story,1,29,幻想乡 ～ Lotus Land Story,,28,3.57,0.5499999999999999,0.02
359,200,忘れがたき、よすがの緑,1,29,忘不了，那曾依藉的绿意,,28,3.57,0.5499999999999999,0.02
331,200,魔力の雷雲,0,28,魔力的雷云,,28,0,0.5499999999999999,0
386,200,華胥の夢,0,28,华胥之梦,,28,0,0.5499999999999999,0
233,204,黒い海に紅く ～ Legendary Fish,3,30,黑海之红 ～ Legendary Fish,,27,11.11,0.53,0.06
316,204,暁雲,2,29,晓云,,27,7.41,0.53,0.04
388,204,夢と現の境界,2,29,梦境与现实的境界,,27,7.41,0.53,0.04
409,204,イザナギオブジェクト,1,28,伊奘诺物质,,27,3.7,0.53,0.02
120,208,ツェペシュの幼き末裔,1,27,特佩斯的年幼末裔,,26,3.85,0.51,0.02
405,208,宇宙に浮かぶ幻想郷,1,27,漂浮于宇宙之中的幻想乡,,26,3.85,0.51,0.02
258,208,小さな小さな賢将,0,26,小小的贤将,,26,0,0.51,0
287,208,いたずらに命をかけて,0,26,赌上性命恶作剧,（含三月精版本）,26,0,0.51,0
240,212,暗闇の風穴,1,26,昏暗的风穴,,25,4,0.49,0.02
474,212,夢幻回廊,1,26,梦幻回廊,,25,4,0.49,0.02
19,214,End of Daylight,1,25,End of Daylight,,24,4.17,0.47000000000000003,0.02
34,214,夢は時空を越えて,1,25,梦想超越时空,,24,4.17,0.47000000000000003,0.02
15,216,風の神社,3,26,风之神社,,23,13.04,0.44999999999999996,0.06
13,216,星幽剣士,2,25,星幽剑士,,23,8.7,0.44999999999999996,0.04
242,216,渡る者の途絶えた橋,2,25,阻绝人迹之桥,,23,8.7,0.44999999999999996,0.04
411,216,テーマ·オブ·イースタンストーリー,2,25,Theme of Eastern Story,,23,8.7,0.44999999999999996,0.04
329,216,針小棒大の天守閣,1,24,针小棒大的天守阁,,23,4.35,0.44999999999999996,0.02
288,216,ルーズレイン,0,23,Loose Rain,,23,0,0.44999999999999996,0
272,222,空の帰り道　～ Sky Dream,0,22,天空上的归途　～ Sky Dream,,22,0,0.43,0
404,222,天鳥船神社の結界,0,22,天鸟船神社的结界,,22,0,0.43,0
219,224,神は恵みの雨を降らす　～ Sylphid Dream,1,22,神灵降下的恩惠之雨 ～ Sylphid Dream,,21,4.76,0.41000000000000003,0.02
31,224,博麗神社境内,0,21,博丽神社境内,,21,0,0.41000000000000003,0
426,224,可愛い大戦争のリフレーン,0,21,可爱的大战争叠奏曲,（含妖精大战争版本）,21,0,0.41000000000000003,0
75,227,かわいい悪魔 ～ Innocence,2,22,可爱的恶魔 ～ Innocence,,20,10,0.38999999999999996,0.04
185,227,花映塚　～ Higan Retour,2,22,花映塚　～ Higan Retour,,20,10,0.38999999999999996,0.04
226,227,香る樹葉花,2,22,散发着香气的树叶花,,20,10,0.38999999999999996,0.04
1,227,A Sacred Lot,1,21,A Sacred Lot,,20,5,0.38999999999999996,0.02
17,227,博麗 ～ Eastern Wind,1,21,博丽 ～ Eastern Wind,,20,5,0.38999999999999996,0.02
110,227,ほおずきみたいに紅い魂,1,21,如鬼灯般的红色之魂,,20,5,0.38999999999999996,0.02
307,227,デザイアドリーム,1,21,Desire Dream,,20,5,0.38999999999999996,0.02
333,227,小槌の魔力,1,21,小槌的魔力,,20,5,0.38999999999999996,0.02
98,227,悲しき人形 ～ Doll of Misery,0,20,可悲的人偶 ～ Doll of Misery,,20,0,0.38999999999999996,0
335,227,反則の狼煙を上げろ,0,20,燃起犯规的狼烟,,20,0,0.38999999999999996,0
218,237,麓の神社,2,21,山脚的神社,,19,10.53,0.37,0.04
401,237,衛星トリフネ,2,21,卫星鸟船,,19,10.53,0.37,0.04
424,237,雪月桜花の国,2,21,雪月樱花之国,,19,10.53,0.37,0.04
406,237,緑のサナトリウム,1,20,绿意盎然的疗养院,,19,5.26,0.37,0.02
413,237,阿礼の子供,1,20,阿礼的孩子,,19,5.26,0.37,0.02
304,237,妖怪裏参道,0,19,妖怪里参道,（含伊奘诺物质版本）,19,0,0.37,0
407,237,牛に引かれて善光寺参り,0,19,被牛引到善光寺,,19,0,0.37,0
224,244,甲論乙駁,0,18,甲论乙驳,,18,0,0.35000000000000003,0
340,244,心揺さぶる都市伝説,0,18,震撼心灵的都市传说,,18,0,0.35000000000000003,0
403,244,天鳥船神社,0,18,天鸟船神社,,18,0,0.35000000000000003,0
430,244,年中夢中の好奇心,0,18,时刻旺盛的好奇心,（含妖精大战争版本）,18,0,0.35000000000000003,0
190,248,ポイズンボディ　～ Forsaken Doll,2,19,剧毒身体　～ Forsaken Doll,,17,11.76,0.33,0.04
480,248,ラストワード発動,1,18,Lastword发动,,17,5.88,0.33,0.02
8,248,破邪の小太刀,0,17,破邪的小太刀,,17,0,0.33,0
159,248,仰空,0,17,仰空,,17,0,0.33,0
324,248,孤独なウェアウルフ,0,17,孤独的狼人,,17,0,0.33,0
355,248,竹林インフレイム,0,17,竹林大火,,17,0,0.33,0
12,254,死なばもろとも,1,17,同归于尽,,16,6.25,0.31,0.02
358,254,宇宙巫女現る,1,17,宇宙巫女现身,,16,6.25,0.31,0.02
223,254,地の色は黄色,0,16,地之色乃黄色,,16,0,0.31,0
431,254,真夜中のフェアリーダンス,0,16,午夜中的妖精舞会,（含妖精大战争版本）,16,0,0.31,0
477,254,心綺楼祭囃子,0,16,心绮楼祭囃子,,16,0,0.31,0
182,259,月見草,1,16,月见草,,15,6.67,0.29,0.02
227,259,踊る水飛沫,1,16,飞舞的水飞沫,,15,6.67,0.29,0.02
256,259,青空の影,1,16,青空之影,,15,6.67,0.29,0.02
124,259,紅より儚い永遠,0,15,比红色更虚无的永远,,15,0,0.29,0
286,259,春の氷精,0,15,春之冰精,,15,0,0.29,0
