round,question_id,answer_id,question_type,question,option_index,answer,related_json,mutex_json
10,11031,1103126,Single,您现在的最主要所在地是哪个省级行政区？,25,西藏,[],[]
10,11031,1103127,Single,您现在的最主要所在地是哪个省级行政区？,26,陕西,[],[]
10,11031,1103128,Single,您现在的最主要所在地是哪个省级行政区？,27,甘肃,[],[]
10,11031,1103129,Single,您现在的最主要所在地是哪个省级行政区？,28,青海,[],[]
10,11031,1103130,Single,您现在的最主要所在地是哪个省级行政区？,29,宁夏,[],[]
10,11031,1103131,Single,您现在的最主要所在地是哪个省级行政区？,30,新疆,[],[]
10,11031,1103132,Single,您现在的最主要所在地是哪个省级行政区？,31,台湾,[],[]
10,11031,1103133,Single,您现在的最主要所在地是哪个省级行政区？,32,香港,[],[]
10,11031,1103134,Single,您现在的最主要所在地是哪个省级行政区？,33,澳门,[],[]
10,11032,1103201,Single,您现在的主要所在地位于哪个地区？,0,日本,[],[]
10,11032,1103202,Single,您现在的主要所在地位于哪个地区？,1,亚洲其他地区,[],[]
10,11032,1103203,Single,您现在的主要所在地位于哪个地区？,2,大洋洲,[],[]
10,11032,1103204,Single,您现在的主要所在地位于哪个地区？,3,欧洲,[],[]
10,11032,1103205,Single,您现在的主要所在地位于哪个地区？,4,北美洲,[],[]
10,11032,1103206,Single,您现在的主要所在地位于哪个地区？,5,南美洲,[],[]
10,11032,1103207,Single,您现在的主要所在地位于哪个地区？,6,非洲,[],[]
10,11032,1103208,Single,您现在的主要所在地位于哪个地区？,7,其他,[],[]
10,11041,1104101,Single,您现在的年龄所在区间为？,0,未满10岁,[],[1108107]
10,11041,1104102,Single,您现在的年龄所在区间为？,1,10-14岁,[],[]
10,11041,1104103,Single,您现在的年龄所在区间为？,2,15-17岁,[],[]
10,11041,1104104,Single,您现在的年龄所在区间为？,3,18-21岁,[],[]
10,11041,1104105,Single,您现在的年龄所在区间为？,4,22-25岁,[],[]
10,11041,1104106,Single,您现在的年龄所在区间为？,5,26-29岁,[],[]
10,11041,1104107,Single,您现在的年龄所在区间为？,6,30-39岁,[],[]
10,11041,1104108,Single,您现在的年龄所在区间为？,7,40岁及以上,[],[]
10,11051,1105101,Single,您当前的受教育程度为？,0,小学或学龄前,[],[]
10,11051,1105102,Single,您当前的受教育程度为？,1,初中,[],[]
10,11051,1105103,Single,您当前的受教育程度为？,2,高中/中专/职高/技校,[],[]
10,11051,1105104,Single,您当前的受教育程度为？,3,本科/专科/高职,[],[]
10,11051,1105105,Single,您当前的受教育程度为？,4,硕士/博士,[],[]
10,11051,1105106,Single,您当前的受教育程度为？,5,其他,[],[]
10,11061,1106101,Single,您目前还是学生吗？,0,是,[11070],[]
10,11061,1106102,Single,您目前还是学生吗？,1,不是,[11071],[]
10,11071,1107201,Single,您现在的工作情况为？,0,固定工作者,[],[]
10,11071,1107202,Single,您现在的工作情况为？,1,自由职业者,[],[]
10,11071,1107203,Single,您现在的工作情况为？,2,待业/无业/失业,[],[]
10,11071,1107204,Single,您现在的工作情况为？,3,其他,[],[]
10,11081,1108101,Single,您是从什么时间段开始对东方Project感兴趣的？,0,半年以内（2022年内）,[],[]
10,11081,1108102,Single,您是从什么时间段开始对东方Project感兴趣的？,1,2020年～2021年期间,[],[]
10,11081,1108103,Single,您是从什么时间段开始对东方Project感兴趣的？,2,2018～2019年期间,[],[]
10,11081,1108104,Single,您是从什么时间段开始对东方Project感兴趣的？,3,2015～2017年期间,[],[]
10,11081,1108105,Single,您是从什么时间段开始对东方Project感兴趣的？,4,2011～2014年期间,[],[]
10,11081,1108106,Single,您是从什么时间段开始对东方Project感兴趣的？,5,2007～2010年期间,[],[]
10,11081,1108107,Single,您是从什么时间段开始对东方Project感兴趣的？,6,2006年及之前,[],[]
10,11091,11109101,Single,您是第几次参加人气投票活动？,0,1,[],[]
10,11091,1109102,Single,您是第几次参加人气投票活动？,1,2,[],[]
10,11091,1109103,Single,您是第几次参加人气投票活动？,2,3,[],[]
10,11091,1109104,Single,您是第几次参加人气投票活动？,3,4,[],[]
10,11091,1109105,Single,您是第几次参加人气投票活动？,4,5,[],[]
10,11091,1109106,Single,您是第几次参加人气投票活动？,5,6,[],[]
10,11091,1109107,Single,您是第几次参加人气投票活动？,6,7,[],[]
10,11091,1109108,Single,您是第几次参加人气投票活动？,7,8,[],[]
10,11091,1109109,Single,您是第几次参加人气投票活动？,8,9,[],[]
10,11091,1109110,Single,您是第几次参加人气投票活动？,9,10,[],[]
10,11101,1110101,Single,您对东方的官方作品感兴趣吗？,0,热衷于原作游戏/音乐/官方出版物等内容，期待新作更新,[],[]
10,11101,1110102,Single,您对东方的官方作品感兴趣吗？,1,对原作游戏/音乐/官方出版物等内容比较感兴趣，关注新作信息,[],[]
10,11101,1110103,Single,您对东方的官方作品感兴趣吗？,2,偶尔关注官作内容，如果看到新作信息会稍微关注一下,[],[]
10,11101,1110104,Single,您对东方的官方作品感兴趣吗？,3,对官作不感兴趣，不会主动接触原作游戏/音乐/官方出版物等内容,[],[]
10,11111,1111101,Single,您对东方的二次创作感兴趣吗？,0,非常热衷，欣赏东方二创作品是日常生活的一部分,[],[]
10,11111,1111102,Single,您对东方的二次创作感兴趣吗？,1,有些兴趣，有时间的时候经常会看,[],[]
10,11111,1111103,Single,您对东方的二次创作感兴趣吗？,2,兴趣一般，偶尔刷到了会看一下,[],[]
10,11111,1111104,Single,您对东方的二次创作感兴趣吗？,3,不感兴趣，不会主动接触,[],[]
10,12011,1201101,Multiple,您平时比较关注哪种体裁的东方官方作品？,0,游戏,[],[]
10,12011,1201102,Multiple,您平时比较关注哪种体裁的东方官方作品？,1,漫画,[],[]
10,12011,1201103,Multiple,您平时比较关注哪种体裁的东方官方作品？,2,小说/设定集,[],[]
10,12011,1201104,Multiple,您平时比较关注哪种体裁的东方官方作品？,3,音乐CD,[],[]
10,12011,1201105,Multiple,您平时比较关注哪种体裁的东方官方作品？,4,其它公式资料等,[],[]
10,12021,1202101,Single,您更喜欢官方游戏中的哪一类？,0,STG（弹幕射击类）,[],[]
10,12021,1202102,Single,您更喜欢官方游戏中的哪一类？,1,FTG（黄昏作格斗类，包含刚欲异闻）,[],[]
10,12021,1202103,Single,您更喜欢官方游戏中的哪一类？,2,都喜欢,[],[]
10,12021,1202104,Single,您更喜欢官方游戏中的哪一类？,3,都没兴趣,[],[]
10,12031,1203101,Single,您是否了解旧五作？,0,十分熟悉,[],[]
10,12031,1203102,Single,您是否了解旧五作？,1,有所了解,[],[]
10,12031,1203103,Single,您是否了解旧五作？,2,不了解,[],[]
10,12041,1204101,Single,您是否在steam平台上购买过官方游戏？,0,买过,[],[]
10,12041,1204102,Single,您是否在steam平台上购买过官方游戏？,1,没买过,[],[]
10,12041,1204103,Single,您是否在steam平台上购买过官方游戏？,2,不知道steam平台上有官方游戏,[],[]
10,12051,1205101,Multiple,您关注哪些近期连载的官方作品？,0,东方醉蝶华,[],[]
10,12051,1205102,Multiple,您关注哪些近期连载的官方作品？,1,东方智灵奇传,[],[]
10,12051,1205103,Multiple,您关注哪些近期连载的官方作品？,2,东方外来韦编,[],[]
10,12051,1205104,Multiple,您关注哪些近期连载的官方作品？,3,东方我乐多丛志中的其它内容,[],[]
10,12051,1205105,Multiple,您关注哪些近期连载的官方作品？,4,其它,[],[]
10,12061,1206101,Multiple,您最喜欢东方原作的哪方面？,0,游戏本身,[],[]
10,12061,1206102,Multiple,您最喜欢东方原作的哪方面？,1,音乐曲目,[],[]
10,12061,1206103,Multiple,您最喜欢东方原作的哪方面？,2,人物设定,[],[]
10,12061,1206104,Multiple,您最喜欢东方原作的哪方面？,3,故事剧情,[],[]
10,12061,1206105,Multiple,您最喜欢东方原作的哪方面？,4,其它,[],[]
10,12071,1207101,Single,您购买过实体正版原作吗？,0,热衷于收集,[12081],[]
10,12071,1207102,Single,您购买过实体正版原作吗？,1,购买过,[12081],[]
10,12071,1207103,Single,您购买过实体正版原作吗？,2,想买但是没有条件,[12082],[]
10,12071,1207104,Single,您购买过实体正版原作吗？,3,没买过且没有购买的想法,[12082],[]
10,12081,1208101,Multiple,您购买正版原作的渠道为？,0,囧仙子通贩/B站会员购等正版渠道,[],[]
10,12081,1208102,Multiple,您购买正版原作的渠道为？,1,Steam等数字正版平台,[],[]
10,12081,1208103,Multiple,您购买正版原作的渠道为？,2,代购店,[],[]
10,12081,1208104,Multiple,您购买正版原作的渠道为？,3,二手交易,[],[]
10,12081,1208105,Multiple,您购买正版原作的渠道为？,4,委托朋友,[],[]
10,12081,1208106,Multiple,您购买正版原作的渠道为？,5,实地购买,[],[]
10,12082,1208201,Multiple,是什么原因而没有购买？,0,缺少渠道,[],[]
10,12082,1208202,Multiple,是什么原因而没有购买？,1,不懂日语,[],[]
10,12082,1208203,Multiple,是什么原因而没有购买？,2,价格过高,[],[]
10,12082,1208204,Multiple,是什么原因而没有购买？,3,不感兴趣,[],[]
10,12082,1208205,Multiple,是什么原因而没有购买？,4,其它,[],[]
10,12091,1209101,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,0,没有自主购买能力,[],[]
10,12091,1209102,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,1,单价50RMB以内,[],[]
10,12091,1209103,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,2,单价100RMB以内,[],[]
10,12091,1209104,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,3,单价150RMB以内,[],[]
10,12091,1209105,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,4,单价200RMB以内,[],[]
10,12091,1209106,Single,您的能接受的官方作品的价格范围是？（单个作品，含税费、运费等）,5,单价200RMB以上,[],[]
10,12101,1210101,Single,您是否了解国内已引进的正版简体中文的东方官方出版物？,0,已经购买,[],[]
10,12101,1210102,Single,您是否了解国内已引进的正版简体中文的东方官方出版物？,1,了解，打算购买,[],[]
10,12101,1210103,Single,您是否了解国内已引进的正版简体中文的东方官方出版物？,2,了解，不打算购买,[],[]
10,12101,1210104,Single,您是否了解国内已引进的正版简体中文的东方官方出版物？,3,不了解,[],[]
10,13011,1301101,Multiple,您比较关注哪一类二次创作？,0,音乐/音声,[],[]
10,13011,1301102,Multiple,您比较关注哪一类二次创作？,1,漫画,[],[]
10,13011,1301103,Multiple,您比较关注哪一类二次创作？,2,游戏,[],[]
10,13011,1301104,Multiple,您比较关注哪一类二次创作？,3,绘画,[],[]
10,13011,1301105,Multiple,您比较关注哪一类二次创作？,4,视频,[],[]
10,13011,1301106,Multiple,您比较关注哪一类二次创作？,5,文字,[],[]
10,13011,1301107,Multiple,您比较关注哪一类二次创作？,6,Cosplay,[],[]
10,13011,1301108,Multiple,您比较关注哪一类二次创作？,7,实物,[],[]
10,13011,1301109,Multiple,您比较关注哪一类二次创作？,8,其它,[],[]
10,13021,1302101,Multiple,您关注二次创作的原因？,0,喜欢某些二次设定或Meme,[],[]
10,13021,1302102,Multiple,您关注二次创作的原因？,1,有趣的故事剧情与世界观架构,[],[]
10,13021,1302103,Multiple,您关注二次创作的原因？,2,（作画、编曲、制作等）在同类作品中更为出色,[],[]
10,13021,1302104,Multiple,您关注二次创作的原因？,3,东方相关的创作就喜欢看,[],[]
10,13021,1302105,Multiple,您关注二次创作的原因？,4,其它,[],[]
10,13031,1303101,Single,平均来说，您浏览二次创作的大致频率为？,0,只要有时间就总是在浏览,[],[]
10,13031,1303102,Single,平均来说，您浏览二次创作的大致频率为？,1,几乎每天都会抽时间浏览,[],[]
10,13031,1303103,Single,平均来说，您浏览二次创作的大致频率为？,2,每隔几天主动浏览几次,[],[]
10,13031,1303104,Single,平均来说，您浏览二次创作的大致频率为？,3,仅在刷到的时候偶尔看看,[],[]
10,13031,1303105,Single,平均来说，您浏览二次创作的大致频率为？,4,如果没有特别的原因不会浏览,[],[]
10,13041,1304101,Single,您购买过国内的二次同人作品吗？,0,购买过国内的二次同人作品,"[13051,13061,13071]",[1312102]
10,13041,1304103,Single,您购买过国内的二次同人作品吗？,1,没有购买过,"[13050,13060,13070]",[]
10,13051,1305101,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,0,音乐/音声类,[],[]
10,13051,1305102,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,1,漫画类,[],[]
10,13051,1305103,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,2,插画类,[],[]
10,13051,1305104,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,3,游戏类,[],[]
10,13051,1305105,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,4,文字类,[],[]
10,13051,1305106,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,5,视频类,[],[]
10,13051,1305107,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,6,实体周边类,[],[]
10,13051,1305108,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,7,服装饰品类,[],[]
10,13051,1305109,Multiple,您购买的国内二次同人作品类型为？（分类均包含数字版）,8,其它,[],[]
10,13061,1306101,Multiple,您购买国内二次同人作品的渠道为？,0,网络邮购,[],[]
10,13061,1306102,Multiple,您购买国内二次同人作品的渠道为？,1,展会购买,[],[]
10,13061,1306103,Multiple,您购买国内二次同人作品的渠道为？,2,电子版/下载版,[],[]
10,13061,1306104,Multiple,您购买国内二次同人作品的渠道为？,3,委托朋友/代购,[],[]
10,13061,1306105,Multiple,您购买国内二次同人作品的渠道为？,4,他人转手/二手,[],[]
10,13061,1306106,Multiple,您购买国内二次同人作品的渠道为？,5,其它,[],[]
10,13071,1307101,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,0,单价30RMB以内,[],[]
10,13071,1307102,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,1,单价50RMB以内,[],[]
10,13071,1307103,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,2,单价100RMB以内,[],[]
10,13071,1307104,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,3,单价150RMB以内,[],[]
10,13071,1307105,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,4,单价200RMB以内,[],[]
10,13071,1307106,Single,您对国内二次同人作品的购买力范围是？（单个作品，含手续费、运费等）,5,单价200RMB以上,[],[]
10,13081,1304102,Single,您购买过国外的二次同人作品吗？,0,购买过国外的二次同人作品,"[13091,13101,13111]","[1312101,1312103]"
10,13081,1304103,Single,您购买过国外的二次同人作品吗？,1,没有购买过,"[13090,13100,13110]",[]
10,13091,1309101,Multiple,您购买的国外二次同人作品类型为？,0,音乐/音声类,[],[]
10,13091,1309102,Multiple,您购买的国外二次同人作品类型为？,1,漫画类,[],[]
10,13091,1309103,Multiple,您购买的国外二次同人作品类型为？,2,插画类,[],[]
10,13091,1309104,Multiple,您购买的国外二次同人作品类型为？,3,游戏类,[],[]
10,13091,1309105,Multiple,您购买的国外二次同人作品类型为？,4,文字类,[],[]
10,13091,1309106,Multiple,您购买的国外二次同人作品类型为？,5,视频类,[],[]
10,13091,1309107,Multiple,您购买的国外二次同人作品类型为？,6,实体周边类,[],[]
10,13091,1309108,Multiple,您购买的国外二次同人作品类型为？,7,服装饰品类,[],[]
10,13091,1309109,Multiple,您购买的国外二次同人作品类型为？,8,其它,[],[]
10,13101,1310101,Multiple,您购买国外二次同人作品的渠道为？,0,国内代理/正版引进,[],[]
10,13101,1310102,Multiple,您购买国外二次同人作品的渠道为？,1,电子版/下载版,[],[]
10,13101,1310103,Multiple,您购买国外二次同人作品的渠道为？,2,代购平台/代购店,[],[]
10,13101,1310104,Multiple,您购买国外二次同人作品的渠道为？,3,网络邮购/转运,[],[]
10,13101,1310105,Multiple,您购买国外二次同人作品的渠道为？,4,实地购买（展会/实体店等）,[],[]
10,13101,1310106,Multiple,您购买国外二次同人作品的渠道为？,5,委托朋友帮买,[],[]
10,13101,1310107,Multiple,您购买国外二次同人作品的渠道为？,6,购买二手/他人转手,[],[]
10,13101,1310108,Multiple,您购买国外二次同人作品的渠道为？,7,其它,[],[]
10,13111,1311101,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,0,单价50RMB以内,[],[]
10,13111,1311102,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,1,单价100RMB以内,[],[]
10,13111,1311103,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,2,单价150RMB以内,[],[]
10,13111,1311104,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,3,单价200RMB以内,[],[]
10,13111,1311105,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,4,单价300RMB以内,[],[]
10,13111,1311106,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,5,单价500RMB以内,[],[]
10,13111,1311107,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,6,单价500RMB以上,[],[]
10,13121,1312101,Multiple,阻碍您购买二次同人作品的原因是？,0,缺少购买国外二次创作的渠道,[],[]
10,13121,1312102,Multiple,阻碍您购买二次同人作品的原因是？,1,缺少购买国内二次创作的渠道,[],[]
10,13121,1312103,Multiple,阻碍您购买二次同人作品的原因是？,2,不懂国外二次创作对应的外语,[],[]
10,13121,1312104,Multiple,阻碍您购买二次同人作品的原因是？,3,价格过高,[],[]
10,13121,1312105,Multiple,阻碍您购买二次同人作品的原因是？,4,不感兴趣,[],[]
10,13121,1312106,Multiple,阻碍您购买二次同人作品的原因是？,5,其它,[],[]
10,13121,1312107,Multiple,阻碍您购买二次同人作品的原因是？,6,不存在阻碍，我想买啥买啥！,[],"[1312101,1312102,1312103,1312104,1312105,1312106]"
10,13131,1313101,Single,您在进行（任何形式、任何程度的）二次创作吗？,0,是，且有持续性的投入,[],[]
10,13131,1313102,Single,您在进行（任何形式、任何程度的）二次创作吗？,1,是，偶尔进行,[],[]
10,13131,1313103,Single,您在进行（任何形式、任何程度的）二次创作吗？,2,否,[],[]
10,13141,1314101,Single,您了解官方授权商业作品（归言录、弹幕神乐等）吗？,0,正在玩，并且有在游戏中消费,[],[]
10,13141,1314102,Single,您了解官方授权商业作品（归言录、弹幕神乐等）吗？,1,正在玩，但没有在游戏中消费,[],[]
10,13141,1314103,Single,您了解官方授权商业作品（归言录、弹幕神乐等）吗？,2,之前玩过，已经弃坑,[],[]
10,13141,1314104,Single,您了解官方授权商业作品（归言录、弹幕神乐等）吗？,3,了解，但没在玩,[],[]
10,13141,1314105,Single,您了解官方授权商业作品（归言录、弹幕神乐等）吗？,4,不了解，没听说,[],[]
10,21011,2101101,Multiple,您在进行何种类型的二次创作？,0,音乐/音声类,[],[]
10,21011,2101102,Multiple,您在进行何种类型的二次创作？,1,漫画类,[],[]
10,21011,2101103,Multiple,您在进行何种类型的二次创作？,2,插画类,[],[]
10,21011,2101104,Multiple,您在进行何种类型的二次创作？,3,软件/游戏类,[],[]
10,21011,2101105,Multiple,您在进行何种类型的二次创作？,4,文字类,[],[]
10,21011,2101106,Multiple,您在进行何种类型的二次创作？,5,视频类,[],[]
10,21011,2101107,Multiple,您在进行何种类型的二次创作？,6,实体周边类,[],[]
10,21011,2101108,Multiple,您在进行何种类型的二次创作？,7,服装饰品类,[],[]
10,21011,2101109,Multiple,您在进行何种类型的二次创作？,8,其它,[],[]
10,21021,2102101,Multiple,在创作过程中，您的动力来源是？,0,表达对角色/音乐/作品的喜爱,[],[]
10,21021,2102102,Multiple,在创作过程中，您的动力来源是？,1,创作完成时的成就感,[],[]
10,21021,2102103,Multiple,在创作过程中，您的动力来源是？,2,观众对作品的反馈,[],[]
10,21021,2102104,Multiple,在创作过程中，您的动力来源是？,3,其它创作者的支持与鼓励,[],[]
10,21021,2102105,Multiple,在创作过程中，您的动力来源是？,4,通过创作作品来获取经济收益,[],[]
10,21021,2102106,Multiple,在创作过程中，您的动力来源是？,5,其它,[],[]
10,21031,2103101,Input,在诸多支持您进行创作的因素中，最主要的是？,0,,[],[]
10,21041,2104101,Multiple,在创作过程中遇到过什么样的困难？,0,需要从其他事情上分时间和精力,[],[]
10,21041,2104102,Multiple,在创作过程中遇到过什么样的困难？,1,感到技术力不足,[],[]
10,21041,2104103,Multiple,在创作过程中遇到过什么样的困难？,2,难以维持自己的动力,[],[]
10,21041,2104104,Multiple,在创作过程中遇到过什么样的困难？,3,疫情导致线下展会取消,[],[]
10,21041,2104105,Multiple,在创作过程中遇到过什么样的困难？,4,缺少好用的线上发布或销售渠道,[],[]
10,21041,2104106,Multiple,在创作过程中遇到过什么样的困难？,5,发布后缺乏关注无人问津,[],[]
10,21041,2104107,Multiple,在创作过程中遇到过什么样的困难？,6,周边氛围对创作非常不友好,[],[]
10,21041,2104108,Multiple,在创作过程中遇到过什么样的困难？,7,经济上难以维持,[],[]
10,21041,2104109,Multiple,在创作过程中遇到过什么样的困难？,8,其它,[],[]
10,21051,2105101,Input,您认为在创作过程中遇到过的各种困难，可以如何得到改善？（如，印刷生产方面的建议和帮助、更好的同人作品发布平台，等等）,0,,[],[]
10,21061,2106101,Input,您认为您需要/希望获得来自平台方面的何种帮助？（如建立新的推荐作品的渠道等）（如果认为现在状况很好可以写现状很好）,0,,[],[]
10,21071,2107101,Single,基于线下的同人展会对您来说意义如何？,0,非常重要，是作品销量的大头所在,[],[]
10,21071,2107102,Single,基于线下的同人展会对您来说意义如何？,1,有一定的参展需求,[],[]
10,21071,2107103,Single,基于线下的同人展会对您来说意义如何？,2,可有可无，随缘参加,[],[]
10,21071,2107104,Single,基于线下的同人展会对您来说意义如何？,3,从不参加,[],[]
10,22011,2201101,Single,您玩过STG正作吗？,0,玩过,[22021],[]
10,22011,2201102,Single,您玩过STG正作吗？,1,没玩过,[22020],[]
10,22021,2202101,Single,您以什么为目标游玩STG？,0,我只想体验游戏流程和视听表现,[],[]
10,22021,2202102,Single,您以什么为目标游玩STG？,1,我想通关游戏,[],[]
10,22021,2202103,Single,您以什么为目标游玩STG？,2,我想挑战游戏的高难度,[],[]
10,22021,2202104,Single,您以什么为目标游玩STG？,3,我想挑战游戏的neta挑战,[],[]
10,22021,2202105,Single,您以什么为目标游玩STG？,4,我想挑战游戏的最高得分,[],[]
10,22031,2203101,Single,您玩过旧作吗？,0,玩过且已有一部或以上的作品通关,[],[]
10,22031,2203102,Single,您玩过旧作吗？,1,玩过,[],[]
10,22031,2203103,Single,您玩过旧作吗？,2,没玩过,[],[]
10,22041,2204101,Single,您玩过FTG作（单人）吗？,0,玩过,[22051],[]
10,22041,2204102,Single,您玩过FTG作（单人）吗？,1,没玩过,[22050],[]
10,22051,2205101,Single,您以什么为目标游玩FTG？,0,我只想体验游戏流程和视听表现,[],[]
10,22051,2205102,Single,您以什么为目标游玩FTG？,1,我想通关某部作品的某些路线,[],[]
10,22051,2205103,Single,您以什么为目标游玩FTG？,2,我想通关某部作品的全部路线,[],[]
10,22051,2205104,Single,您以什么为目标游玩FTG？,3,我想要磨练自己的游戏技术,[],[]
10,22061,2206101,Single,您玩过FTG作（多人）吗？,0,玩过,[22071],[]
10,22061,2206102,Single,您玩过FTG作（多人）吗？,1,没玩过,[22070],[]
10,22071,2207101,Single,您的多人FTG对战情况是什么样的？,0,我与没什么游戏经验的朋友进行过联机对战,[],[]
10,22071,2207102,Single,您的多人FTG对战情况是什么样的？,1,我与对游戏较为熟悉的玩家进行过对战,[],[]
10,22071,2207103,Single,您的多人FTG对战情况是什么样的？,2,我与游戏水平较高的玩家进行过互有胜负的对战,[],[]
10,22071,2207104,Single,您的多人FTG对战情况是什么样的？,3,我在经常进行格斗对战的社交圈内处于顶尖水平,[],[]
10,22081,2208101,Single,您是否玩过《东方刚欲异闻》？,0,玩过,[],[]
10,22081,2208102,Single,您是否玩过《东方刚欲异闻》？,1,没玩过,[],[]
10,23011,2301101,Single,您是否（作为游客/摊主）参加过东方主题的线下活动？,0,是,[23021],[]
10,23011,2301102,Single,您是否（作为游客/摊主）参加过东方主题的线下活动？,1,否,[23022],[]
10,23021,2302101,Single,您2022年内是否（作为游客/摊主）参加过东方主题的线下活动？,0,是,[],[]
10,23021,2302102,Single,您2022年内是否（作为游客/摊主）参加过东方主题的线下活动？,1,否,[],[]
10,23022,2302201,Multiple,您没有参加过展会的原因是？,0,想去的展会被取消,[],[]
10,23022,2302202,Multiple,您没有参加过展会的原因是？,1,没有时间,[],[]
10,23022,2302203,Multiple,您没有参加过展会的原因是？,2,路费太贵,[],[]
10,23022,2302204,Multiple,您没有参加过展会的原因是？,3,生活环境原因（如封校）,[],[]
10,23022,2302205,Multiple,您没有参加过展会的原因是？,4,不知道线下展会的信息,[],[]
10,23022,2302206,Multiple,您没有参加过展会的原因是？,5,其它,[],[]
10,23031,2303101,Single,在参加展会方面您是否受到了疫情的影响？,0,是,[],[]
10,23031,2303102,Single,在参加展会方面您是否受到了疫情的影响？,1,否,[],[]
10,23041,2304101,Single,您是否只考虑参加本地或附近地区的同人展？,0,仅参加本地或附近地区的展会,[],[]
10,23041,2304102,Single,您是否只考虑参加本地或附近地区的同人展？,1,异地的展会也会去,[],[]
