record_id,platform,platform_region,forum,source_url,search_query,post_title,author,posted_date,posted_date_precision,character_cn,character_jp,poll_region_alignment,related_round,round_status,event_class,reply_count,other_visible_counts,excerpt,metrics_note,access_status,observed_at,verification_status,character_mentions_cn,normalization_note
tieba_r13_toyohime_mobilization,Tieba,CN,绵月丰姬吧,https://tieba.baidu.com/p/4939766415,第13回東方Project人気投票,第13回東方Project人気投票,零大EXE,2017-01-14,day,绵月丰姬,綿月 豊姫,jp,13,complete,support_accessibility_and_deadline_mobilization,3,,正文因凭依华新增Best partner部门而邀请支持喜欢的角色；楼层说明邮件申请ID和最后一天催投。,3为帖子显示总回复数；不能解释为实际参与人数。,pc_web_fulltext_available,2026-08-24,verified_visible,绵月丰姬,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r12_result_reactions,Tieba,CN,世萌吧,https://tieba.baidu.com/p/4315468390,第12回东方Project人气投票结果,【东方】第12回东方Project人气投票结果出炉！！！！！！！,105国道,2016-01-21,day,多角色,,jp,12,complete,post_result_reaction,21,,PC网页可见“灵梦再次反杀”“魔理沙意料之外”“恭喜我梦重夺第一”等结果反应，也出现对“人妖部门”译法的即时陌生感。,21为帖子显示总回复数；当前文字采样不等于全部21条且不等于票数。,pc_web_visible_reply_sample,2026-08-24,verified_visible,多角色;雾雨魔理沙;博丽灵梦,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r11_kogasa_support,Tieba,CN,多多良小伞吧,https://tieba.baidu.com/p/8830991760,第11回东方中文人气投票,11回东方中文人气投票开始了！,扎克·撒旦,2023-12-29,day,多多良小伞,多々良 小傘,cn,11,complete,support_or_mobilization,18,21,正文直接给出touhou.vote并请求给小伞投本命票；楼层继续展示角色、音乐和CP投票截图。,18为帖子显示总回复数；21为页面未标注数字；均不等于官方角色票。,pc_web_fulltext_available,2026-08-24,verified_visible,多多良小伞,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_jp_r11_index_gap,Tieba,CN,时间动漫吧,https://tieba.baidu.com/p/3800357969,第十一次日文东方系列人气投票,第十一次日文东方系列人气投票,,,indexed_unknown,全角色,,jp,11,complete,indexed_thread_original_not_rendered,,,百度公开索引仍返回原帖题名和URL，但PC原帖当前只渲染吧页框架，未读取正文。,无可核验回复数；不把索引片段补写为全文。,baidu_index_original_not_rendered,2026-08-24,index_verified_original_unavailable,全角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r10_index_gap,Tieba,CN,东方吧,https://tieba.baidu.com/p/7877838322,中文东方人气投票 第⑩回,【中文东方人气投票——第⑩回】,,,indexed_unknown,全角色,,cn,10,complete,indexed_thread_original_not_rendered,,,百度公开索引仍返回原帖题名和URL，但PC原帖当前只渲染吧页框架，未读取正文。,无可核验回复数；不把索引片段补写为全文。,baidu_index_original_not_rendered,2026-08-24,index_verified_original_unavailable,全角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r10_zion_result_index_gap,Tieba,CN,东方吧,https://tieba.baidu.com/p/7916195444,第⑩届东方中文投票 依神紫苑,恭喜依神紫苑成为第⑩届东方中文投票第一😎😎😎😎,,,indexed_unknown,依神紫苑,依神紫苑,cn,10,complete,indexed_post_result_reaction_original_not_rendered,,,百度公开索引保留结果反应题名和原帖URL，但PC原帖当前不再渲染正文。,仅题名可核验；不能用题名推断评论内容、票数或因果。,baidu_index_original_not_rendered,2026-08-24,index_verified_original_unavailable,依神紫苑,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_jp_r7_honmei_stats,Tieba,CN,东方吧,https://tieba.baidu.com/p/715859916,第七回东方人气投票,第七回东方人气投票——角色本命率统计结果（据niconico整理）,雪月小空,2010-02-20,day,多角色,,jp,7,complete,post_result_statistics,72,1,正文整理第5—7回本命率、一押数和旧排名，并讨论总票高但一押率低的角色；附注记录第5回57人、第6回67人达到20票门槛。,72为页面“全部回复(72)”；旁边1为未标注数字，不解释为赞或票。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_adjacent_r5_nicodosai_result,Tieba,CN,萌战吧,https://tieba.baidu.com/p/2426473340,第五回NICO童祭投票,第五回NICO童祭东方人气投票结果公布,举世闻萌,2013-06-30,day,多角色,,,,complete,adjacent_niconico_festival_poll,99,,“心绮楼大胜利”；正文继续贴出音乐部门结果及评论数，属于NICO童祭社区投票，不与官方第5回东方Project人气投票合并。,99为页面‘全部回复(99)’；不能解释为票数或官方东方人气投票回复。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_adjacent_r5_nicodosai_result_short,Tieba,CN,东方幻想乡吧,https://tieba.baidu.com/p/2426679890,第五回NICO童祭投票,第五回东方NICO童祭人气投票结果,烧饼蟹,2013-06-30,day,多角色,,,,complete,adjacent_niconico_festival_poll,5,,正文为结果镇楼图，未展开出逐角色文字。,5为页面‘全部回复(5)’；不解释为票数或官方投票互动。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r4_self_report,Tieba,CN,东方吧,https://tieba.baidu.com/p/4074518508,第四回中文东方Project人气投票,第四回中文东方Project人气投票集中晒票贴,雨天放晴1,2015-09-30,day,多角色,,cn,4,complete,support_and_self_report,1174,3/1,正文说明第4回开始时间、角色票8张和音乐票12张；首层晒票写出⑨五人组、红白、文文和露娜，后续回复解释五人组为琪露诺、露米娅、大妖精、米斯蒂娅、莉格露。,1174为页面“全部回复(1174)”；3/1为未标注数字，均不等于角色票。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色;米斯蒂娅·萝蕾拉;大妖精;琪露诺;莉格露·奈特巴格;露米娅;妖精（女仆妖精、向日葵妖精等）;射命丸文,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r5_start,Tieba,CN,萌战吧,https://tieba.baidu.com/p/4806517839,国内东方project人气投票 第五回,国内东方project人气投票 第五回开始,仰望晨曦的夜空,2016-10-03,day,全角色,,cn,5,complete,support_or_mobilization,97,,正文把日区灵梦夺冠与国区灵梦长期连冠并置，给出touhou.vote并请求吧友参与。,97为页面“全部回复(97)”；不能解释为实际参与人数或角色票。,pc_web_fulltext_available,2026-08-24,verified_visible,全角色;博丽灵梦,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r5_result,Tieba,CN,东方三月精吧,https://tieba.baidu.com/p/4914375824,第五回中国东方人气投票,第五回中国东方人气投票的最终结果已发布,FFFFFF2895,2016-12-26,day,多角色,,cn,5,complete,post_result_reaction,34,,正文按人物排名更新并评论三妖精变动；可见楼层出现“我站文⑨”等立场表达。,34为页面“全部回复(34)”；楼层文本不能与国区票数相加。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色;红美铃;妖精（女仆妖精、向日葵妖精等）,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cross_2003_2014_summary,Tieba,CN,东方吧,https://tieba.baidu.com/p/3385098220,2003-2014东方Project人气投票总结,【专题】2003-2014年日本及中国东方project人气投票总结分析,齐国大帅,2014-11-01,day,全角色,,,,complete,longitudinal_summary,134,,正文说明对第1—10回日区与第1—3回国区结果做长期综合整理，提供日中官方投票页面入口并提醒作者解释可能有遗漏。,134为页面‘全部回复(134)’；跨届汇总不等于任何一届官方票数或逐角色评论量。,pc_web_fulltext_available,2026-08-24,verified_visible,全角色;红美铃,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_cn_r4_promo,Tieba,CN,十六夜月汐子吧,https://tieba.baidu.com/p/4067641338,第四回东方人气投票,［宣传］第四回东方人气投票,楼中时计,2015-09-27,day,全角色,,,cn,4,complete,support_accessibility_and_mobilization,,,正文给出2015-10-01 18:00开始、15天周期、角色票8张、音乐票12张和抽奖奖品。,无明确总回复数；不把页面控件数字解释成参与人数或票数。,pc_web_fulltext_available,2026-08-24,全角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_jp_r12_schedule,Tieba,CN,东方吧,https://tieba.baidu.com/p/4230536742,第12回東方人気投票,第12回東方人気投票1/10-16开始,ggxx112,2015-12-24,day,多角色,,jp,12,complete,support_accessibility_and_deadline_mobilization,99,,正文列出支援作品、ID申请与投票时间；可见回复出现“灵梦的机会来了”“世界第一夺回”等结果预期。,99为页面“全部回复(99)”；不能解释为实际投票人数。,pc_web_fulltext_available,2026-08-24,verified_visible,多角色;博丽灵梦,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
