bv,url,title,author,published_date_display,published_date,date_precision,view_display,view_snapshot,danmaku_display,danmaku_snapshot,duration,content_category,poll_region_alignment,mentioned_rounds,character_mentions_cn,search_query,first_result_page,all_result_pages,observed_at,coverage_note
BV1Wx411w74v,https://www.bilibili.com/video/BV1Wx411w74v/,第⑨次东方音乐人气投票结果（2012年2月）,G♂N,2012-02-27,2012-02-27,day,4666,4666,546,546,08:06,result_or_ranking,region_unspecified,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Wx411w7yc,https://www.bilibili.com/video/BV1Wx411w7yc/,【钢琴组曲】第9回東方人气投票 音乐部门30 ~ 1位 【1p附nico弹幕】,AliceLast,2012-02-28,2012-02-28,day,1.5万,15000,1531,1531,01:07:46,result_or_ranking,region_unspecified,9,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ax411w7X3,https://www.bilibili.com/video/BV1ax411w7X3/,第9回东方人气投票前日......,大卷次纸,2012-04-21,2012-04-21,day,1.7万,17000,203,203,00:55,other_direct_poll_item,region_unspecified,9,,东方Project人气投票,23,23,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ux411F7GN,https://www.bilibili.com/video/BV1ux411F7GN/,第七回东方project系列人气投票1到-80位(nico动画),手艺天堂,2012-05-28,2012-05-28,day,4058,4058,1471,1471,20:52,meme_or_derivative,region_unspecified,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Lx411F78B,https://www.bilibili.com/video/BV1Lx411F78B/,東方人気投票結果(五),一字文,2012-06-29,2012-06-29,day,2684,2684,244,244,08:06,result_or_ranking,jp_poll,,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1tx411F7Fs,https://www.bilibili.com/video/BV1tx411F7Fs/,天朝第一回东方Project人气投票结果（角色篇）,塔布莉斯,2012-08-19,2012-08-19,day,,,,,,result_or_ranking,jp_poll,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Hx411F7BW,https://www.bilibili.com/video/BV1Hx411F7BW/,天朝第一回东方Project人气投票活动结果（音乐部门）,水之贤人,2012-09-01,2012-09-01,day,7194,7194,1315,1315,10:39,result_or_ranking,jp_poll,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Qs411Z7FS,https://www.bilibili.com/video/BV1Qs411Z7FS/,東方人気投票結果流入幻想鄉(六),kikou,2013-05-24,2013-05-24,day,,,,,,result_or_ranking,jp_poll,,,东方Project人气投票,16,16,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV15s411f7EC,https://www.bilibili.com/video/BV15s411f7EC/,「東方NICO童祭人气投票」 结果发表,烤夜雀,2013-06-30,2013-06-30,day,1.6万,16000,6947,6947,38:47,result_or_ranking,region_unspecified,,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV15s411f7mu,https://www.bilibili.com/video/BV15s411f7mu/,「東方人気投票」结果发表 角色部门,魂魄の霊夢,2013-06-30,2013-06-30,day,7652,7652,2617,2617,19:59,result_or_ranking,jp_poll,,,东方Project人气投票,11,11,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1js411f7tS,https://www.bilibili.com/video/BV1js411f7tS/,「東方NICO童祭人气投票」音乐部门,白河琴美,2013-07-01,2013-07-01,day,,,,,,result_or_ranking,region_unspecified,,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1gs411f7Gj,https://www.bilibili.com/video/BV1gs411f7Gj/,东方人气投票结果流入幻想乡（七）,黑血,2013-07-09,2013-07-09,day,4041,4041,364,364,11:43,result_or_ranking,region_unspecified,,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1bs411f7r7,https://www.bilibili.com/video/BV1bs411f7r7/,第9回東方系列人気投票【像素画】,knightofwhitenight,2013-07-25,2013-07-25,day,1074,1074,166,166,10:05,other_direct_poll_item,region_unspecified,9,,东方Project人气投票,13,13,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ns411f7VE,https://www.bilibili.com/video/BV1ns411f7VE/,【第五回东方nico童祭】东方CP部门人气投票,普通泡面,2013-07-27,2013-07-27,day,2304,2304,87,87,03:56,other_direct_poll_item,region_unspecified,,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Js411f7q4,https://www.bilibili.com/video/BV1Js411f7q4/,【东方NICO童祭人气投票】CP部门直观数据分析（5P）,绝望是梦想的初章,2013-07-28,2013-07-28,day,,,,,,longitudinal_analysis,region_unspecified,,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV14s411o7vz,https://www.bilibili.com/video/BV14s411o7vz/,第二回天朝东方Project人气投票结果 音乐部分,北溟开江鱼,2013-10-13,2013-10-13,day,1.2万,12000,3887,3887,48:54,result_or_ranking,jp_poll,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV14s411Z7fb,https://www.bilibili.com/video/BV14s411Z7fb/,日本第10回东方人气投票 音乐部门,北溟开江鱼,2014-03-02,2014-03-02,day,6153,6153,1384,1384,54:44,result_or_ranking,region_unspecified,10,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ss411Z7DJ,https://www.bilibili.com/video/BV1ss411Z7DJ/,第10回东方人气投票结果 角色部门(95～1位),绝望是梦想的初章,2014-03-02,2014-03-02,day,2.8万,28000,5250,5250,22:28,result_or_ranking,region_unspecified,10,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ss411Z7QW,https://www.bilibili.com/video/BV1ss411Z7QW/,【钢琴组曲】第10回東方人气投票结果 音乐部门30 ~ 1位,绝望是梦想的初章,2014-03-02,2014-03-02,day,8497,8497,1494,1494,41:50,result_or_ranking,region_unspecified,10,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Js411Z7o7,https://www.bilibili.com/video/BV1Js411Z7o7/,【东方MMD】第十回东方人气投票结果【1—78位】,绝望是梦想的初章,2014-03-12,2014-03-12,day,8716,8716,522,522,07:59,meme_or_derivative,region_unspecified,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ex411K7tM,https://www.bilibili.com/video/BV1Ex411K7tM/,【THVote】第三回东方Project人气投票宣传！,绝望是梦想的初章,2014-08-28,2014-08-28,day,3942,3942,94,94,03:34,other_direct_poll_item,jp_poll,,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1jx411K7ZU,https://www.bilibili.com/video/BV1jx411K7ZU/,第三回天朝东方Project人气投票结果 音乐部分,北溟开江鱼,2014-09-06,2014-09-06,day,,,,,53:24,result_or_ranking,jp_poll,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1px411K7vX,https://www.bilibili.com/video/BV1px411K7vX/,【统计向】天朝第三届东方Project人气投票结果（角色篇 重制版）,克牢夫-罗兹菲尔德,2014-09-13,2014-09-13,day,5.0万,50000,8484,8484,23:44,longitudinal_analysis,jp_poll,,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV17s411U7n6,https://www.bilibili.com/video/BV17s411U7n6/,第11回11区东方人气投票结果【人物部分】,针妙丸,2015-06-01,2015-06-01,day,12.0万,120000,9899,9899,20:35,result_or_ranking,region_unspecified,11,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV18s411U7oS,https://www.bilibili.com/video/BV18s411U7oS/,【第11回东方project人气投票】各角色的图表和排名,石田侑子,2015-06-03,2015-06-03,day,7979,7979,501,501,23:25,result_or_ranking,jp_poll,11,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1as411U7M4,https://www.bilibili.com/video/BV1as411U7M4/,【MMD茶番】第11回东方人气投票结果发表会,星夜米兔,2015-06-04,2015-06-04,day,8506,8506,206,206,05:19,meme_or_derivative,region_unspecified,11,,东方Project人气投票,17,17;18,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1as411U7bv,https://www.bilibili.com/video/BV1as411U7bv/,【第11回东方project人气投票】顺位上升顺序全曲介绍【音乐部门】,石田侑子,2015-06-04,2015-06-04,day,,,,,,result_or_ranking,jp_poll,11,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ys411U7gD,https://www.bilibili.com/video/BV1Ys411U7gD/,【第11回东方人气投票】音乐部门1~30位,石田侑子,2015-06-05,2015-06-05,day,8930,8930,1165,1165,01:18:08,result_or_ranking,region_unspecified,11,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1rs411U7F5,https://www.bilibili.com/video/BV1rs411U7F5/,【东方MMD】第11回东方人气投票结果发表会 后篇,星夜米兔,2015-06-11,2015-06-11,day,,,,,09:49,meme_or_derivative,region_unspecified,11,,东方Project人气投票,26,26,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ss411S7ks,https://www.bilibili.com/video/BV1ss411S7ks/,【东方】第11回东方Project人气投票结果发表 角色部分TOP60,星夜米兔,2015-07-13,2015-07-13,day,859,859,52,52,13:09,result_or_ranking,jp_poll,11,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1us411d7S2,https://www.bilibili.com/video/BV1us411d7S2/,第四回天朝东方Project人气投票 音乐部分,北溟开江鱼,2015-11-10,2015-11-10,day,,,,,59:01,other_direct_poll_item,jp_poll,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Gs411d7Fy,https://www.bilibili.com/video/BV1Gs411d7Fy/,【统计向】天朝东方Project人气投票 (第四回·角色部分) (修复音质),克牢夫-罗兹菲尔德,2015-11-12,2015-11-12,day,18.5万,185000,1.5万,15000,17:36,longitudinal_analysis,jp_poll,,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ss411d7ii,https://www.bilibili.com/video/BV1ss411d7ii/,【日中比較】东方Project人气投票 第四回 排行榜,星夜米兔,2015-11-14,2015-11-14,day,5792,5792,505,505,15:52,longitudinal_analysis,jp_poll,,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV14s411d7Hr,https://www.bilibili.com/video/BV14s411d7Hr/,【NICO弹幕】东方Project人气投票 第四回 排行榜,星夜米兔,2015-11-15,2015-11-15,day,4440,4440,296,296,15:54,result_or_ranking,jp_poll,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1js411R7fq,https://www.bilibili.com/video/BV1js411R7fq/,【人气投票支援】我家的灵梦依旧这么可爱【东方MMD】,威严的蕾米不会蹲防,2016-01-05,2016-01-05,day,474,474,2,2,04:24,support_or_mobilization,region_unspecified,,博丽灵梦,东方Project人气投票,16,16,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ms411R7c3,https://www.bilibili.com/video/BV1Ms411R7c3/,【第12回东方人气投票支援】帅气的灵梦酱【东方MMD】,帕瓦双子,2016-01-06,2016-01-06,day,8161,8161,41,41,03:28,support_or_mobilization,region_unspecified,12,博丽灵梦,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ps411R77c,https://www.bilibili.com/video/BV1ps411R77c/,【第12回东方人气投票支援】换装爱丽丝的『Tell Your World』【七变化】,幻想乡的新月,2016-01-09,2016-01-09,day,1.4万,14000,225,225,04:25,support_or_mobilization,region_unspecified,12,,东方Project人气投票,25,25,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1is411R7fE,https://www.bilibili.com/video/BV1is411R7fE/,【第12回东方人气投票】当我变成老婆婆【博丽灵梦】,星夜米兔,2016-01-15,2016-01-15,day,1682,1682,13,13,04:13,other_direct_poll_item,region_unspecified,12,博丽灵梦,东方Project人气投票,27,27,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ks411R7h1,https://www.bilibili.com/video/BV1ks411R7h1/,【东方】第12回东方Project人气投票结果 角色部门 TOP100,伊吹小秋,2016-01-22,2016-01-22,day,2.6万,26000,1974,1974,21:04,result_or_ranking,jp_poll,12,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Rs411R7RF,https://www.bilibili.com/video/BV1Rs411R7RF/,【東方】第12回東方project人気投票 角色部門TOP100 角色解説,星夜米兔,2016-01-23,2016-01-23,day,888,888,70,70,28:52,result_or_ranking,jp_poll,12,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Rs411R7dK,https://www.bilibili.com/video/BV1Rs411R7dK/,【速報版】第１２回東方Project人気投票音楽部門【１０位～１位】,星夜米兔,2016-01-23,2016-01-23,day,,,,,,result_or_ranking,jp_poll,12,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ds411R7WF,https://www.bilibili.com/video/BV1ds411R7WF/,【第12回东方Project人气投票】各角色排名图形化2种,幻想乡的新月,2016-01-23,2016-01-23,day,3.1万,31000,4133,4133,31:32,result_or_ranking,jp_poll,12,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ds411R7ws,https://www.bilibili.com/video/BV1ds411R7ws/,第12回東方Project人気投票的人气分析,星夜米兔,2016-01-23,2016-01-23,day,,,,,,longitudinal_analysis,jp_poll,12,,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1as411X7ZW,https://www.bilibili.com/video/BV1as411X7ZW/,【第12回东方project人气投票】顺位上升顺序全曲介绍【音乐部门】,流泪哭哭馒,2016-01-30,2016-01-30,day,3702,3702,289,289,46:19,result_or_ranking,jp_poll,12,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ys411X75k,https://www.bilibili.com/video/BV1Ys411X75k/,【东方MMD】2016版 东方角色136人的第12回人气投票結果顺序排列,幻想乡的新月,2016-01-31,2016-01-31,day,2.4万,24000,1411,1411,05:00,meme_or_derivative,region_unspecified,12,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ms411r7Nb,https://www.bilibili.com/video/BV1Ms411r7Nb/,2016东方人物小规模人气投票（b站，贴吧）,十六夜帕德,2016-09-08,2016-09-08,day,,,,,,other_direct_poll_item,region_unspecified,,,东方Project人气投票,27,27,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV16s411a7uF,https://www.bilibili.com/video/BV16s411a7uF/,【投票统计】第五回天朝东方Project人气投票-角色部门,時園羽霊,2016-12-27,2016-12-27,day,,,,,,longitudinal_analysis,jp_poll,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Us411a7JM,https://www.bilibili.com/video/BV1Us411a7JM/,【统计向】中文东方Project人气投票结果(第五回·角色部分),克牢夫-罗兹菲尔德,2016-12-29,2016-12-29,day,5.5万,55000,6065,6065,21:08,longitudinal_analysis,cn_poll,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ms411a7eS,https://www.bilibili.com/video/BV1ms411a7eS/,第五回天朝东方Project人气投票 音乐部分,北溟开江鱼,2016-12-29,2016-12-29,day,8384,8384,1201,1201,54:13,other_direct_poll_item,jp_poll,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ks411Y74r,https://www.bilibili.com/video/BV1Ks411Y74r/,【统计向】第五回天朝东方project人气投票 组合（cp）部分,泳装冰棒,2016-12-31,2016-12-31,day,4286,4286,304,304,07:20,longitudinal_analysis,jp_poll,,,东方Project人气投票,17,17;18,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1es411h7SC,https://www.bilibili.com/video/BV1es411h7SC/,【第13回东方Project人气投票支援】三月精ＶＳ魔理沙【东方手书动画·13】,伊吹小秋,2017-01-14,2017-01-14,day,2.5万,25000,166,166,02:33,support_or_mobilization,jp_poll,13,雾雨魔理沙,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1as411b7EB,https://www.bilibili.com/video/BV1as411b7EB/,【捶胸 MMD】我蕾米今天要打死你们！（第13回东方project人气投票应援）,凝霜十夜,2017-01-21,2017-01-21,day,5.4万,54000,367,367,01:46,support_or_mobilization,jp_poll,13,蕾米莉亚·斯卡蕾特,东方Project人气投票,33,33,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1hs411b7pA,https://www.bilibili.com/video/BV1hs411b7pA/,【東方MMD】2017版 東方125人人气排名 第13回人気投票結果,账号已注销,2017-01-22,2017-01-22,day,3258,3258,58,58,05:07,meme_or_derivative,region_unspecified,13,,东方Project人气投票,26,26,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1xs411b7Zg,https://www.bilibili.com/video/BV1xs411b7Zg/,【东方】第13回东方Project人气投票 人妖部门 TOP100,伊吹小秋,2017-01-22,2017-01-22,day,4.1万,41000,4788,4788,20:29,result_or_ranking,jp_poll,13,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ms411b7gp,https://www.bilibili.com/video/BV1ms411b7gp/,第13回 东方Project 人气投票 音乐部门,伊吹小秋,2017-01-25,2017-01-25,day,2.1万,21000,1609,1609,21:40,result_or_ranking,region_unspecified,13,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1tx411D75b,https://www.bilibili.com/video/BV1tx411D75b/,第13届东方项目人气投票的组合（CP）部门TOP100,吼叫尾玛莉亚,2017-04-17,2017-04-17,day,5704,5704,504,504,21:18,result_or_ranking,region_unspecified,13,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1hx41147YC,https://www.bilibili.com/video/BV1hx41147YC/,【搬运】【東方MMD】2017版 东方角色125人人气投票结果（第十三回）,Mr·Negative,2017-09-10,2017-09-10,day,,,,,,meme_or_derivative,region_unspecified,,,东方Project人气投票,16,16,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1zx411u77C,https://www.bilibili.com/video/BV1zx411u77C/,【东方MMD】 威严布丁不可兼得（天朝第六届东方人气投票，红魔组应援）,吼叫尾玛莉亚,2017-10-09,2017-10-09,day,,,,,,support_or_mobilization,region_unspecified,,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Zx41177eW,https://www.bilibili.com/video/BV1Zx41177eW/,【日中比较】东方Project人气投票 第六回 排行榜【替换BGM】,星夜米兔,2017-10-29,2017-10-29,day,8117,8117,340,340,14:09,longitudinal_analysis,jp_poll,,,东方Project人气投票,11,11,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1bx411E7Q8,https://www.bilibili.com/video/BV1bx411E7Q8/,[统计向]第六回中文东方Project人气投票结果(角色+部分问卷数据),克牢夫-罗兹菲尔德,2017-11-02,2017-11-02,day,6.1万,61000,5019,5019,21:44,rules_or_discussion,cn_poll,,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1wW411z7bE,https://www.bilibili.com/video/BV1wW411z7bE/,【东方人气投票支援】女仆装笨蛋战队「Carry Me off」【露米娅之日】,⑨实践梦想⑨,2018-01-07,2018-01-07,day,,,,,,support_or_mobilization,region_unspecified,,露米娅;琪露诺,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1tW411i7NV,https://www.bilibili.com/video/BV1tW411i7NV/,【第14回东方project人气投票】堀川雷鼓的凝视【东方MMD】,⑨实践梦想⑨,2018-01-09,2018-01-09,day,,,,,,meme_or_derivative,jp_poll,14,堀川雷鼓,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1MW411q7cw,https://www.bilibili.com/video/BV1MW411q7cw/,【第14回东方project人气投票】萌萌哒的大妖精「Lap Tap Love」,⑨实践梦想⑨,2018-01-13,2018-01-13,day,1331,1331,6,6,03:25,other_direct_poll_item,jp_poll,14,大妖精;妖精（女仆妖精、向日葵妖精等）,东方Project人气投票,11,11,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1pW411q7WN,https://www.bilibili.com/video/BV1pW411q7WN/,【人气投票应援】【东方MMD】露米娅的てるてる（她那么可爱，你们为什么不投她！）,小东东子,2018-01-13,2018-01-13,day,,,,,,support_or_mobilization,region_unspecified,,露米娅,东方Project人气投票,25,25,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
