raw_cn_label,mapping_status,suggested_canonical_cn,observed_rounds,rank_examples,resolution_note
妖精（含持花妖精，僵尸妖精）,collective_or_unnamed_unresolved,,1;2;3;4;5;6;7;8;9;10;11,100;106;112;131;126;130;129;144,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
导航,unmapped_manual_review,,5;6;7;8;9;10;11,178;155;162;178;189;193;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
小丑,unmapped_manual_review,,10;11,175;181,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
尼西号,unmapped_manual_review,,4;5;6;7;8;9;10;11,173;145;196;173;201;189;216;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
幽灵,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,115;117;129;173;167;163;173;163,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
彭祖,unmapped_manual_review,,4;5;6;7;8;9;10;11,154;178;196;173;171;175;199;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
怨灵,unmapped_manual_review,,4;5;6;7;8;9;10;11,173;178;196;162;178;189;196;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
怨灵少女,unmapped_manual_review,,3;4;5;6;7;8;9;10;11,136;173;158;172;173;201;210;216,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
无名的读书妖怪,collective_or_unnamed_unresolved,,10;11,112;117,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
月夜见,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,121;121;124;145;145;151;153;171,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
杀死大老爷的侍童,unmapped_manual_review,,5;6;7;8;9;10;11,178;172;173;163;189;201;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
正直者,unmapped_manual_review,,10;11,158;175,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
水鬼鬼神长,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,130;130;149;173;178;196;189;201,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
求闻史纪中的受访人群,unmapped_manual_review,,3;4;5;6;7;8;9;10;11,119;135;133;151;149;155;175;178,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
求闻史纪中的受访人群2,unmapped_manual_review,,2,106,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,unmapped_manual_review,,1,108,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
火雷神,unmapped_manual_review,,4;5;6;7;8;9;10;11,173;178;196;189;201;210;230;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
狸猫,unmapped_manual_review,,3;4;5;6;7;8;9;10;11,115;145;158;163;173;190;180;201,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
玛○奇,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,130;130;129;154;167;196;173;190,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
白仙和尚,unmapped_manual_review,,3;4;5;6;7;8;9;10;11,149;173;178;163;173;201;189;216,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
百鬼夜行绘卷妖怪（黑鬼）,unmapped_manual_review,,6;7;8;9;10;11,172;189;190;210;201;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
石凝老命,unmapped_manual_review,,5;6;7;8;9;10;11,178;172;189;201;210;230;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
石凝老命5,unmapped_manual_review,,4,173,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
石长姬,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,119;141;149;173;178;172;189;178,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
祐天上人,unmapped_manual_review,,10;11,230;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
秦河胜,unmapped_manual_review,,4;5;6;7;8;9;10;11,137;149;147;141;150;149;170;175,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
稻荷大人,unmapped_manual_review,,4;5;6;7;8;9,145;167;147;189;178;189,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
竹扫帚付丧神,unmapped_manual_review,,5;6;7;8;9;10;11,178;196;189;201;189;230;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
管狐,unmapped_manual_review,,3;4;5;6;7;8;9;10;11,149;154;149;172;189;201;180;161,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
绿巨人,unmapped_manual_review,,4;5;6;7;8;9;10;11,126;149;172;162;178;189;185;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
苏格拉底,unmapped_manual_review,,4;5;6;7;8;9;10;11,154;158;147;153;178;160;161;159,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
茨木童子之臂,unmapped_manual_review,,8;9;10;11,142;158;181;169,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
读书狐狸,unmapped_manual_review,,4;5;6;7;8;9,139;149;155;173;163;171,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
邪眼西格玛,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,130;141;149;173;158;172;156;163,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
邪龙,unmapped_manual_review,,2;3;4;5;6;7;8;9,130;136;154;158;172;162;178;210,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
酒吧“Old Adam”的客人,unmapped_manual_review,,10;11,184;191,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
酒吧“Old Adam”的老板,unmapped_manual_review,,10;11,201;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
酒吧客人,unmapped_manual_review,,5;6;7;8;9,149;155;189;171;175,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
野铁炮,unmapped_manual_review,,4;5;6;7;8;9;10;11,154;178;172;189;201;210;187;187,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
阴阳玉,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,91;97;106;136;131;138;140;149,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
阿菊,unmapped_manual_review,,4;5;6;7;8;9;10;11,137;167;155;162;190;180;210;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
雷兽,unmapped_manual_review,,2;3,141;136,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
饿神,unmapped_manual_review,,6;7;8;9;10;11,196;189;201;210;230;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
马凭,unmapped_manual_review,,5;6;7;8;9;10;11,178;172;189;201;189;230;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
黄帝,unmapped_manual_review,,4;5;6;7;8;9;10;11,139;158;155;162;163;168;187;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
龙神,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,108;109;114;118;115;135;141;142,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
