round,relative_phase,platform,source_url,published_at,observed_at,metric,metric_value,metric_unit,metric_kind,topic_or_work,notes
21,results_day,Bilibili,https://www.bilibili.com/video/BV1pkhqzMEwo/,2025-08-30T18:03:21+08:00,2026-08-23T17:00:00+08:00,views,6194,views,current_cumulative,"十年后恋恋回到第一",结果日18:03发布；把夺冠包装成“十年之约”叙事。
21,results_day,X_archive,https://archive.twitter-trending.com/japan/30-08-2025,2025-08-30T08:00:00Z,2026-08-23T17:00:00+08:00,rank,6,Top10_rank,"こいしちゃん",UTC 08:00（JST 17:00）进入日本区Top10，1.866千推文。
21,results_day,X_archive,https://archive.twitter-trending.com/japan/30-08-2025,2025-08-30T08:30:00Z,2026-08-23T17:00:00+08:00,rank,4,Top10_rank,"こいしちゃん",UTC 08:30（JST 17:30），2.540千推文。
21,results_day,X_archive,https://archive.twitter-trending.com/japan/30-08-2025,2025-08-30T09:00:00Z,2026-08-23T17:00:00+08:00,rank,4,Top10_rank,"こいしちゃん",UTC 09:00（JST 18:00），3.317千推文。
21,results_day,X_archive,https://archive.twitter-trending.com/japan/30-08-2025,2025-08-30T09:30:00Z,2026-08-23T17:00:00+08:00,rank,8,Top10_rank,"こいしちゃん",UTC 09:30（JST 18:30），4.008千推文；四个半小时截面连续在Top10。
21,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2025-08-17,2026-08-23T17:00:00+08:00,search_index,14,index_0_100,"東方Project人気投票",投票周值。
21,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2025-08-24,2026-08-23T17:00:00+08:00,search_index,27,index_0_100,"東方Project人気投票",结果周明显高于投票周。
21,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2025-08-17,2026-08-23T17:00:00+08:00,search_index,67,index_0_100,"古明地こいし",角色词周值。
21,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2025-08-24,2026-08-23T17:00:00+08:00,search_index,60,index_0_100,"古明地こいし",结果周未高于投票周；说明搜索、X趋势和B站二创并非同一指标。
22,voting_period,official_support,https://toho-vote.info/support,2026-08-23T17:00:00+08:00,2026-08-23T17:00:00+08:00,registered_support_works,434,works,current_page_count,"第22回支援作品",官方附加页当前可见条目；约254 X、109 Pixiv、17 NicoNico静画，另有视频/音乐/漫画/SS等。只能描述应援供给，不是票数。
