alias_cn,canonical_cn,alias_type,mapping_status,source,observed_rounds,observed_forms,confidence,mapping_note
九十九弁弁,九十九弁弁,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/九十九弁弁,2;3;4;5;6;7;8;9;10;11,九十九弁弁,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
二岩猯藏,二岩猯藏,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
二岩猯藏,二岩猯藏,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/二岩猯藏,1;2;3;4;5;6;7;8;9;10;11,二岩猯藏,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
云居一轮,云居一轮,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
云山,云山,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
今泉影狼,今泉影狼,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
今泉影狼,今泉影狼,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/今泉影狼,2;3;4;5;6;7;8;9;10;11,今泉影狼,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
仙台四郎（福神）,仙台四郎（福神）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
伊吹萃香,伊吹萃香,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
伊吹萃香,伊吹萃香,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/伊吹萃香,1;2;3;4;5;6;7;8;9;10;11,伊吹萃香,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
依神女苑,依神女苑,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
依神女苑,依神女苑,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/依神女苑,7;8;9;10;11,依神女苑,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
女苑,依神女苑,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,女苑,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
依神紫苑,依神紫苑,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
依神紫苑,依神紫苑,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/依神紫苑,7;8;9;10;11,依神紫苑,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
紫苑,依神紫苑,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,紫苑,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
伊莉丝,依莉斯,legacy_translation_variant,exact_fun_mapping,curated_cn_translation_aliases,,伊莉丝,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
依莉斯,依莉斯,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
依莉斯,依莉斯,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/依莉斯,1;2;3;4;5;6;7;8;9;10;11,依莉斯,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
克劳恩皮丝,克劳恩皮丝,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
克劳恩皮丝,克劳恩皮丝,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/克劳恩皮丝,4;5;6;7;8;9;10;11,克劳恩皮丝,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
兔子（玉兔、永远亭的妖怪兔等）,兔子（玉兔、永远亭的妖怪兔等）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
八云紫,八云紫,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,1;2;3;4;5;6;7;8;9;10;11,八云紫,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
八云紫,八云紫,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
八云紫,八云紫,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/八云紫,1;2;3;4;5;6;7;8;9;10;11,八云紫,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
紫妈,八云紫,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,紫妈,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
八云蓝,八云蓝,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,1;2;3;4;5;6;7;8;9;10;11,八云蓝,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
八云蓝,八云蓝,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
八云蓝,八云蓝,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/八云蓝,1;2;3;4;5;6;7;8;9;10;11,八云蓝,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
蓝妈,八云蓝,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,蓝妈,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
八坂神奈子,八坂神奈子,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
八坂神奈子,八坂神奈子,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/八坂神奈子,1;2;3;4;5;6;7;8;9;10;11,八坂神奈子,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
神妈,八坂神奈子,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,神妈,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
八意永琳,八意永琳,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
八意永琳,八意永琳,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/八意永琳,1;2;3;4;5;6;7;8;9;10;11,八意永琳,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
永琳,八意永琳,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,永琳,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
冈崎梦美,冈崎梦美,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
冈崎梦美,冈崎梦美,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/冈崎梦美,1;2;3;4;5;6;7;8;9;10;11,冈崎梦美,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
冴月麟,冴月麟,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
冴月麟,冴月麟,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/冴月麟,1;2;3;4;5;6;7;8;9;10;11,冴月麟,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
北白河千百合,北白河千百合,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
北白河千百合,北白河千百合,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/北白河千百合,1;2;3;4;5;6;7;8;9;10;11,北白河千百合,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
PAD长,十六夜咲夜,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,PAD长,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
十六夜咲夜,十六夜咲夜,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
十六夜咲夜,十六夜咲夜,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/十六夜咲夜,1;2;3;4;5;6;7;8;9;10;11,十六夜咲夜,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
咲夜,十六夜咲夜,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,咲夜,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
女仆长,十六夜咲夜,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,女仆长,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
雷兽（务光）,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,collective_label_component,exact_fun_mapping,curated_cn_translation_aliases,5;6;7;8;9;10;11,雷兽（务光）,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
雷兽（务光）,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,observed_cn_vote_form,explicit_alias,cn_vote_history_all_characters.csv,5;6;7;8;9;10;11,雷兽（务光）,medium,历史国区表中实际出现的译名/后缀形式；已归一化但保留原始名。
雷兽（务光）4,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,observed_cn_vote_form,explicit_alias,cn_vote_history_all_characters.csv,4,雷兽（务光）4,medium,历史国区表中实际出现的译名/后缀形式；已归一化但保留原始名。
雷兽（务光）4,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,poll_label_artifact,exact_fun_mapping,curated_cn_translation_aliases,4,雷兽（务光）4,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
卓柏卡布拉,卓柏卡布拉,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
博丽灵梦,博丽灵梦,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
博丽灵梦,博丽灵梦,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/博丽灵梦,1;2;3;4;5;6;7;8;9;10;11,博丽灵梦,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
灵梦,博丽灵梦,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,灵梦,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
靈夢,博丽灵梦,traditional_variant,exact_fun_mapping,curated_cn_translation_aliases,,靈夢,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
卡娜·安娜贝拉尔,卡娜·安娜贝拉尔,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
卡娜·安娜贝拉尔,卡娜·安娜贝拉尔,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/卡娜·安娜贝拉尔,1;2;3;4;5;6;7;8;9;10;11,卡娜·安娜贝拉尔,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
古明地恋,古明地恋,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
古明地恋,古明地恋,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/古明地恋,1;2;3;4;5;6;7;8;9;10;11,古明地恋,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
恋恋,古明地恋,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,恋恋,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
古明地小五,古明地觉,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,古明地小五,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
古明地觉,古明地觉,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
古明地觉,古明地觉,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/古明地觉,1;2;3;4;5;6;7;8;9;10;11,古明地觉,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
小五,古明地觉,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,小五,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
觉大人,古明地觉,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,觉大人,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
觉酱,古明地觉,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,觉酱,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
吉吊八千慧,吉吊八千慧,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
吉吊八千慧,吉吊八千慧,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/吉吊八千慧,8;9;10;11,吉吊八千慧,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
命莲,命莲,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
咪咪号,咪咪号,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
咪咪号,咪咪号,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/咪咪号,1;2;3;4;5;6;7;8;9;10;11,咪咪号,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
哆来咪,哆来咪·苏伊特,canonical_short_form,exact_fun_mapping,curated_cn_translation_aliases,,哆来咪,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
哆来咪·苏伊特,哆来咪·苏伊特,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
哆来咪·苏伊特,哆来咪·苏伊特,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/哆来咪·苏伊特,4;5;6;7;8;9;10;11,哆来咪·苏伊特,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
哆来米,哆来咪·苏伊特,simplified_variant,exact_fun_mapping,curated_cn_translation_aliases,,哆来米,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
四季映姬·夜摩仙那度,四季映姬·夜摩仙那度,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
四季映姬·夜摩仙那度,四季映姬·夜摩仙那度,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/四季映姬·夜摩仙那度,1;2;3;4;5;6;7;8;9;10;11,四季映姬·夜摩仙那度,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
山田,四季映姬·夜摩仙那度,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,山田,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
因幡天为,因幡天为（因幡帝）,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/因幡天为,,因幡天为,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
因幡天为（因幡帝）,因幡天为（因幡帝）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
因幡帝,因幡天为（因幡帝）,legacy_translation_variant,exact_fun_mapping,curated_cn_translation_aliases,,因幡帝,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
圣白莲,圣白莲,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
圣白莲,圣白莲,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/圣白莲,1;2;3;4;5;6;7;8;9;10;11,圣白莲,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
莲妈,圣白莲,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,莲妈,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
地精,地精,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
地精2,地精,observed_cn_vote_form,explicit_alias,cn_vote_history_all_characters.csv,5,地精2,medium,历史国区表中实际出现的译名/后缀形式；已归一化但保留原始名。
地精2,地精,poll_label_artifact,exact_fun_mapping,curated_cn_translation_aliases,5,地精2,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
大地精,地精,legacy_translation_variant,exact_fun_mapping,curated_cn_translation_aliases,3;4,大地精,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
大地精,地精,observed_cn_vote_form,explicit_alias,cn_vote_history_all_characters.csv,3;4,大地精,medium,历史国区表中实际出现的译名/后缀形式；已归一化但保留原始名。
坂田合欢,坂田合欢,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
坂田合欢,坂田合欢,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/坂田合欢,10;11,坂田合欢,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
坂田合欢乃,坂田合欢,observed_cn_vote_form,explicit_alias,cn_vote_history_all_characters.csv,6;7;8;9,坂田合欢乃,medium,历史国区表中实际出现的译名/后缀形式；已归一化但保留原始名。
坂田合欢乃,坂田合欢,poll_label_artifact,exact_fun_mapping,curated_cn_translation_aliases,6;7;8;9,坂田合欢乃,high,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
埴安神袿姬,埴安神袿姬,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
埴安神袿姬,埴安神袿姬,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/埴安神袿姬,8;9;10;11,埴安神袿姬,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
堀川雷鼓,堀川雷鼓,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
堀川雷鼓,堀川雷鼓,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/堀川雷鼓,2;3;4;5;6;7;8;9;10;11,堀川雷鼓,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
多多良小伞,多多良小伞,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
多多良小伞,多多良小伞,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/多多良小伞,1;2;3;4;5;6;7;8;9;10;11,多多良小伞,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
大妖精,大妖精,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
大妖精,大妖精,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/大妖精,1;2;3;4;5;6;7;8;9;10;11,大妖精,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
大酱,大妖精,derivative_nickname,exact_fun_mapping,curated_cn_translation_aliases,,大酱,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
大鲶鱼,大鲶鱼,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
大鲶鱼,大鲶鱼,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/大鲶鱼,1;2;3;4;5;6;7;8;9;10;11,大鲶鱼,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
大鹫灵,大鹫灵,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
天弓千亦,天弓千亦,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
天弓千亦,天弓千亦,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/天弓千亦,10;11,天弓千亦,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
天火人血枪,天火人血枪,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
天火人血枪,天火人血枪,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/天火人血枪,11,天火人血枪,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
天狗（香霖堂的天狗、大天狗等）,天狗（香霖堂的天狗、大天狗等）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
