id,index,first,c1,c2,c3,total,ratio,g1,g2,g3,c1ratio,c2ratio,c3ratio,c1name,c2name,c3name,g0,g1ratio,g2ratio,g3ratio,g0ratio
58,45,11,3,4,5,82,13.41,4,6,36,18,5,38,露米娅,大妖精,琪露诺,36,4.88,7.32,43.9,43.9
171,46,10,6,11,0,79,12.66,18,18,0,36,29,0,红美铃,芙兰朵露·斯卡蕾特,-,43,22.78,22.78,0,54.43
41,46,10,30,31,0,79,12.66,38,3,0,23,37,0,因幡帝,铃仙·优昙华院·因幡,-,38,48.1,3.8,0,48.1
129,48,11,96,97,0,69,15.94,30,12,0,28,40,0,哆来咪·苏伊特,稀神探女,-,27,43.480000000000004,17.39,0,39.129999999999995
137,49,11,73,74,0,66,16.67,10,23,0,25,27,0,苏我屠自古,物部布都,-,33,15.15,34.849999999999994,0,50
178,50,13,42,43,0,62,20.97,6,23,0,38,17,0,键山雏,河城荷取,-,33,9.68,37.1,0,53.23
73,50,11,1,2,9,62,17.74,16,1,3,40,30,33,博丽灵梦,雾雨魔理沙,十六夜咲夜,42,25.81,1.6099999999999999,4.84,67.74
191,52,6,71,72,0,60,10,2,34,0,15,24,0,宫古芳香,霍青娥,-,24,3.3300000000000005,56.67,0,40
37,53,13,10,54,0,58,22.41,15,8,0,37,49,0,蕾米莉亚·斯卡蕾特,古明地觉,-,35,25.86,13.79,0,60.34
97,53,12,37,49,0,58,20.69,34,9,0,18,34,0,风见幽香,比那名居天子,-,15,58.620000000000005,15.52,0,25.86
10,55,14,11,57,65,54,25.93,3,2,3,29,38,22,芙兰朵露·斯卡蕾特,古明地恋,封兽鵺,46,5.56,3.6999999999999997,5.56,85.19
45,55,5,35,44,69,54,9.26,27,2,0,33,14,7,射命丸文,犬走椛,姬海棠果,25,50,3.6999999999999997,0,46.300000000000004
166,57,14,1,10,0,53,26.42,19,10,0,41,27,0,博丽灵梦,蕾米莉亚·斯卡蕾特,-,24,35.85,18.87,0,45.28
222,58,7,1,3,0,51,13.73,6,10,0,31,25,0,博丽灵梦,露米娅,-,35,11.76,19.61,0,68.63
148,59,12,62,65,0,49,24.49,20,7,0,31,27,0,村纱水蜜,封兽鵺,-,22,40.82,14.29,0,44.9
104,59,12,7,8,0,49,24.49,11,12,0,21,31,0,小恶魔,帕秋莉·诺蕾姬,-,26,22.45,24.490000000000002,0,53.059999999999995
225,61,16,15,37,0,48,33.33,2,29,0,30,36,0,爱丽丝·玛格特洛依德,风见幽香,-,17,4.17,60.419999999999995,0,35.42
119,61,9,58,63,0,48,18.75,18,14,0,18,15,0,娜兹玲,寅丸星,-,16,37.5,29.17,0,33.33
237,63,15,6,9,10,47,31.91,3,13,4,10,25,15,红美铃,十六夜咲夜,蕾米莉亚·斯卡蕾特,27,6.38,27.66,8.51,57.45
165,64,16,1,35,0,45,35.56,4,16,0,25,36,0,博丽灵梦,射命丸文,-,25,8.89,35.56,0,55.559999999999995
19,64,10,20,21,23,45,22.22,4,15,11,14,29,13,魂魄妖梦,西行寺幽幽子,八云紫,15,8.89,33.33,24.44,33.33
53,64,10,65,84,0,45,22.22,9,13,0,24,26,0,封兽鵺,鬼人正邪,-,23,20,28.89,0,51.11
111,64,7,64,75,77,45,15.56,4,5,4,11,14,18,圣白莲,丰聪耳神子,秦心,32,8.89,11.110000000000001,8.89,71.11
89,64,7,17,18,19,45,15.56,4,1,4,9,5,6,露娜萨·普莉兹姆利巴,梅露兰·普莉兹姆利巴,莉莉卡·普莉兹姆利巴,36,8.89,2.22,8.89,80
83,69,14,23,37,0,44,31.82,11,9,0,31,33,0,八云紫,风见幽香,-,24,25,20.45,0,54.55
40,70,18,54,57,77,42,42.86,0,23,0,29,24,25,古明地觉,古明地恋,秦心,19,0,54.76,0,45.24
11,70,14,1,2,45,42,33.33,8,7,4,31,17,24,博丽灵梦,雾雨魔理沙,东风谷早苗,23,19.05,16.669999999999998,9.520000000000001,54.76
78,70,8,22,23,0,42,19.05,5,22,0,17,28,0,八云蓝,八云紫,-,15,11.899999999999999,52.38,0,35.709999999999994
252,73,5,40,41,0,41,12.2,1,5,0,8,11,0,秋静叶,秋穰子,-,35,2.44,12.2,0,85.37
161,74,9,35,136,0,39,23.08,15,3,0,30,20,0,射命丸文,稗田阿求,-,21,38.46,7.6899999999999995,0,53.849999999999994
79,74,5,31,32,0,39,12.82,5,19,0,25,16,0,铃仙·优昙华院·因幡,八意永琳,-,15,12.82,48.72,0,38.46
216,76,13,1,2,23,38,34.21,16,2,7,24,12,20,博丽灵梦,雾雨魔理沙,八云紫,13,42.11,5.26,18.42,34.21
116,76,5,139,140,141,38,13.16,6,0,1,10,13,14,桑尼米尔克,露娜切尔德,斯塔萨菲雅,31,15.790000000000001,0,2.63,81.58
81,78,11,45,59,0,36,30.56,17,1,0,18,21,0,东风谷早苗,多多良小伞,-,18,47.22,2.78,0,50
154,78,7,36,37,0,36,19.44,4,14,0,13,18,0,梅蒂欣·梅兰可莉,风见幽香,-,18,11.110000000000001,38.89,0,50
28,78,5,2,11,0,36,13.89,15,6,0,26,23,0,雾雨魔理沙,芙兰朵露·斯卡蕾特,-,15,41.67,16.669999999999998,0,41.67
93,81,4,34,87,0,35,11.43,10,4,0,12,16,0,藤原妹红,宇佐见堇子,-,21,28.57,11.43,0,60
63,81,3,79,80,81,35,8.57,0,2,1,2,12,4,若鹭姬,赤蛮奇,今泉影狼,32,0,5.71,2.86,91.43
299,83,15,1,21,23,34,44.12,5,1,16,25,15,25,博丽灵梦,西行寺幽幽子,八云紫,12,14.71,2.94,47.06,35.29
13,83,10,23,32,0,34,29.41,9,5,0,21,24,0,八云紫,八意永琳,-,20,26.47,14.71,0,58.81999999999999
192,85,7,98,99,100,32,21.88,0,6,3,16,13,14,克劳恩皮丝,纯狐,赫卡提亚·拉碧斯拉祖利,23,0,18.75,9.379999999999999,71.88
43,85,7,27,37,0,32,21.88,5,14,0,10,19,0,莉格露·奈特巴格,风见幽香,-,13,15.629999999999999,43.75,0,40.63
123,85,1,14,22,0,32,3.13,4,13,0,10,5,0,橙,八云蓝,-,15,12.5,40.63,0,46.88
153,88,7,75,77,0,31,22.58,21,1,0,16,17,0,丰聪耳神子,秦心,-,9,67.74,3.2300000000000004,0,29.03
113,88,7,15,133,0,31,22.58,1,13,0,20,21,0,爱丽丝·玛格特洛依德,神绮,-,17,3.2300000000000004,41.94,0,54.84
234,88,6,28,70,0,31,19.35,2,3,0,10,9,0,米斯蒂娅·萝蕾拉,幽谷响子,-,26,6.45,9.68,0,83.87
66,88,5,82,83,86,31,16.13,1,0,14,9,3,15,九十九弁弁,九十九八桥,堀川雷鼓,16,3.2300000000000004,0,45.16,51.61
144,88,1,5,13,0,31,3.23,4,9,0,12,6,0,琪露诺,蕾蒂·霍瓦特洛克,-,18,12.9,29.03,0,58.06
61,93,5,117,118,0,29,17.24,7,12,0,4,19,0,北白河千百合,冈崎梦美,-,10,24.14,41.38,0,34.48
29,93,4,32,33,34,29,13.79,1,6,4,9,17,10,八意永琳,蓬莱山辉夜,藤原妹红,18,3.45,20.69,13.79,62.07
212,95,11,59,65,0,28,39.29,9,6,0,16,14,0,多多良小伞,封兽鵺,-,13,32.14,21.43,0,46.43
44,96,4,26,53,145,25,16,3,0,1,14,3,9,伊吹萃香,星熊勇仪,茨木华扇,21,12,0,4,84
85,97,10,87,134,135,24,41.67,2,6,1,10,12,9,宇佐见堇子,宇佐见莲子,玛艾露贝莉·赫恩,15,8.33,25,4.17,62.5
126,97,5,9,15,0,24,20.83,13,1,0,18,12,0,十六夜咲夜,爱丽丝·玛格特洛依德,-,10,54.169999999999995,4.17,0,41.67
136,97,4,72,75,0,24,16.67,12,4,0,11,15,0,霍青娥,丰聪耳神子,-,8,50,16.669999999999998,0,33.33
91,100,5,65,76,0,23,21.74,3,6,0,9,9,0,封兽鵺,二岩猯藏,-,14,13.04,26.090000000000003,0,60.870000000000005
175,101,1,79,81,0,22,4.55,4,4,0,6,9,0,若鹭姬,今泉影狼,-,14,18.18,18.18,0,63.63999999999999
211,102,0,26,53,0,21,0,1,6,0,9,8,0,伊吹萃香,星熊勇仪,-,14,4.760000000000001,28.57,0,66.67
194,103,6,54,55,56,20,30,9,2,0,12,6,7,古明地觉,火焰猫燐,灵乌路空,9,45,10,0,45
296,103,4,2,9,0,20,20,1,8,0,15,13,0,雾雨魔理沙,十六夜咲夜,-,11,5,40,0,55.00000000000001
288,103,1,82,83,0,20,5,3,1,0,8,3,0,九十九弁弁,九十九八桥,-,16,15,5,0,80
57,106,5,31,32,33,19,26.32,0,10,3,6,7,11,铃仙·优昙华院·因幡,八意永琳,蓬莱山辉夜,6,0,52.629999999999995,15.790000000000001,31.580000000000002
143,106,3,24,60,137,19,15.79,0,1,1,1,0,0,魂魄妖忌,云山,森近霖之助,17,0,5.26,5.26,89.47
142,108,3,76,146,0,18,16.67,12,1,0,10,7,0,二岩猯藏,本居小铃,-,5,66.67,5.56,0,27.779999999999998
110,109,9,1,2,137,17,52.94,1,3,3,8,7,11,博丽灵梦,雾雨魔理沙,森近霖之助,10,5.88,17.65,17.65,58.81999999999999
55,109,2,23,32,46,17,11.76,4,0,0,7,2,1,八云紫,八意永琳,八坂神奈子,13,23.53,0,0,76.47
32,111,5,45,47,0,16,31.25,3,7,0,13,11,0,东风谷早苗,洩矢诹访子,-,6,18.75,43.75,0,37.5
270,111,4,2,102,0,16,25,1,8,0,8,10,0,雾雨魔理沙,魅魔,-,7,6.25,50,0,43.75
255,111,3,1,145,0,16,18.75,2,5,0,12,10,0,博丽灵梦,茨木华扇,-,9,12.5,31.25,0,56.25
314,111,1,73,75,0,16,6.25,0,7,0,8,5,0,苏我屠自古,丰聪耳神子,-,9,0,43.75,0,56.25
239,111,1,102,133,0,16,6.25,6,3,0,9,4,0,魅魔,神绮,-,7,37.5,18.75,0,43.75
64,111,1,5,98,0,16,6.25,5,2,0,6,9,0,琪露诺,克劳恩皮丝,-,9,31.25,12.5,0,56.25
390,117,5,8,10,11,15,33.33,0,7,3,7,9,13,帕秋莉·诺蕾姬,蕾米莉亚·斯卡蕾特,芙兰朵露·斯卡蕾特,5,0,46.67,20,33.33
268,118,4,63,64,0,14,28.57,4,4,0,2,9,0,寅丸星,圣白莲,-,6,28.57,28.57,0,42.86
486,118,3,9,20,0,14,21.43,3,2,0,8,9,0,十六夜咲夜,魂魄妖梦,-,9,21.43,14.29,0,64.29
146,118,2,1,110,0,14,14.29,6,2,0,7,6,0,博丽灵梦,明罗,-,6,42.86,14.29,0,42.86
51,118,2,82,86,0,14,14.29,1,10,0,5,7,0,九十九弁弁,堀川雷鼓,-,3,7.140000000000001,71.43,0,21.43
150,118,1,6,98,0,14,7.14,1,2,0,0,10,0,红美铃,克劳恩皮丝,-,11,7.140000000000001,14.29,0,78.57
297,123,4,23,134,135,13,30.77,0,1,2,8,6,5,八云紫,宇佐见莲子,玛艾露贝莉·赫恩,10,0,7.6899999999999995,15.379999999999999,76.92
256,123,2,8,9,10,13,15.38,0,2,6,3,7,3,帕秋莉·诺蕾姬,十六夜咲夜,蕾米莉亚·斯卡蕾特,5,0,15.379999999999999,46.150000000000006,38.46
324,123,1,1,49,0,13,7.69,2,5,0,10,10,0,博丽灵梦,比那名居天子,-,6,15.379999999999999,38.46,0,46.150000000000006
392,126,4,4,5,13,12,33.33,2,3,2,2,7,3,大妖精,琪露诺,蕾蒂·霍瓦特洛克,5,16.669999999999998,25,16.669999999999998,41.67
76,126,3,5,47,0,12,25,3,0,0,8,7,0,琪露诺,洩矢诹访子,-,9,25,0,0,75
471,126,3,6,9,11,12,25,3,1,0,6,2,1,红美铃,十六夜咲夜,芙兰朵露·斯卡蕾特,8,25,8.33,0,66.67
95,126,2,142,143,0,12,16.67,3,1,0,6,6,0,绵月丰姬,绵月依姬,-,8,25,8.33,0,66.67
173,126,1,5,37,0,12,8.33,1,4,0,5,3,0,琪露诺,风见幽香,-,7,8.33,33.33,0,58.330000000000005
431,131,5,54,55,57,11,45.45,2,0,4,8,2,6,古明地觉,火焰猫燐,古明地恋,5,18.18,0,36.36,45.45
506,131,5,72,145,0,11,45.45,7,0,0,3,7,0,霍青娥,茨木华扇,-,4,63.63999999999999,0,0,36.36
68,131,4,20,21,24,11,36.36,1,4,0,5,6,3,魂魄妖梦,西行寺幽幽子,魂魄妖忌,6,9.09,36.36,0,54.55
183,131,3,21,22,23,11,27.27,0,0,5,6,1,6,西行寺幽幽子,八云蓝,八云紫,6,0,0,45.45,54.55
169,131,3,1,5,0,11,27.27,7,0,0,8,9,0,博丽灵梦,琪露诺,-,4,63.63999999999999,0,0,36.36
307,131,3,21,24,0,11,27.27,2,2,0,2,4,0,西行寺幽幽子,魂魄妖忌,-,7,18.18,18.18,0,63.63999999999999
134,131,2,54,56,0,11,18.18,0,8,0,6,7,0,古明地觉,灵乌路空,-,3,0,72.72999999999999,0,27.27
339,131,2,1,2,26,11,18.18,5,1,1,9,7,5,博丽灵梦,雾雨魔理沙,伊吹萃香,4,45.45,9.09,9.09,36.36
320,131,2,27,28,0,11,18.18,1,2,0,4,4,0,莉格露·奈特巴格,米斯蒂娅·萝蕾拉,-,8,9.09,18.18,0,72.72999999999999
187,131,1,39,54,0,11,9.09,4,1,0,6,8,0,四季映姬·亚玛萨那度,古明地觉,-,6,36.36,9.09,0,54.55
128,141,4,1,1,0,10,40,0,0,0,9,9,0,博丽灵梦,博丽灵梦,-,10,0,0,0,100
481,141,4,28,34,0,10,40,1,3,0,4,6,0,米斯蒂娅·萝蕾拉,藤原妹红,-,6,10,30,0,60
141,141,2,5,34,0,10,20,2,1,0,5,8,0,琪露诺,藤原妹红,-,7,20,10,0,70
121,141,1,24,137,0,10,10,4,0,0,0,1,0,魂魄妖忌,森近霖之助,-,6,40,0,0,60
235,141,1,21,28,0,10,10,9,0,0,3,5,0,西行寺幽幽子,米斯蒂娅·萝蕾拉,-,1,90,0,0,10
42,141,1,76,77,0,10,10,8,0,0,6,5,0,二岩猯藏,秦心,-,2,80,0,0,20
224,141,0,54,77,0,10,0,2,0,0,7,7,0,古明地觉,秦心,-,8,20,0,0,80
341,148,4,3,5,0,9,44.44,2,2,0,5,5,0,露米娅,琪露诺,-,5,22.220000000000002,22.220000000000002,0,55.559999999999995
204,148,3,31,33,0,9,33.33,2,4,0,5,7,0,铃仙·优昙华院·因幡,蓬莱山辉夜,-,3,22.220000000000002,44.440000000000005,0,33.33
247,148,2,29,137,138,9,22.22,2,2,0,1,4,4,上白泽慧音,森近霖之助,无名的读书妖怪（朱鹭子）,5,22.220000000000002,22.220000000000002,0,55.559999999999995
482,148,2,137,138,0,9,22.22,3,1,0,3,4,0,森近霖之助,无名的读书妖怪（朱鹭子）,-,5,33.33,11.110000000000001,0,55.559999999999995
332,148,2,38,145,0,9,22.22,3,0,0,3,7,0,小野塚小町,茨木华扇,-,6,33.33,0,0,66.67
370,148,1,2,43,0,9,11.11,4,0,0,8,5,0,雾雨魔理沙,河城荷取,-,5,44.440000000000005,0,0,55.559999999999995
186,148,1,62,64,0,9,11.11,2,4,0,3,5,0,村纱水蜜,圣白莲,-,3,22.220000000000002,44.440000000000005,0,33.33
215,148,0,35,45,0,9,0,3,1,0,7,3,0,射命丸文,东风谷早苗,-,5,33.33,11.110000000000001,0,55.559999999999995
412,156,5,1,9,10,8,62.5,3,0,3,3,7,4,博丽灵梦,十六夜咲夜,蕾米莉亚·斯卡蕾特,2,37.5,0,37.5,25
139,156,3,5,11,0,8,37.5,1,1,0,7,6,0,琪露诺,芙兰朵露·斯卡蕾特,-,6,12.5,12.5,0,75
52,156,2,79,80,0,8,25,0,6,0,0,3,0,若鹭姬,赤蛮奇,-,2,0,75,0,25
122,156,2,14,55,0,8,25,0,3,0,5,3,0,橙,火焰猫燐,-,5,0,37.5,0,62.5
642,156,2,23,49,0,8,25,1,3,0,3,8,0,八云紫,比那名居天子,-,4,12.5,37.5,0,50
238,156,1,37,102,0,8,12.5,4,3,0,5,6,0,风见幽香,魅魔,-,1,50,37.5,0,12.5
588,156,1,126,127,0,8,12.5,1,5,0,2,7,0,梦月,幻月,-,2,12.5,62.5,0,25
335,156,1,1,85,0,8,12.5,1,1,0,5,5,0,博丽灵梦,少名针妙丸,-,6,12.5,12.5,0,75
151,156,0,29,33,0,8,0,1,3,0,2,3,0,上白泽慧音,蓬莱山辉夜,-,4,12.5,37.5,0,50
634,165,5,1,2,10,7,71.43,2,1,2,5,2,4,博丽灵梦,雾雨魔理沙,蕾米莉亚·斯卡蕾特,2,28.57,14.29,28.57,28.57
592,165,4,1,23,26,7,57.14,2,1,1,7,1,3,博丽灵梦,八云紫,伊吹萃香,3,28.57,14.29,14.29,42.86
388,165,3,15,183,0,7,42.86,0,0,0,5,4,0,爱丽丝·玛格特洛依德,人偶（含上海人偶、哥利亚人偶）,-,7,0,0,0,100
522,165,2,29,137,0,7,28.57,3,2,0,3,2,0,上白泽慧音,森近霖之助,-,2,42.86,28.57,0,28.57
318,165,1,13,16,0,7,14.29,1,1,0,1,3,0,蕾蒂·霍瓦特洛克,莉莉白,-,5,14.29,14.29,0,71.43
103,165,1,130,131,0,7,14.29,4,0,0,4,3,0,雪,舞,-,3,57.14,0,0,42.86
386,165,1,43,44,0,7,14.29,2,1,0,4,4,0,河城荷取,犬走椛,-,4,28.57,14.29,0,57.14
257,165,1,21,23,32,7,14.29,0,4,0,4,3,1,西行寺幽幽子,八云紫,八意永琳,3,0,57.14,0,42.86
67,165,0,64,66,0,7,0,2,2,0,3,1,0,圣白莲,命莲,-,3,28.57,28.57,0,42.86
590,174,5,1,2,8,6,83.33,0,2,1,4,2,3,博丽灵梦,雾雨魔理沙,帕秋莉·诺蕾姬,3,0,33.33,16.669999999999998,50
387,174,2,54,56,57,6,33.33,0,1,2,4,3,4,古明地觉,灵乌路空,古明地恋,3,0,16.669999999999998,33.33,50
391,174,2,11,11,0,6,33.33,0,0,0,6,6,0,芙兰朵露·斯卡蕾特,芙兰朵露·斯卡蕾特,-,6,0,0,0,100
48,174,2,84,86,0,6,33.33,5,0,0,3,6,0,鬼人正邪,堀川雷鼓,-,1,83.33,0,0,16.669999999999998
220,174,2,5,10,0,6,33.33,4,0,0,6,4,0,琪露诺,蕾米莉亚·斯卡蕾特,-,2,66.67,0,0,33.33
114,174,1,59,80,0,6,16.67,2,2,0,3,3,0,多多良小伞,赤蛮奇,-,2,33.33,33.33,0,33.33
436,174,1,1,2,3,6,16.67,0,2,2,5,3,3,博丽灵梦,雾雨魔理沙,露米娅,2,0,33.33,33.33,33.33
351,174,1,61,74,0,6,16.67,2,0,0,3,1,0,云居一轮,物部布都,-,4,33.33,0,0,66.67
105,174,1,4,7,0,6,16.67,1,2,0,1,2,0,大妖精,小恶魔,-,3,16.669999999999998,33.33,0,50
102,174,1,7,183,0,6,16.67,1,1,0,3,3,0,小恶魔,人偶（含上海人偶、哥利亚人偶）,-,4,16.669999999999998,16.669999999999998,0,66.67
340,174,1,37,48,49,6,16.67,3,0,2,2,0,3,风见幽香,永江衣玖,比那名居天子,1,50,0,33.33,16.669999999999998
353,174,1,54,55,0,6,16.67,3,2,0,4,4,0,古明地觉,火焰猫燐,-,1,50,33.33,0,16.669999999999998
355,174,1,98,100,0,6,16.67,0,5,0,6,2,0,克劳恩皮丝,赫卡提亚·拉碧斯拉祖利,-,1,0,83.33,0,16.669999999999998
639,174,0,1,77,0,6,0,1,1,0,5,6,0,博丽灵梦,秦心,-,4,16.669999999999998,16.669999999999998,0,66.67
591,174,0,8,54,0,6,0,2,0,0,2,2,0,帕秋莉·诺蕾姬,古明地觉,-,4,33.33,0,0,66.67
345,174,0,29,32,0,6,0,0,2,0,3,4,0,上白泽慧音,八意永琳,-,4,0,33.33,0,66.67
130,174,0,2,57,0,6,0,1,2,0,3,6,0,雾雨魔理沙,古明地恋,-,3,16.669999999999998,33.33,0,50
293,174,0,116,118,0,6,0,0,3,0,2,4,0,朝仓理香子,冈崎梦美,-,3,0,50,0,50
640,174,0,30,31,32,6,0,1,1,1,2,4,0,因幡帝,铃仙·优昙华院·因幡,八意永琳,3,16.669999999999998,16.669999999999998,16.669999999999998,50
100,174,0,94,95,0,6,0,1,3,0,3,1,0,清兰,铃瑚,-,2,16.669999999999998,50,0,33.33
84,174,0,1,12,0,6,0,1,0,0,4,5,0,博丽灵梦,冴月麟,-,5,16.669999999999998,0,0,83.33
188,195,4,76,136,146,5,80,2,0,1,3,1,4,二岩猯藏,稗田阿求,本居小铃,2,40,0,20,40
233,195,3,11,35,0,5,60,2,0,0,0,5,0,芙兰朵露·斯卡蕾特,射命丸文,-,3,40,0,0,60
243,195,2,85,87,0,5,40,0,5,0,2,3,0,少名针妙丸,宇佐见堇子,-,0,0,100,0,0
789,195,2,31,33,34,5,40,1,1,1,1,3,4,铃仙·优昙华院·因幡,蓬莱山辉夜,藤原妹红,2,20,20,20,40
625,195,2,1,21,0,5,40,1,0,0,4,4,0,博丽灵梦,西行寺幽幽子,-,4,20,0,0,80
733,195,1,113,115,0,5,20,1,1,0,2,3,0,爱莲,卡娜·安娜贝拉尔,-,3,20,20,0,60
118,195,1,11,57,77,5,20,0,3,0,4,4,2,芙兰朵露·斯卡蕾特,古明地恋,秦心,2,0,60,0,40
