round,source_category,source_id,source_name,source_rank,point,primary,secondary,comment,id,name,rank
17,character,34,風見 幽香,24,3339,457,,480,34,風見 幽香,24
17,character,35,小野塚 小町,72,1090,101,,170,35,小野塚 小町,72
17,character,36,四季映姫・ヤマザナドゥ,23,3535,472,,565,36,四季映姫・ヤマザナドゥ,23
17,character,37,秋 静葉,93,722,67,,127,37,秋 静葉,93
17,character,38,秋 穣子,94,708,61,,135,38,秋 穣子,94
17,character,39,鍵山 雛,45,1825,256,,310,39,鍵山 雛,45
17,character,40,河城 にとり,36,2371,331,,387,40,河城 にとり,36
17,character,41,犬走 椛,27,3149,471,,579,41,犬走 椛,27
17,character,42,東風谷 早苗,13,5261,801,,778,42,東風谷 早苗,13
17,character,43,八坂 神奈子,78,1015,97,,161,43,八坂 神奈子,78
17,character,44,洩矢 諏訪子,22,3609,561,,602,44,洩矢 諏訪子,22
17,character,45,永江 衣玖,76,1070,94,,191,45,永江 衣玖,76
17,character,46,比那名居 天子,15,4679,638,,675,46,比那名居 天子,15
17,character,47,キスメ,137,178,18,,44,47,キスメ,137
17,character,48,黒谷 ヤマメ,104,581,63,,134,48,黒谷 ヤマメ,104
17,character,49,水橋 パルスィ,41,2184,339,,403,49,水橋 パルスィ,41
17,character,50,星熊 勇儀,69,1125,101,,215,50,星熊 勇儀,69
17,character,51,古明地 さとり,9,6305,837,,1001,51,古明地 さとり,9
17,character,52,火焔猫 燐,49,1700,186,,295,52,火焔猫 燐,49
17,character,53,霊烏路 空,39,2276,352,,372,53,霊烏路 空,39
17,character,54,古明地 こいし,4,10683,1970,,1828,54,古明地 こいし,4
17,character,55,ナズーリン,63,1207,165,,187,55,ナズーリン,63
17,character,56,多々良 小傘,20,3818,544,,694,56,多々良 小傘,20
17,character,57,雲居 一輪,112,479,57,,85,57,雲居 一輪,112
17,character,58,雲山,139,163,11,,39,58,雲山,139
17,character,59,村紗 水蜜,51,1613,201,,290,59,村紗 水蜜,51
17,character,60,寅丸 星,99,651,72,,122,60,寅丸 星,99
17,character,61,聖 白蓮,47,1805,167,,282,61,聖 白蓮,47
17,character,62,封獣 ぬえ,43,1967,196,,330,62,封獣 ぬえ,43
17,character,63,大ナマズ,150,123,10,,38,63,大ナマズ,150
17,character,64,姫海棠 はたて,74,1072,84,,186,64,姫海棠 はたて,74
17,character,65,幽谷 響子,102,617,59,,114,65,幽谷 響子,102
17,character,66,宮古 芳香,87,773,87,,146,66,宮古 芳香,87
17,character,67,霍 青娥,59,1326,129,,232,67,霍 青娥,59
17,character,68,蘇我 屠自古,74,1072,112,,187,68,蘇我 屠自古,74
17,character,69,物部 布都,32,2583,364,,470,69,物部 布都,32
17,character,70,豊聡耳 神子,26,3181,524,,547,70,豊聡耳 神子,26
17,character,71,二ッ岩 マミゾウ,81,964,82,,187,71,二ッ岩 マミゾウ,81
17,character,72,秦 こころ,17,4363,566,,737,72,秦 こころ,17
17,character,73,わかさぎ姫,97,662,56,,139,73,わかさぎ姫,97
17,character,74,赤蛮奇,64,1176,122,,207,74,赤蛮奇,64
17,character,75,今泉 影狼,66,1175,114,,204,75,今泉 影狼,66
17,character,76,九十九 弁々,115,457,44,,99,76,九十九 弁々,115
17,character,77,九十九 八橋,124,310,24,,70,77,九十九 八橋,124
17,character,78,鬼人 正邪,29,2928,485,,546,78,鬼人 正邪,29
17,character,79,少名 針妙丸,73,1089,112,,181,79,少名 針妙丸,73
17,character,80,堀川 雷鼓,86,830,80,,142,80,堀川 雷鼓,86
17,character,81,宇佐見 菫子,56,1385,127,,218,81,宇佐見 菫子,56
17,character,82,清蘭,108,521,43,,116,82,清蘭,108
17,character,83,鈴瑚,122,339,23,,73,83,鈴瑚,122
17,character,84,ドレミー・スイート,50,1649,176,,279,84,ドレミー・スイート,50
17,character,85,稀神 サグメ,33,2543,298,,432,85,稀神 サグメ,33
17,character,86,クラウンピース,52,1609,119,,265,86,クラウンピース,52
17,character,87,純狐,28,3048,394,,511,87,純狐,28
17,character,88,ヘカーティア・ラピスラズリ,34,2467,250,,478,88,ヘカーティア・ラピスラズリ,34
17,character,89,エタニティラルバ,121,340,16,,85,89,エタニティラルバ,121
17,character,90,坂田ネムノ,134,192,16,,40,90,坂田ネムノ,134
17,character,91,高麗野あうん,96,667,38,,133,91,高麗野あうん,96
17,character,92,矢田寺成美,125,297,12,,65,92,矢田寺成美,125
17,character,93,爾子田里乃,105,576,25,,84,93,爾子田里乃,105
17,character,94,丁礼田舞,100,646,47,,132,94,丁礼田舞,100
17,character,95,摩多羅隠岐奈,42,1968,227,,356,95,摩多羅隠岐奈,42
17,character,96,依神女苑,80,972,80,,154,96,依神女苑,80
17,character,97,依神紫苑,30,2791,278,,461,97,依神紫苑,30
17,character,98,戎 瓔花,143,149,16,,30,98,戎 瓔花,143
17,character,99,牛崎 潤美,136,179,11,,33,99,牛崎 潤美,136
17,character,100,庭渡 久侘歌,68,1131,90,,215,100,庭渡 久侘歌,68
17,character,101,吉弔 八千慧,58,1364,112,,241,101,吉弔 八千慧,58
17,character,102,杖刀偶 磨弓,77,1030,78,,191,102,杖刀偶 磨弓,77
17,character,103,埴安神 袿姫,46,1809,193,,330,103,埴安神 袿姫,46
17,character,104,驪駒 早鬼,88,770,41,,143,104,驪駒 早鬼,88
17,character,105,オオカミ霊,176,39,2,,12,105,オオカミ霊,176
17,character,106,カワウソ霊,148,130,6,,47,106,カワウソ霊,148
17,character,107,オオワシ霊,172,47,5,,22,107,オオワシ霊,172
17,character,108,シンギョク,166,59,6,,21,108,シンギョク,166
17,character,109,ユウゲンマガン,162,64,6,,14,109,ユウゲンマガン,162
17,character,110,エリス,144,141,10,,24,110,エリス,144
17,character,111,サリエル,133,199,15,,44,111,サリエル,133
17,character,112,キクリ,175,43,8,,14,112,キクリ,175
17,character,113,コンガラ,142,156,13,,34,113,コンガラ,142
17,character,114,玄爺,160,66,4,,16,114,玄爺,160
17,character,115,里香,155,87,12,,20,115,里香,155
17,character,116,明羅,157,80,7,,22,116,明羅,157
17,character,117,魅魔,82,958,84,,205,117,魅魔,82
17,character,118,エレン,141,157,12,,39,118,エレン,141
17,character,119,小兎姫,153,100,13,,21,119,小兎姫,153
17,character,120,カナ・アナベラル,126,290,23,,56,120,カナ・アナベラル,126
17,character,121,朝倉 理香子,161,65,8,,12,121,朝倉 理香子,161
17,character,122,北白河 ちゆり,135,180,10,,36,122,北白河 ちゆり,135
17,character,123,岡崎 夢美,101,621,65,,116,123,岡崎 夢美,101
17,character,124,オレンジ,166,59,8,,13,124,オレンジ,166
17,character,125,くるみ,131,205,9,,39,125,くるみ,131
17,character,126,エリー,146,132,11,,28,126,エリー,146
17,character,127,夢月,127,251,8,,51,127,夢月,127
17,character,128,幻月,113,478,43,,95,128,幻月,113
17,character,129,サラ,174,44,2,,9,129,サラ,174
17,character,130,ルイズ,165,61,4,,11,130,ルイズ,165
17,character,131,ユキ,146,132,18,,33,131,ユキ,146
17,character,132,マイ,145,139,9,,37,132,マイ,145
17,character,133,夢子,129,221,14,,26,133,夢子,129
17,character,134,神綺,98,661,42,,113,134,神綺,98
17,character,135,蓬莱人形ジャケットイラストの娘,128,243,26,,54,135,蓬莱人形ジャケットイラストの娘,128
17,character,136,蓬莱人形レーベルイラストの娘,154,91,4,,24,136,蓬莱人形レーベルイラストの娘,154
17,character,137,宇佐見 蓮子,38,2290,257,,348,137,宇佐見 蓮子,38
17,character,138,マエリベリー・ハーン,54,1423,103,,233,138,マエリベリー・ハーン,54
17,character,139,稗田 阿求,83,917,87,,142,139,稗田 阿求,83
17,character,140,森近 霖之助,79,1003,97,,223,140,森近 霖之助,79
17,character,141,サニーミルク,120,345,26,,72,141,サニーミルク,120
17,character,142,ルナチャイルド,110,490,32,,87,142,ルナチャイルド,110
17,character,143,スターサファイア,114,473,45,,92,143,スターサファイア,114
17,character,144,綿月 豊姫,107,546,35,,103,144,綿月 豊姫,107
17,character,145,綿月 依姫,90,755,58,,150,145,綿月 依姫,90
17,character,146,レイセン,123,317,31,,49,146,レイセン,123
17,character,147,茨木 華扇,40,2190,228,,348,147,茨木 華扇,40
17,character,148,影華扇（断善修悪の怪腕 - 茨木童子の腕）,149,125,1,,26,148,影華扇（断善修悪の怪腕 - 茨木童子の腕）,149
17,character,150,本居 小鈴,69,1125,98,,181,150,本居 小鈴,69
17,character,151,奥野田 美宵,92,726,41,,137,151,奥野田 美宵,92
17,character,152,るーこと,151,117,7,,36,152,るーこと,151
17,character,153,ミミちゃん,169,53,1,,11,153,ミミちゃん,169
17,character,154,魂魄 妖忌,132,201,6,,51,154,魂魄 妖忌,132
17,character,155,レイラ・プリズムリバー,158,79,3,,14,155,レイラ・プリズムリバー,158
17,character,156,核熱造神ヒソウテンソク,162,64,0,,14,156,核熱造神ヒソウテンソク,162
17,character,157,命蓮,189,16,1,,3,157,命蓮,189
17,character,158,毘沙門天,198,9,1,,0,158,毘沙門天,198
17,character,159,嫦娥,164,62,1,,21,159,嫦娥,164
17,character,160,名無しの本読み妖怪,118,360,38,,75,160,名無しの本読み妖怪,118
17,character,161,ツチノコ,168,58,0,,14,161,ツチノコ,168
17,character,162,酒虫,182,28,0,,10,162,酒虫,182
17,character,163,月の都の門番,194,12,0,,4,163,月の都の門番,194
17,character,164,水江浦島子,204,6,0,,0,164,水江浦島子,204
17,character,165,岩笠,187,21,2,,7,165,岩笠,187
17,character,166,木花咲耶姫,191,15,0,,4,166,木花咲耶姫,191
17,character,167,仙台四郎（福の神）,198,9,0,,4,167,仙台四郎（福の神）,198
17,character,168,運松,194,12,0,,7,168,運松,194
17,character,169,座敷童,203,7,0,,2,169,座敷童,203
17,character,170,ホフゴブリン,185,24,2,,6,170,ホフゴブリン,185
17,character,171,万歳楽,189,16,0,,3,171,万歳楽,189
17,character,172,ヤマネ,198,9,0,,2,172,ヤマネ,198
17,character,173,ケセランパサラン,186,23,1,,7,173,ケセランパサラン,186
17,character,174,小鈴の両親,198,9,0,,2,174,小鈴の両親,198
17,character,175,煙々羅,205,4,0,,2,175,煙々羅,205
17,character,176,チュパカブラ,171,49,4,,9,176,チュパカブラ,171
17,character,177,沓頬,206,2,0,,0,177,沓頬,206
17,character,178,ウワバミ,197,11,0,,0,178,ウワバミ,197
17,character,179,易者,109,518,28,,126,179,易者,109
17,character,180,抗鬱薬おじさん,130,216,9,,53,180,抗鬱薬おじさん,130
17,character,181,なめえもん,170,52,4,,15,181,なめえもん,170
17,character,182,塩屋敷の旦那,194,12,2,,5,182,塩屋敷の旦那,194
17,character,183,妖精（メイド妖精・ひまわり妖精 他）,159,73,3,,22,183,妖精（メイド妖精・ひまわり妖精 他）,159
17,character,184,幽霊（怨霊、神霊、化け化け含む）,193,13,0,,4,184,幽霊（怨霊、神霊、化け化け含む）,193
17,character,185,毛玉,139,163,12,,33,185,毛玉,139
17,character,186,UFO（赤・青・緑、その他）,152,104,2,,43,186,UFO（赤・青・緑、その他）,152
17,character,187,兎（玉兎、永遠亭の妖怪兎 他）,179,33,1,,9,187,兎（玉兎、永遠亭の妖怪兎 他）,179
17,character,188,狸（化け狸、野鉄砲他）,202,8,0,,0,188,狸（化け狸、野鉄砲他）,202
17,character,189,狐（妖怪狐、狐の子他）,182,28,0,,8,189,狐（妖怪狐、狐の子他）,182
17,character,190,カラス（地獄鴉、紫・文の使い魔 他）,173,46,6,,9,190,カラス（地獄鴉、紫・文の使い魔 他）,173
17,character,191,河童（山童含む）,179,33,2,,4,191,河童（山童含む）,179
17,character,192,天狗（香霖堂の天狗、大天狗 他）,188,18,0,,0,192,天狗（香霖堂の天狗、大天狗 他）,188
17,character,193,龍（子龍、邪龍 他）,178,34,1,,11,193,龍（子龍、邪龍 他）,178
17,character,194,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,179,33,2,,15,194,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,179
17,character,195,アリスの人形（上海、蓬莱、大江戸 他）,116,401,14,,80,195,アリスの人形（上海、蓬莱、大江戸 他）,116
17,character,196,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,176,39,0,,11,196,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,176
17,character,197,神降ろしの神霊（天照、伊豆能売 他）,192,14,0,,2,197,神降ろしの神霊（天照、伊豆能売 他）,192
17,character,198,都市伝説の怪異（お菊さん、八尺さま 他）,184,27,1,,12,198,都市伝説の怪異（お菊さん、八尺さま 他）,184
17,character,199,旧作名無し中ボス,156,82,9,,18,199,旧作名無し中ボス,156
17,character,200,豪徳寺 ミケ,89,764,30,,142,200,豪徳寺 ミケ,89
17,character,201,山城 たかね,119,356,15,,66,201,山城 たかね,119
17,character,202,駒草 山如,138,171,10,,34,202,駒草 山如,138
17,character,203,玉造 魅須丸,106,556,28,,144,203,玉造 魅須丸,106
17,character,204,菅牧 典,55,1409,58,,294,204,菅牧 典,55
17,character,205,飯綱丸 龍,57,1370,60,,288,205,飯綱丸 龍,57
17,character,206,天弓 千亦,44,1834,129,,389,206,天弓 千亦,44
17,character,207,姫虫 百々世,62,1246,79,,272,207,姫虫 百々世,62
17,music,1,赤より紅い夢,61,1168,162,,91,1,赤より紅い夢,61
17,music,2,ほおずきみたいに紅い魂,70,1071,121,,94,2,ほおずきみたいに紅い魂,70
17,music,3,妖魔夜行,35,1926,262,,177,3,妖魔夜行,35
17,music,4,ルーネイトエルフ,88,833,91,,71,4,ルーネイトエルフ,88
17,music,5,おてんば恋娘,15,3485,421,,360,5,おてんば恋娘,15
17,music,6,上海紅茶館　～ Chinese Tea,7,5431,834,,458,6,上海紅茶館　～ Chinese Tea,7
17,music,7,明治十七年の上海アリス,30,2249,268,,192,7,明治十七年の上海アリス,30
17,music,8,ヴワル魔法図書館,97,761,68,,64,8,ヴワル魔法図書館,97
17,music,9,ラクトガール　～ 少女密室,41,1544,169,,106,9,ラクトガール　～ 少女密室,41
17,music,10,メイドと血の懐中時計,38,1709,176,,124,10,メイドと血の懐中時計,38
17,music,11,月時計　～ ルナ・ダイアル,13,3757,472,,305,11,月時計　～ ルナ・ダイアル,13
17,music,12,ツェペシュの幼き末裔,116,615,40,,49,12,ツェペシュの幼き末裔,116
17,music,13,亡き王女の為のセプテット,2,9498,1846,,790,13,亡き王女の為のセプテット,2
17,music,14,魔法少女達の百年祭,32,2072,190,,186,14,魔法少女達の百年祭,32
17,music,15,U.N.オーエンは彼女なのか？,1,11848,2748,,1299,15,U.N.オーエンは彼女なのか？,1
17,music,16,紅より儚い永遠,187,268,19,,19,16,紅より儚い永遠,187
17,music,17,紅楼　～ Eastern Dream...,68,1082,110,,105,17,紅楼　～ Eastern Dream...,68
17,music,18,妖々夢　～ Snow or Cherry Petal,125,533,65,,41,18,妖々夢　～ Snow or Cherry Petal,125
17,music,19,無何有の郷　～ Deep Mountain,109,663,53,,76,19,無何有の郷　～ Deep Mountain,109
17,music,20,クリスタライズシルバー,152,394,32,,46,20,クリスタライズシルバー,152
17,music,21,遠野幻想物語,56,1278,137,,140,21,遠野幻想物語,56
17,music,22,ティアオイエツォン(withered leaf),170,327,42,,34,22,ティアオイエツォン(withered leaf),170
17,music,23,ブクレシュティの人形師,101,735,61,,50,23,ブクレシュティの人形師,101
17,music,25,天空の花の都,86,876,100,,72,25,天空の花の都,86
17,music,26,幽霊楽団　～ Phantom Ensemble,11,5082,548,,501,26,幽霊楽団　～ Phantom Ensemble,11
17,music,27,東方妖々夢　～ Ancient Temple,45,1493,166,,136,27,東方妖々夢　～ Ancient Temple,45
17,music,28,広有射怪鳥事　～ Till When?,27,2395,315,,227,28,広有射怪鳥事　～ Till When?,27
17,music,29,アルティメットトゥルース,124,535,49,,60,29,アルティメットトゥルース,124
17,music,30,幽雅に咲かせ、墨染の桜　～ Border of Life,9,5403,684,,442,30,幽雅に咲かせ、墨染の桜　～ Border of Life,9
17,music,31,ボーダーオブライフ,55,1282,101,,151,31,ボーダーオブライフ,55
17,music,32,妖々跋扈,203,226,21,,21,32,妖々跋扈,203
17,music,33,少女幻葬　～ Necro-Fantasy,83,882,89,,77,33,少女幻葬　～ Necro-Fantasy,83
17,music,34,妖々跋扈　～ Who done it!,162,348,23,,45,34,妖々跋扈　～ Who done it!,162
17,music,35,ネクロファンタジア,12,4580,464,,412,35,ネクロファンタジア,12
17,music,36,春風の夢,401,31,1,,2,36,春風の夢,401
17,music,37,さくらさくら　～ Japanize Dream...,75,958,60,,97,37,さくらさくら　～ Japanize Dream...,75
17,music,38,永夜抄　～ Eastern Night.,197,234,19,,29,38,永夜抄　～ Eastern Night.,197
17,music,39,幻視の夜　～ Ghostly Eyes,205,222,15,,20,39,幻視の夜　～ Ghostly Eyes,205
17,music,40,蠢々秋月　～ Mooned Insect,156,376,41,,53,40,蠢々秋月　～ Mooned Insect,156
17,music,41,夜雀の歌声　～ Night Bird,178,299,30,,28,41,夜雀の歌声　～ Night Bird,178
17,music,42,もう歌しか聞こえない,71,1037,73,,98,42,もう歌しか聞こえない,71
17,music,43,懐かしき東方の血　～ Old World,100,743,60,,72,43,懐かしき東方の血　～ Old World,100
17,music,44,プレインエイジア,81,913,88,,100,44,プレインエイジア,81
17,music,45,永夜の報い　～ Imperishable Night,126,531,39,,76,45,永夜の報い　～ Imperishable Night,126
17,music,48,シンデレラケージ　～ Kagome-Kagome,76,948,72,,103,48,シンデレラケージ　～ Kagome-Kagome,76
17,music,49,狂気の瞳　～ Invisible Full Moon,28,2385,223,,236,49,狂気の瞳　～ Invisible Full Moon,28
17,music,50,ヴォヤージュ1969,82,907,75,,80,50,ヴォヤージュ1969,82
17,music,51,千年幻想郷　～ History of the Moon,21,2765,276,,272,51,千年幻想郷　～ History of the Moon,21
17,music,52,竹取飛翔　～ Lunatic Princess,17,3212,299,,306,52,竹取飛翔　～ Lunatic Princess,17
17,music,53,ヴォヤージュ1970,135,471,23,,70,53,ヴォヤージュ1970,135
17,music,54,エクステンドアッシュ　～ 蓬莱人,95,772,63,,66,54,エクステンドアッシュ　～ 蓬莱人,95
17,music,55,月まで届け、不死の煙,5,5921,771,,560,55,月まで届け、不死の煙,5
17,music,56,月見草,342,54,3,,3,56,月見草,342
17,music,58,東方妖怪小町,115,616,33,,60,58,東方妖怪小町,115
17,music,59,萃夢想,148,413,34,,26,59,萃夢想,148
17,music,60,東方妖恋談,197,234,16,,34,60,東方妖恋談,197
17,music,63,魔女達の舞踏会,134,479,24,,57,63,魔女達の舞踏会,134
17,music,67,人形裁判,34,2007,181,,148,67,人形裁判,34
17,music,74,Demystify Feast,96,766,75,,110,74,Demystify Feast,96
17,music,76,御伽の国の鬼が島　～ Missing Power,122,558,38,,58,76,御伽の国の鬼が島　～ Missing Power,122
17,music,77,夏明き,483,10,0,,4,77,夏明き,483
17,music,78,東方萃夢想,149,411,34,,45,78,東方萃夢想,149
17,music,79,魔所,511,6,1,,1,79,魔所,511
17,music,80,月輪,442,18,1,,1,80,月輪,442
17,music,81,遍参,493,9,0,,0,81,遍参,493
17,music,82,裏心,533,4,0,,0,82,裏心,533
17,music,83,Intermezzo,508,7,0,,0,83,Intermezzo,508
17,music,84,あゆのかぜ,447,17,2,,1,84,あゆのかぜ,447
17,music,85,森閑,511,6,0,,1,85,森閑,511
17,music,86,仰空,310,71,3,,15,86,仰空,310
17,music,87,幽境,483,10,1,,2,87,幽境,483
17,music,88,珍客,469,13,0,,1,88,珍客,469
17,music,89,紅夜,459,15,0,,1,89,紅夜,459
17,music,90,戦迅,447,17,1,,2,90,戦迅,447
17,music,91,禍機,477,11,0,,0,91,禍機,477
17,music,92,砕月,14,3693,378,,338,92,砕月,14
17,music,94,春色小径　～ Colorful Path,171,325,26,,29,94,春色小径　～ Colorful Path,171
17,music,95,オリエンタルダークフライト,140,461,44,,64,95,オリエンタルダークフライト,140
17,music,96,フラワリングナイト,24,2712,225,,261,96,フラワリングナイト,24
17,music,102,お宇佐さまの素い幡,226,181,10,,21,102,お宇佐さまの素い幡,226
17,music,104,ポイズンボディ　～ Forsaken Doll,215,194,18,,17,104,ポイズンボディ　～ Forsaken Doll,215
17,music,105,今昔幻想郷　～ Flower Land,117,612,63,,51,105,今昔幻想郷　～ Flower Land,117
17,music,106,彼岸帰航　～ Riverside View,119,593,41,,65,106,彼岸帰航　～ Riverside View,119
17,music,107,六十年目の東方裁判　～ Fate of Sixty Years,33,2016,210,,172,107,六十年目の東方裁判　～ Fate of Sixty Years,33
17,music,108,花の映る塚,345,53,6,,7,108,花の映る塚,345
17,music,109,此岸の塚,451,16,0,,1,109,此岸の塚,451
17,music,110,花は幻想のままに,199,231,22,,27,110,花は幻想のままに,199
17,music,111,魂の花　～ Another Dream...,374,41,4,,5,111,魂の花　～ Another Dream...,374
17,music,112,天狗の手帖　～ Mysterious Note,311,70,3,,4,112,天狗の手帖　～ Mysterious Note,311
17,music,113,風の循環　～ Wind Tour,345,53,2,,3,113,風の循環　～ Wind Tour,345
17,music,114,天狗が見ている　～ Black Eyes,293,85,1,,8,114,天狗が見ている　～ Black Eyes,293
17,music,115,東の国の眠らない夜,83,882,72,,90,115,東の国の眠らない夜,83
17,music,116,レトロスペクティブ京都,118,604,31,,60,116,レトロスペクティブ京都,118
17,music,117,風神少女,36,1783,186,,156,117,風神少女,36
17,music,118,封印されし神々,244,144,7,,25,118,封印されし神々,244
17,music,119,人恋し神様　～ Romantic Fall,192,249,12,,25,119,人恋し神様　～ Romantic Fall,192
17,music,120,稲田姫様に叱られるから,69,1074,78,,122,120,稲田姫様に叱られるから,69
17,music,121,厄神様の通り道　～ Dark Road,73,1007,75,,96,121,厄神様の通り道　～ Dark Road,73
17,music,122,運命のダークサイド,66,1114,86,,96,122,運命のダークサイド,66
17,music,123,神々が恋した幻想郷,8,5425,561,,587,123,神々が恋した幻想郷,8
17,music,124,芥川龍之介の河童　～ Candid Friend,50,1404,127,,139,124,芥川龍之介の河童　～ Candid Friend,50
17,music,125,フォールオブフォール　～ 秋めく滝,39,1640,212,,162,125,フォールオブフォール　～ 秋めく滝,39
17,music,126,妖怪の山　～ Mysterious Mountain,52,1394,129,,138,126,妖怪の山　～ Mysterious Mountain,52
17,music,127,少女が見た日本の原風景,67,1104,80,,120,127,少女が見た日本の原風景,67
17,music,128,信仰は儚き人間の為に,26,2467,262,,234,128,信仰は儚き人間の為に,26
17,music,129,御柱の墓場　～ Grave of Being,201,229,15,,44,129,御柱の墓場　～ Grave of Being,201
17,music,130,神さびた古戦場　～ Suwa Foughten Field,65,1120,102,,121,130,神さびた古戦場　～ Suwa Foughten Field,65
17,music,131,明日ハレの日、ケの昨日,48,1436,121,,181,131,明日ハレの日、ケの昨日,48
17,music,132,ネイティブフェイス,16,3353,431,,349,132,ネイティブフェイス,16
17,music,133,麓の神社,387,36,2,,5,133,麓の神社,387
17,music,134,神は恵みの雨を降らす　～ Sylphid Dream,349,52,1,,5,134,神は恵みの雨を降らす　～ Sylphid Dream,349
17,music,135,プレイヤーズスコア,316,67,1,,13,135,プレイヤーズスコア,316
17,music,136,緋想天,164,344,32,,29,136,緋想天,164
17,music,137,日常坐臥,472,12,0,,0,137,日常坐臥,472
17,music,138,地の色は黄色,209,211,9,,24,138,地の色は黄色,209
17,music,139,甲論乙駁,311,70,1,,10,139,甲論乙駁,311
17,music,140,風光明媚,511,6,0,,1,140,風光明媚,511
17,music,141,香る樹葉花,298,81,3,,4,141,香る樹葉花,298
17,music,142,踊る水飛沫,281,95,9,,8,142,踊る水飛沫,281
17,music,143,以魚駆蠅,498,8,0,,0,143,以魚駆蠅,498
17,music,144,放縦不羈,511,6,0,,0,144,放縦不羈,511
17,music,145,嘲りの遊戯,451,16,0,,5,145,嘲りの遊戯,451
17,music,146,冷吟閑酔,374,41,2,,2,146,冷吟閑酔,374
17,music,147,雲外蒼天,387,36,2,,7,147,雲外蒼天,387
17,music,148,黒い海に紅く　～ Legendary Fish,191,252,32,,37,148,黒い海に紅く　～ Legendary Fish,191
17,music,149,天衣無縫,154,380,24,,34,149,天衣無縫,154
17,music,150,有頂天変　～ Wonderful Heaven,43,1539,134,,131,150,有頂天変　～ Wonderful Heaven,43
17,music,151,幼心地の有頂天,141,450,34,,44,151,幼心地の有頂天,141
17,music,152,暮色蒼然,341,55,2,,9,152,暮色蒼然,341
17,music,153,東方緋想天,120,587,46,,52,153,東方緋想天,120
17,music,155,星の器　～ Casket of Star,132,481,34,,56,155,星の器　～ Casket of Star,132
17,music,162,夜が降りてくる,102,734,47,,66,162,夜が降りてくる,102
17,music,167,地霊達の起床,324,64,2,,8,167,地霊達の起床,324
17,music,168,暗闇の風穴,218,189,14,,32,168,暗闇の風穴,218
17,music,169,封じられた妖怪　～ Lost Place,232,166,11,,17,169,封じられた妖怪　～ Lost Place,232
17,music,170,渡る者の途絶えた橋,188,263,21,,26,170,渡る者の途絶えた橋,188
17,music,171,緑眼のジェラシー,80,920,126,,90,171,緑眼のジェラシー,80
17,music,172,旧地獄街道を行く,110,660,36,,72,172,旧地獄街道を行く,110
17,music,173,華のさかづき大江山,146,423,40,,55,173,華のさかづき大江山,146
