round,category,id,question,option_index,option,all,male,female
9,chara,9,您的年龄阶段,2,15-19岁,1523,1324,199
9,chara,9,您的年龄阶段,3,20-24岁,769,664,105
9,chara,9,您的年龄阶段,4,25-29岁,91,76,15
9,chara,9,您的年龄阶段,5,30-40岁,22,20,2
9,chara,9,您的年龄阶段,6,40岁以上,3,2,1
9,chara,10,您的年龄阶段,0,未满10岁,4,3,1
9,chara,10,您的年龄阶段,1,10-14岁,82,59,23
9,chara,10,您的年龄阶段,2,15-19岁,1108,965,143
9,chara,10,您的年龄阶段,3,20-24岁,731,650,81
9,chara,10,您的年龄阶段,4,25-29岁,99,91,8
9,chara,10,您的年龄阶段,5,30-40岁,19,17,2
9,chara,10,您的年龄阶段,6,40岁以上,3,2,1
9,chara,11,您的年龄阶段,0,未满10岁,5,2,3
9,chara,11,您的年龄阶段,1,10-14岁,94,67,27
9,chara,11,您的年龄阶段,2,15-19岁,1044,872,172
9,chara,11,您的年龄阶段,3,20-24岁,542,476,66
9,chara,11,您的年龄阶段,4,25-29岁,77,72,5
9,chara,11,您的年龄阶段,5,30-40岁,12,11,1
9,chara,11,您的年龄阶段,6,40岁以上,2,1,1
9,chara,12,您的年龄阶段,0,未满10岁,0,0,0
9,chara,12,您的年龄阶段,1,10-14岁,27,12,15
9,chara,12,您的年龄阶段,2,15-19岁,168,143,25
9,chara,12,您的年龄阶段,3,20-24岁,76,62,14
9,chara,12,您的年龄阶段,4,25-29岁,5,5,0
9,chara,12,您的年龄阶段,5,30-40岁,5,4,1
9,chara,12,您的年龄阶段,6,40岁以上,0,0,0
9,chara,13,您的年龄阶段,0,未满10岁,0,0,0
9,chara,13,您的年龄阶段,1,10-14岁,7,5,2
9,chara,13,您的年龄阶段,2,15-19岁,57,40,17
9,chara,13,您的年龄阶段,3,20-24岁,27,21,6
9,chara,13,您的年龄阶段,4,25-29岁,4,4,0
9,chara,13,您的年龄阶段,5,30-40岁,2,1,1
9,chara,13,您的年龄阶段,6,40岁以上,0,0,0
9,chara,14,您的年龄阶段,0,未满10岁,0,0,0
9,chara,14,您的年龄阶段,1,10-14岁,14,11,3
9,chara,14,您的年龄阶段,2,15-19岁,90,80,10
9,chara,14,您的年龄阶段,3,20-24岁,68,64,4
9,chara,14,您的年龄阶段,4,25-29岁,8,8,0
9,chara,14,您的年龄阶段,5,30-40岁,4,4,0
9,chara,14,您的年龄阶段,6,40岁以上,1,1,0
9,chara,15,您的年龄阶段,0,未满10岁,2,2,0
9,chara,15,您的年龄阶段,1,10-14岁,42,27,15
9,chara,15,您的年龄阶段,2,15-19岁,806,685,121
9,chara,15,您的年龄阶段,3,20-24岁,680,602,78
9,chara,15,您的年龄阶段,4,25-29岁,109,93,16
9,chara,15,您的年龄阶段,5,30-40岁,17,14,3
9,chara,15,您的年龄阶段,6,40岁以上,1,1,0
9,chara,16,您的年龄阶段,0,未满10岁,0,0,0
9,chara,16,您的年龄阶段,1,10-14岁,9,8,1
9,chara,16,您的年龄阶段,2,15-19岁,234,218,16
9,chara,16,您的年龄阶段,3,20-24岁,154,144,10
9,chara,16,您的年龄阶段,4,25-29岁,15,14,1
9,chara,16,您的年龄阶段,5,30-40岁,8,6,2
9,chara,16,您的年龄阶段,6,40岁以上,1,0,1
9,chara,17,您的年龄阶段,0,未满10岁,0,0,0
9,chara,17,您的年龄阶段,1,10-14岁,3,1,2
9,chara,17,您的年龄阶段,2,15-19岁,39,33,6
9,chara,17,您的年龄阶段,3,20-24岁,29,24,5
9,chara,17,您的年龄阶段,4,25-29岁,5,5,0
9,chara,17,您的年龄阶段,5,30-40岁,0,0,0
9,chara,17,您的年龄阶段,6,40岁以上,0,0,0
9,chara,18,您的年龄阶段,0,未满10岁,0,0,0
9,chara,18,您的年龄阶段,1,10-14岁,1,1,0
9,chara,18,您的年龄阶段,2,15-19岁,17,13,4
9,chara,18,您的年龄阶段,3,20-24岁,12,10,2
9,chara,18,您的年龄阶段,4,25-29岁,1,1,0
9,chara,18,您的年龄阶段,5,30-40岁,0,0,0
9,chara,18,您的年龄阶段,6,40岁以上,0,0,0
9,chara,19,您的年龄阶段,0,未满10岁,0,0,0
9,chara,19,您的年龄阶段,1,10-14岁,3,2,1
9,chara,19,您的年龄阶段,2,15-19岁,20,17,3
9,chara,19,您的年龄阶段,3,20-24岁,8,7,1
9,chara,19,您的年龄阶段,4,25-29岁,1,1,0
9,chara,19,您的年龄阶段,5,30-40岁,0,0,0
9,chara,19,您的年龄阶段,6,40岁以上,0,0,0
9,chara,20,您的年龄阶段,0,未满10岁,5,4,1
9,chara,20,您的年龄阶段,1,10-14岁,88,69,19
9,chara,20,您的年龄阶段,2,15-19岁,1250,1138,112
9,chara,20,您的年龄阶段,3,20-24岁,744,693,51
9,chara,20,您的年龄阶段,4,25-29岁,70,69,1
9,chara,20,您的年龄阶段,5,30-40岁,15,13,2
9,chara,20,您的年龄阶段,6,40岁以上,0,0,0
9,chara,21,您的年龄阶段,0,未满10岁,3,2,1
9,chara,21,您的年龄阶段,1,10-14岁,80,55,25
9,chara,21,您的年龄阶段,2,15-19岁,947,814,133
9,chara,21,您的年龄阶段,3,20-24岁,614,528,86
9,chara,21,您的年龄阶段,4,25-29岁,89,75,14
9,chara,21,您的年龄阶段,5,30-40岁,18,14,4
9,chara,21,您的年龄阶段,6,40岁以上,2,0,2
9,chara,22,您的年龄阶段,0,未满10岁,0,0,0
9,chara,22,您的年龄阶段,1,10-14岁,10,6,4
9,chara,22,您的年龄阶段,2,15-19岁,167,138,29
9,chara,22,您的年龄阶段,3,20-24岁,140,127,13
9,chara,22,您的年龄阶段,4,25-29岁,25,23,2
9,chara,22,您的年龄阶段,5,30-40岁,7,6,1
9,chara,22,您的年龄阶段,6,40岁以上,1,1,0
9,chara,23,您的年龄阶段,0,未满10岁,3,3,0
9,chara,23,您的年龄阶段,1,10-14岁,91,64,27
9,chara,23,您的年龄阶段,2,15-19岁,936,790,146
9,chara,23,您的年龄阶段,3,20-24岁,598,516,82
9,chara,23,您的年龄阶段,4,25-29岁,104,85,19
9,chara,23,您的年龄阶段,5,30-40岁,27,23,4
9,chara,23,您的年龄阶段,6,40岁以上,4,3,1
9,chara,24,您的年龄阶段,0,未满10岁,0,0,0
9,chara,24,您的年龄阶段,1,10-14岁,2,2,0
9,chara,24,您的年龄阶段,2,15-19岁,27,25,2
9,chara,24,您的年龄阶段,3,20-24岁,14,12,2
9,chara,24,您的年龄阶段,4,25-29岁,0,0,0
9,chara,24,您的年龄阶段,5,30-40岁,0,0,0
9,chara,24,您的年龄阶段,6,40岁以上,0,0,0
9,chara,25,您的年龄阶段,0,未满10岁,0,0,0
9,chara,25,您的年龄阶段,1,10-14岁,3,2,1
9,chara,25,您的年龄阶段,2,15-19岁,14,8,6
9,chara,25,您的年龄阶段,3,20-24岁,6,5,1
9,chara,25,您的年龄阶段,4,25-29岁,0,0,0
9,chara,25,您的年龄阶段,5,30-40岁,0,0,0
9,chara,25,您的年龄阶段,6,40岁以上,0,0,0
9,chara,26,您的年龄阶段,0,未满10岁,3,3,0
9,chara,26,您的年龄阶段,1,10-14岁,43,32,11
9,chara,26,您的年龄阶段,2,15-19岁,663,590,73
9,chara,26,您的年龄阶段,3,20-24岁,405,378,27
9,chara,26,您的年龄阶段,4,25-29岁,53,49,4
9,chara,26,您的年龄阶段,5,30-40岁,7,4,3
9,chara,26,您的年龄阶段,6,40岁以上,3,3,0
9,chara,27,您的年龄阶段,0,未满10岁,2,1,1
9,chara,27,您的年龄阶段,1,10-14岁,3,2,1
9,chara,27,您的年龄阶段,2,15-19岁,45,37,8
9,chara,27,您的年龄阶段,3,20-24岁,32,26,6
9,chara,27,您的年龄阶段,4,25-29岁,2,1,1
9,chara,27,您的年龄阶段,5,30-40岁,2,2,0
9,chara,27,您的年龄阶段,6,40岁以上,0,0,0
9,chara,28,您的年龄阶段,0,未满10岁,1,0,1
9,chara,28,您的年龄阶段,1,10-14岁,7,5,2
9,chara,28,您的年龄阶段,2,15-19岁,113,101,12
9,chara,28,您的年龄阶段,3,20-24岁,73,68,5
9,chara,28,您的年龄阶段,4,25-29岁,11,11,0
9,chara,28,您的年龄阶段,5,30-40岁,1,0,1
9,chara,28,您的年龄阶段,6,40岁以上,0,0,0
9,chara,29,您的年龄阶段,0,未满10岁,1,0,1
9,chara,29,您的年龄阶段,1,10-14岁,20,14,6
9,chara,29,您的年龄阶段,2,15-19岁,243,195,48
9,chara,29,您的年龄阶段,3,20-24岁,187,154,33
9,chara,29,您的年龄阶段,4,25-29岁,27,22,5
9,chara,29,您的年龄阶段,5,30-40岁,9,6,3
9,chara,29,您的年龄阶段,6,40岁以上,0,0,0
9,chara,30,您的年龄阶段,0,未满10岁,0,0,0
9,chara,30,您的年龄阶段,1,10-14岁,9,7,2
9,chara,30,您的年龄阶段,2,15-19岁,124,107,17
9,chara,30,您的年龄阶段,3,20-24岁,93,78,15
9,chara,30,您的年龄阶段,4,25-29岁,10,9,1
9,chara,30,您的年龄阶段,5,30-40岁,3,2,1
9,chara,30,您的年龄阶段,6,40岁以上,0,0,0
9,chara,31,您的年龄阶段,0,未满10岁,2,2,0
9,chara,31,您的年龄阶段,1,10-14岁,59,44,15
9,chara,31,您的年龄阶段,2,15-19岁,815,731,84
9,chara,31,您的年龄阶段,3,20-24岁,554,507,47
9,chara,31,您的年龄阶段,4,25-29岁,79,72,7
9,chara,31,您的年龄阶段,5,30-40岁,9,8,1
9,chara,31,您的年龄阶段,6,40岁以上,2,2,0
9,chara,32,您的年龄阶段,0,未满10岁,1,1,0
9,chara,32,您的年龄阶段,1,10-14岁,20,11,9
9,chara,32,您的年龄阶段,2,15-19岁,196,153,43
9,chara,32,您的年龄阶段,3,20-24岁,152,131,21
9,chara,32,您的年龄阶段,4,25-29岁,36,30,6
9,chara,32,您的年龄阶段,5,30-40岁,12,9,3
9,chara,32,您的年龄阶段,6,40岁以上,0,0,0
9,chara,33,您的年龄阶段,0,未满10岁,1,1,0
9,chara,33,您的年龄阶段,1,10-14岁,49,35,14
9,chara,33,您的年龄阶段,2,15-19岁,571,476,95
9,chara,33,您的年龄阶段,3,20-24岁,371,316,55
9,chara,33,您的年龄阶段,4,25-29岁,62,55,7
9,chara,33,您的年龄阶段,5,30-40岁,16,14,2
9,chara,33,您的年龄阶段,6,40岁以上,0,0,0
9,chara,34,您的年龄阶段,0,未满10岁,3,2,1
9,chara,34,您的年龄阶段,1,10-14岁,99,63,36
9,chara,34,您的年龄阶段,2,15-19岁,1062,873,189
9,chara,34,您的年龄阶段,3,20-24岁,584,488,96
9,chara,34,您的年龄阶段,4,25-29岁,69,57,12
9,chara,34,您的年龄阶段,5,30-40岁,10,9,1
9,chara,34,您的年龄阶段,6,40岁以上,1,1,0
9,chara,35,您的年龄阶段,0,未满10岁,1,1,0
9,chara,35,您的年龄阶段,1,10-14岁,87,69,18
9,chara,35,您的年龄阶段,2,15-19岁,1173,1053,120
9,chara,35,您的年龄阶段,3,20-24岁,647,583,64
9,chara,35,您的年龄阶段,4,25-29岁,74,66,8
9,chara,35,您的年龄阶段,5,30-40岁,10,9,1
9,chara,35,您的年龄阶段,6,40岁以上,0,0,0
9,chara,36,您的年龄阶段,0,未满10岁,1,0,1
9,chara,36,您的年龄阶段,1,10-14岁,8,3,5
9,chara,36,您的年龄阶段,2,15-19岁,41,29,12
9,chara,36,您的年龄阶段,3,20-24岁,40,33,7
9,chara,36,您的年龄阶段,4,25-29岁,3,2,1
9,chara,36,您的年龄阶段,5,30-40岁,1,1,0
9,chara,36,您的年龄阶段,6,40岁以上,0,0,0
9,chara,37,您的年龄阶段,0,未满10岁,1,1,0
9,chara,37,您的年龄阶段,1,10-14岁,43,29,14
9,chara,37,您的年龄阶段,2,15-19岁,436,361,75
9,chara,37,您的年龄阶段,3,20-24岁,366,331,35
9,chara,37,您的年龄阶段,4,25-29岁,51,42,9
9,chara,37,您的年龄阶段,5,30-40岁,11,10,1
9,chara,37,您的年龄阶段,6,40岁以上,1,0,1
9,chara,38,您的年龄阶段,0,未满10岁,1,1,0
9,chara,38,您的年龄阶段,1,10-14岁,9,4,5
9,chara,38,您的年龄阶段,2,15-19岁,109,94,15
9,chara,38,您的年龄阶段,3,20-24岁,84,67,17
9,chara,38,您的年龄阶段,4,25-29岁,14,10,4
9,chara,38,您的年龄阶段,5,30-40岁,2,2,0
9,chara,38,您的年龄阶段,6,40岁以上,0,0,0
9,chara,39,您的年龄阶段,0,未满10岁,2,1,1
9,chara,39,您的年龄阶段,1,10-14岁,38,32,6
9,chara,39,您的年龄阶段,2,15-19岁,527,455,72
9,chara,39,您的年龄阶段,3,20-24岁,265,231,34
9,chara,39,您的年龄阶段,4,25-29岁,25,23,2
9,chara,39,您的年龄阶段,5,30-40岁,10,8,2
9,chara,39,您的年龄阶段,6,40岁以上,1,1,0
9,chara,40,您的年龄阶段,0,未满10岁,1,0,1
9,chara,40,您的年龄阶段,1,10-14岁,6,3,3
9,chara,40,您的年龄阶段,2,15-19岁,63,51,12
9,chara,40,您的年龄阶段,3,20-24岁,36,32,4
9,chara,40,您的年龄阶段,4,25-29岁,12,10,2
9,chara,40,您的年龄阶段,5,30-40岁,3,2,1
9,chara,40,您的年龄阶段,6,40岁以上,0,0,0
9,chara,41,您的年龄阶段,0,未满10岁,1,0,1
9,chara,41,您的年龄阶段,1,10-14岁,4,3,1
9,chara,41,您的年龄阶段,2,15-19岁,51,47,4
9,chara,41,您的年龄阶段,3,20-24岁,38,35,3
9,chara,41,您的年龄阶段,4,25-29岁,10,8,2
9,chara,41,您的年龄阶段,5,30-40岁,1,1,0
9,chara,41,您的年龄阶段,6,40岁以上,0,0,0
9,chara,42,您的年龄阶段,0,未满10岁,2,1,1
9,chara,42,您的年龄阶段,1,10-14岁,48,34,14
9,chara,42,您的年龄阶段,2,15-19岁,452,384,68
9,chara,42,您的年龄阶段,3,20-24岁,278,240,38
9,chara,42,您的年龄阶段,4,25-29岁,33,30,3
9,chara,42,您的年龄阶段,5,30-40岁,8,8,0
9,chara,42,您的年龄阶段,6,40岁以上,1,1,0
9,chara,43,您的年龄阶段,0,未满10岁,0,0,0
9,chara,43,您的年龄阶段,1,10-14岁,15,11,4
9,chara,43,您的年龄阶段,2,15-19岁,205,188,17
9,chara,43,您的年龄阶段,3,20-24岁,89,76,13
9,chara,43,您的年龄阶段,4,25-29岁,22,19,3
9,chara,43,您的年龄阶段,5,30-40岁,5,4,1
9,chara,43,您的年龄阶段,6,40岁以上,0,0,0
9,chara,44,您的年龄阶段,0,未满10岁,0,0,0
9,chara,44,您的年龄阶段,1,10-14岁,10,6,4
9,chara,44,您的年龄阶段,2,15-19岁,238,224,14
9,chara,44,您的年龄阶段,3,20-24岁,172,158,14
9,chara,44,您的年龄阶段,4,25-29岁,9,7,2
9,chara,44,您的年龄阶段,5,30-40岁,3,3,0
9,chara,44,您的年龄阶段,6,40岁以上,0,0,0
9,chara,45,您的年龄阶段,0,未满10岁,5,4,1
9,chara,45,您的年龄阶段,1,10-14岁,75,57,18
9,chara,45,您的年龄阶段,2,15-19岁,1033,914,119
9,chara,45,您的年龄阶段,3,20-24岁,685,618,67
9,chara,45,您的年龄阶段,4,25-29岁,98,88,10
9,chara,45,您的年龄阶段,5,30-40岁,16,16,0
9,chara,45,您的年龄阶段,6,40岁以上,1,1,0
9,chara,46,您的年龄阶段,0,未满10岁,1,1,0
9,chara,46,您的年龄阶段,1,10-14岁,23,12,11
9,chara,46,您的年龄阶段,2,15-19岁,185,134,51
9,chara,46,您的年龄阶段,3,20-24岁,106,83,23
9,chara,46,您的年龄阶段,4,25-29岁,14,8,6
9,chara,46,您的年龄阶段,5,30-40岁,3,2,1
9,chara,46,您的年龄阶段,6,40岁以上,1,1,0
9,chara,47,您的年龄阶段,0,未满10岁,2,1,1
9,chara,47,您的年龄阶段,1,10-14岁,37,27,10
9,chara,47,您的年龄阶段,2,15-19岁,416,338,78
9,chara,47,您的年龄阶段,3,20-24岁,224,191,33
9,chara,47,您的年龄阶段,4,25-29岁,28,23,5
9,chara,47,您的年龄阶段,5,30-40岁,9,8,1
9,chara,47,您的年龄阶段,6,40岁以上,0,0,0
9,chara,48,您的年龄阶段,0,未满10岁,0,0,0
9,chara,48,您的年龄阶段,1,10-14岁,17,12,5
9,chara,48,您的年龄阶段,2,15-19岁,130,114,16
9,chara,48,您的年龄阶段,3,20-24岁,81,72,9
9,chara,48,您的年龄阶段,4,25-29岁,12,9,3
9,chara,48,您的年龄阶段,5,30-40岁,1,1,0
9,chara,48,您的年龄阶段,6,40岁以上,0,0,0
9,chara,49,您的年龄阶段,0,未满10岁,4,3,1
9,chara,49,您的年龄阶段,1,10-14岁,44,30,14
9,chara,49,您的年龄阶段,2,15-19岁,879,791,88
9,chara,49,您的年龄阶段,3,20-24岁,457,422,35
9,chara,49,您的年龄阶段,4,25-29岁,57,48,9
9,chara,49,您的年龄阶段,5,30-40岁,6,6,0
9,chara,49,您的年龄阶段,6,40岁以上,0,0,0
9,chara,50,您的年龄阶段,0,未满10岁,0,0,0
9,chara,50,您的年龄阶段,1,10-14岁,2,1,1
9,chara,50,您的年龄阶段,2,15-19岁,6,5,1
9,chara,50,您的年龄阶段,3,20-24岁,9,7,2
9,chara,50,您的年龄阶段,4,25-29岁,2,2,0
9,chara,50,您的年龄阶段,5,30-40岁,0,0,0
9,chara,50,您的年龄阶段,6,40岁以上,0,0,0
9,chara,51,您的年龄阶段,0,未满10岁,2,2,0
9,chara,51,您的年龄阶段,1,10-14岁,1,1,0
9,chara,51,您的年龄阶段,2,15-19岁,27,23,4
9,chara,51,您的年龄阶段,3,20-24岁,21,16,5
9,chara,51,您的年龄阶段,4,25-29岁,3,3,0
9,chara,51,您的年龄阶段,5,30-40岁,0,0,0
9,chara,51,您的年龄阶段,6,40岁以上,0,0,0
9,chara,52,您的年龄阶段,0,未满10岁,0,0,0
9,chara,52,您的年龄阶段,1,10-14岁,26,11,15
9,chara,52,您的年龄阶段,2,15-19岁,230,174,56
9,chara,52,您的年龄阶段,3,20-24岁,148,123,25
9,chara,52,您的年龄阶段,4,25-29岁,19,16,3
9,chara,52,您的年龄阶段,5,30-40岁,4,3,1
9,chara,52,您的年龄阶段,6,40岁以上,0,0,0
9,chara,53,您的年龄阶段,0,未满10岁,0,0,0
9,chara,53,您的年龄阶段,1,10-14岁,6,5,1
9,chara,53,您的年龄阶段,2,15-19岁,64,54,10
9,chara,53,您的年龄阶段,3,20-24岁,54,45,9
9,chara,53,您的年龄阶段,4,25-29岁,8,7,1
9,chara,53,您的年龄阶段,5,30-40岁,4,3,1
9,chara,53,您的年龄阶段,6,40岁以上,0,0,0
9,chara,54,您的年龄阶段,0,未满10岁,2,2,0
9,chara,54,您的年龄阶段,1,10-14岁,82,59,23
9,chara,54,您的年龄阶段,2,15-19岁,1172,1028,144
9,chara,54,您的年龄阶段,3,20-24岁,746,655,91
9,chara,54,您的年龄阶段,4,25-29岁,90,82,8
9,chara,54,您的年龄阶段,5,30-40岁,16,14,2
9,chara,54,您的年龄阶段,6,40岁以上,3,1,2
9,chara,55,您的年龄阶段,0,未满10岁,3,3,0
9,chara,55,您的年龄阶段,1,10-14岁,14,9,5
9,chara,55,您的年龄阶段,2,15-19岁,199,180,19
9,chara,55,您的年龄阶段,3,20-24岁,162,143,19
9,chara,55,您的年龄阶段,4,25-29岁,21,20,1
9,chara,55,您的年龄阶段,5,30-40岁,5,4,1
9,chara,55,您的年龄阶段,6,40岁以上,1,0,1
9,chara,56,您的年龄阶段,0,未满10岁,2,1,1
9,chara,56,您的年龄阶段,1,10-14岁,30,19,11
9,chara,56,您的年龄阶段,2,15-19岁,288,256,32
9,chara,56,您的年龄阶段,3,20-24岁,130,114,16
9,chara,56,您的年龄阶段,4,25-29岁,14,13,1
9,chara,56,您的年龄阶段,5,30-40岁,4,4,0
9,chara,56,您的年龄阶段,6,40岁以上,0,0,0
9,chara,57,您的年龄阶段,0,未满10岁,5,4,1
9,chara,57,您的年龄阶段,1,10-14岁,151,104,47
9,chara,57,您的年龄阶段,2,15-19岁,1799,1553,246
9,chara,57,您的年龄阶段,3,20-24岁,919,801,118
9,chara,57,您的年龄阶段,4,25-29岁,107,98,9
9,chara,57,您的年龄阶段,5,30-40岁,22,20,2
9,chara,57,您的年龄阶段,6,40岁以上,1,0,1
9,chara,58,您的年龄阶段,0,未满10岁,1,1,0
9,chara,58,您的年龄阶段,1,10-14岁,8,5,3
9,chara,58,您的年龄阶段,2,15-19岁,71,62,9
9,chara,58,您的年龄阶段,3,20-24岁,51,37,14
9,chara,58,您的年龄阶段,4,25-29岁,4,4,0
9,chara,58,您的年龄阶段,5,30-40岁,1,1,0
9,chara,58,您的年龄阶段,6,40岁以上,0,0,0
9,chara,59,您的年龄阶段,0,未满10岁,2,2,0
9,chara,59,您的年龄阶段,1,10-14岁,37,25,12
9,chara,59,您的年龄阶段,2,15-19岁,535,501,34
9,chara,59,您的年龄阶段,3,20-24岁,337,322,15
9,chara,59,您的年龄阶段,4,25-29岁,35,35,0
9,chara,59,您的年龄阶段,5,30-40岁,9,8,1
9,chara,59,您的年龄阶段,6,40岁以上,1,1,0
9,chara,60,您的年龄阶段,0,未满10岁,0,0,0
9,chara,60,您的年龄阶段,1,10-14岁,1,1,0
9,chara,60,您的年龄阶段,2,15-19岁,7,5,2
9,chara,60,您的年龄阶段,3,20-24岁,2,2,0
9,chara,60,您的年龄阶段,4,25-29岁,0,0,0
9,chara,60,您的年龄阶段,5,30-40岁,0,0,0
9,chara,60,您的年龄阶段,6,40岁以上,0,0,0
9,chara,61,您的年龄阶段,0,未满10岁,1,1,0
9,chara,61,您的年龄阶段,1,10-14岁,5,3,2
9,chara,61,您的年龄阶段,2,15-19岁,67,48,19
9,chara,61,您的年龄阶段,3,20-24岁,32,25,7
9,chara,61,您的年龄阶段,4,25-29岁,7,6,1
9,chara,61,您的年龄阶段,5,30-40岁,1,1,0
9,chara,61,您的年龄阶段,6,40岁以上,0,0,0
9,chara,62,您的年龄阶段,0,未满10岁,0,0,0
9,chara,62,您的年龄阶段,1,10-14岁,9,5,4
9,chara,62,您的年龄阶段,2,15-19岁,113,80,33
9,chara,62,您的年龄阶段,3,20-24岁,57,44,13
9,chara,62,您的年龄阶段,4,25-29岁,3,2,1
9,chara,62,您的年龄阶段,5,30-40岁,0,0,0
9,chara,62,您的年龄阶段,6,40岁以上,0,0,0
9,chara,63,您的年龄阶段,0,未满10岁,0,0,0
9,chara,63,您的年龄阶段,1,10-14岁,4,0,4
9,chara,63,您的年龄阶段,2,15-19岁,40,28,12
9,chara,63,您的年龄阶段,3,20-24岁,35,25,10
9,chara,63,您的年龄阶段,4,25-29岁,4,4,0
9,chara,63,您的年龄阶段,5,30-40岁,1,1,0
9,chara,63,您的年龄阶段,6,40岁以上,0,0,0
9,chara,64,您的年龄阶段,0,未满10岁,0,0,0
9,chara,64,您的年龄阶段,1,10-14岁,25,14,11
9,chara,64,您的年龄阶段,2,15-19岁,282,221,61
9,chara,64,您的年龄阶段,3,20-24岁,199,167,32
9,chara,64,您的年龄阶段,4,25-29岁,26,20,6
9,chara,64,您的年龄阶段,5,30-40岁,13,13,0
9,chara,64,您的年龄阶段,6,40岁以上,1,0,1
9,chara,65,您的年龄阶段,0,未满10岁,1,1,0
9,chara,65,您的年龄阶段,1,10-14岁,25,13,12
9,chara,65,您的年龄阶段,2,15-19岁,193,162,31
9,chara,65,您的年龄阶段,3,20-24岁,105,95,10
9,chara,65,您的年龄阶段,4,25-29岁,8,8,0
9,chara,65,您的年龄阶段,5,30-40岁,0,0,0
9,chara,65,您的年龄阶段,6,40岁以上,0,0,0
9,chara,66,您的年龄阶段,0,未满10岁,0,0,0
9,chara,66,您的年龄阶段,1,10-14岁,1,0,1
9,chara,66,您的年龄阶段,2,15-19岁,5,3,2
9,chara,66,您的年龄阶段,3,20-24岁,2,2,0
9,chara,66,您的年龄阶段,4,25-29岁,0,0,0
9,chara,66,您的年龄阶段,5,30-40岁,0,0,0
9,chara,66,您的年龄阶段,6,40岁以上,0,0,0
9,chara,67,您的年龄阶段,0,未满10岁,0,0,0
9,chara,67,您的年龄阶段,1,10-14岁,0,0,0
