round,group,question,public_token,included_in_item_detail
7,3,在创作过程中遇到过什么样的困难,6f9696f5c0aa6074348b899f33befM5WpmBW33be,False
7,3,停止创作的直接原因是,971619f064a945078284f9158e4efwH0BoPi8e4e,False
7,3,原作和二次同人您更热衷于,36d16e4c63906453136ac55b9ed9UZcdo5Of9ed9,True
7,3,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,ffc7c35fce41b2c0f0f4f3eb163anCxGRMtc163a,True
7,3,购买周边的时候是否会介意它是否是盗版或存在盗图情况,cf4e10edc70f06fe722f4460af81vMx2pMfMaf81,False
7,3,是否购买过盗版的东方相关画集,49dad0f82db2a3c073293f52be42Rwd2hOt2be42,False
7,4,是否参加过东方专门同人展,c9c6399841dbdd88e1bc22031b548zgNIDKR1b54,True
7,4,过去一年内有没有参加过东方专门同人展,2121006448b9c00e150923451394hQPQrYhm1394,False
7,4,没有参加过展会的原因是,3d0687015c93367b72128d3b9e09OTwlSr8B9e09,False
7,4,是否只考虑参加本地或附近地区的同人展,d7f1c7c4d80f3e5df911b98c677bGxoxmRIJ677b,False
7,4,浏览东方project主题站点的频率如何,14ac7aac82fb018a02c5ef645ce9xULINkji5ce9,False
7,4,平日里接触东方信息的渠道是,dfb89cc6efc90d8129761cbd7c68LUj0DKtq7c68,False
7,4,是否会主动向周围的人介绍东方Project,c5818ad103f5321952e69665f4b6byzONUhaf4b6,True
7,4,选择了什么方式去介绍,3e93bf3bef5fb0f41548c0ebbe05TSNaD4ribe05,False
7,4,介绍的效果如何,c300f96139a9696f852b65d15538AzuvoNIb5538,False
7,5,请问您是否知道「THBWiki」的官方新浪微博,qppmooteiy0x1qe4e2w0vueu176c55MXYnABzVU8,False
7,5,请问您是否使用本活动所属的主网站「THBWiki」,077e93f934d8685a1e64695bdf0bSBkZOTOtdf0b,False
7,5,请问您本次是第几次参与中文东方Project人气投票,a30f3118b53c9d8c9009d26f4a8dqB8li3YV4a8d,False
