region,round,category,valid_vote_count,valid_primary_count,respondent_count,source_type,source_path,notes
cn,8,character,8135,7908,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,
cn,8,cp,6153,5779,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_08/raw/pages/cp/index.html,
cn,8,music,6805,6478,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_08/raw/pages/music/index.html,
cn,8,work,6171,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_08/raw/pages/work/index.html,
cn,9,character,11351,11004,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_09/raw/pages/chara/index.html,
cn,9,cp,8281,7781,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_09/raw/pages/cp/index.html,
cn,9,music,9201,8759,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_09/raw/pages/music/index.html,
cn,9,work,8204,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_09/raw/pages/work/index.html,
jp,3,character,4942,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_03/aggregate/index.html,
jp,3,music,3525,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_03/aggregate/index.html,
jp,3,spell,2636,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_03/aggregate/index.html,
jp,4,character,4426,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_04/aggregate/index.html,
jp,4,music,3801,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_04/aggregate/index.html,
jp,5,character,12220,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_05/aggregate/index.html,
jp,5,music,10787,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_05/aggregate/index.html,
jp,6,character,22087,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_06/aggregate/index.html,
jp,6,music,18774,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_06/aggregate/index.html,
jp,7,character,33449,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_07/aggregate/index.html,
jp,7,music,28110,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_07/aggregate/index.html,
jp,8,character,35946,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_08/aggregate/index.html,
jp,8,music,29285,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_08/aggregate/index.html,
jp,9,character,43737,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_09/aggregate/index.html,
jp,9,music,32842,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_09/aggregate/index.html,
jp,10,character,31040,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_10/aggregate/index.html,
jp,10,music,23283,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_10/aggregate/index.html,
jp,11,character,32244,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_11/aggregate/index.html,
jp,11,music,20843,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_11/aggregate/index.html,
jp,12,character,42419,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_12/aggregate/index.html,
jp,12,music,32356,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_12/aggregate/index.html,
jp,12,work,24742,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_12/aggregate/index.html,
jp,13,character,36727,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_13/aggregate/index.html,
jp,13,music,27694,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_13/aggregate/index.html,
jp,13,partner,24241,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_13/aggregate/index.html,
jp,13,work,21222,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_13/aggregate/index.html,
jp,14,character,32065,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_14/aggregate/index.html,
jp,14,music,23648,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_14/aggregate/index.html,
jp,14,work,18470,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_14/aggregate/index.html,
jp,15,character,23883,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_15/aggregate/index.html,
jp,15,music,17951,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_15/aggregate/index.html,
jp,15,work,13946,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_15/aggregate/index.html,
jp,16,character,34573,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_16/aggregate/index.html,
jp,16,music,25919,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_16/aggregate/index.html,
jp,16,work,19274,,,jp_legacy_official_summary,data_raw/jp_official_legacy/round_16/aggregate/index.html,
jp,17,character,40363,,,jp_modern_official_count_json,data_raw/jp_official/round_17/aggregate/count.json,count.json category total
jp,17,music,30104,,,jp_modern_official_count_json,data_raw/jp_official/round_17/aggregate/count.json,count.json category total
jp,17,work,23047,,,jp_modern_official_count_json,data_raw/jp_official/round_17/aggregate/count.json,count.json category total
jp,18,character,51652,,,jp_modern_official_count_json,data_raw/jp_official/round_18/aggregate/count.json,count.json category total
jp,18,music,37659,,,jp_modern_official_count_json,data_raw/jp_official/round_18/aggregate/count.json,count.json category total
jp,18,work,28558,,,jp_modern_official_count_json,data_raw/jp_official/round_18/aggregate/count.json,count.json category total
jp,19,character,52447,,,jp_modern_official_count_json,data_raw/jp_official/round_19/aggregate/count.json,count.json category total
jp,19,music,36451,,,jp_modern_official_count_json,data_raw/jp_official/round_19/aggregate/count.json,count.json category total
jp,19,work,28171,,,jp_modern_official_count_json,data_raw/jp_official/round_19/aggregate/count.json,count.json category total
jp,20,character,56855,,,jp_modern_official_count_json,data_raw/jp_official/round_20/aggregate/count.json,count.json category total
jp,20,music,37742,,,jp_modern_official_count_json,data_raw/jp_official/round_20/aggregate/count.json,count.json category total
jp,20,work,29083,,,jp_modern_official_count_json,data_raw/jp_official/round_20/aggregate/count.json,count.json category total
jp,21,character,58509,,,jp_modern_official_count_json,data_raw/jp_official/round_21/aggregate/count.json,count.json category total
jp,21,music,37970,,,jp_modern_official_count_json,data_raw/jp_official/round_21/aggregate/count.json,count.json category total
jp,21,work,29791,,,jp_modern_official_count_json,data_raw/jp_official/round_21/aggregate/count.json,count.json category total
