original_path,archive_path,bytes,sha256,reason,replacement_or_reference,archived_at
"CharacterTagAnalyze-tfidf.py","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-tfidf.py","4938","a308ac06fda09bc16b6dbfe01cda50a55c0c68ed30fae926d9742c9cad976a96","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"TagGetMoeWiki.py","archive_legacy/tag_analysis_v1/TagGetMoeWiki.py","3685","534ade20dfe5148153a7138e68400670e48985d2e216afa6ed979bf2e6eb812b","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/爱丽丝·玛格特洛依德_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/爱丽丝·玛格特洛依德_combined_top20_freq.csv","251","453cac3d1f04d88c8260408acfbe146df00ad86dfd6cea8360a5a85e5494f610","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/爱丽丝·玛格特洛依德_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/爱丽丝·玛格特洛依德_combined_wordcloud_freq.png","318233","0b383552ff95090340e47a8a526c93bee1be957bb6adffb8679d077c9ca26416","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/爱塔妮缇拉尔瓦_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/爱塔妮缇拉尔瓦_combined_top20_freq.csv","240","0cb66038110da871d3789e267e2188155b8941e949b04dec5b84bd1963978751","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/爱塔妮缇拉尔瓦_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/爱塔妮缇拉尔瓦_combined_wordcloud_freq.png","342671","b966e3964a5f2b956513f63757873fb55d9cc9283755c5df6b072236bb7cfd28","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八坂神奈子_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八坂神奈子_combined_top20_freq.csv","240","4c7b63cac6189504045760de2ff54a7d95f52435fdc5f545682a1817c1e22af3","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八坂神奈子_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八坂神奈子_combined_wordcloud_freq.png","317827","bf40bd7f65c32aa87862a5d0c6a6c4e07833514ee03803a148eee10c2a9b056a","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八意永琳_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八意永琳_combined_top20_freq.csv","237","f2db3b24063e2ad9037795bff303e693400d8d1a016a50ae5e1fa601bcb93a7f","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八意永琳_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八意永琳_combined_wordcloud_freq.png","324067","5775a56ecb91bf709ad1d306105fa945cdbf3dd756db690221dd117765ba39ee","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八云蓝_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八云蓝_combined_top20_freq.csv","242","20837768bbcf1c8286dd7333ae2ad6785cc50b7f815c3a393a0566b9d381fc07","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八云蓝_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八云蓝_combined_wordcloud_freq.png","304767","e3a04b950c923622d2d76f1744c07d7a5f02a840fa72e9ab42b25c803523a9a7","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八云紫_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八云紫_combined_top20_freq.csv","243","3e70cd55e8e595cd19e3fffe77806df96190b472636db6e7c6322abcbac3fb0c","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/八云紫_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/八云紫_combined_wordcloud_freq.png","304305","e02f33200393bc15231b7d82f299de62f9bff24b4232316abaa159d4f8a7cc1e","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/坂田合欢_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/坂田合欢_combined_top20_freq.csv","227","e90c94f27e9bd62520ec4f9cdce0f812446aa8dd06acc6cce554684e0a718365","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/坂田合欢_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/坂田合欢_combined_wordcloud_freq.png","336554","fd487b957b856fcb381f3d7e37123bacc04cdf977c58f2b3f59e75dbe16beb65","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/比那名居天子_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/比那名居天子_combined_top20_freq.csv","245","39f4d6d29de9a3f32fbd6284b4e456d3280896d63e4d3732fb169a3da611ec75","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/比那名居天子_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/比那名居天子_combined_wordcloud_freq.png","323960","37f657b6ef59951c913610e2aed0e9a373ff45ee9d55da76cc45ec331e724e0a","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/博丽灵梦_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/博丽灵梦_combined_top20_freq.csv","252","ec217c68c39b2054e6a3b5dfae40b6cac536b7d0c6a9724b81a40f1b05374f8b","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/博丽灵梦_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/博丽灵梦_combined_wordcloud_freq.png","278789","5c7d4dcf21da26d33be3157af6315ccc77d02a8c4524b115fbbdca5fbc14f7d7","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/橙_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/橙_combined_top20_freq.csv","228","99a10e25b77dd667251cc878a757366209878f006bde3290ecddeba44f4025e3","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/橙_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/橙_combined_wordcloud_freq.png","294729","763e6eb259f40ae9e09250db883c9b7d4e6ef74a5de922f500657ede39eea536","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/赤蛮奇_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/赤蛮奇_combined_top20_freq.csv","235","fa8a136b8426671a0716eb525f955cbc1620c7a6cd0a234d156752e37e210c2a","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/赤蛮奇_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/赤蛮奇_combined_wordcloud_freq.png","320888","dd7a2895ac889766ca68d65403c3232b85b1b1acb164eef382ed62ec119e083f","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/纯狐_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/纯狐_combined_top20_freq.csv","231","4e72313e98033218530c084ae7cfb4c9f6613b4e0afeb09401b66a3ff80ab130","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/纯狐_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/纯狐_combined_wordcloud_freq.png","315833","ae7964ff149914c847e081b2894982ef593259801c40bb51f3d5eced689929db","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/茨木华扇_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/茨木华扇_combined_top20_freq.csv","239","2cdd4bbe3bc48b535266ca6677ebfc1bf71e346bd5966aadecc5bb490cd8658b","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/茨木华扇_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/茨木华扇_combined_wordcloud_freq.png","305844","e6705ef904eb6b9ec0672293e543da98f0586467a9e4b32a0e7a4a52c312c270","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/村纱水蜜_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/村纱水蜜_combined_top20_freq.csv","245","18c698c16df2b5e7f09c834ae0deec459144a4d94a166fc1e397418926820d8d","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/村纱水蜜_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/村纱水蜜_combined_wordcloud_freq.png","317599","38693c836e6e6240decb9e335c13a06135fb02277b92226aef6d478d2f4111fb","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/大妖精_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/大妖精_combined_top20_freq.csv","222","42772b558e53b300145759ddff59b0ddbf3d03f58f763c8faae28031d2c90901","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/大妖精_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/大妖精_combined_wordcloud_freq.png","312645","44fe00eef20d20a161fe62ef44b5a73b58ccd64fc329e065a531992b212a5cc9","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/丁礼田舞_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/丁礼田舞_combined_top20_freq.csv","233","78ae7420526c962bc72754a66a44ce15f1c1ef5c9549fbea03e95699e350bcd0","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/丁礼田舞_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/丁礼田舞_combined_wordcloud_freq.png","314010","6062f2717ab44ed49d1ef293f8ba00dd243bdee0e1279a252c9bf0e0308e61cf","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/东风谷早苗_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/东风谷早苗_combined_top20_freq.csv","241","1ec5ffac4a2383f19c43c9f41007106a146c9edbcff8a129895cce33c86e4e1e","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/东风谷早苗_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/东风谷早苗_combined_wordcloud_freq.png","309612","495ae3b7614c6406c0bd122a81316a208ddeb249d766fbeba81ffe0766c62009","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/多多良小伞_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/多多良小伞_combined_top20_freq.csv","250","80564a2f0f2cfc33c2a2b17e880d6402f183d65eb58167e4d3ae9b9a6f563771","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/多多良小伞_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/多多良小伞_combined_wordcloud_freq.png","307046","f4059b2e02d734363a10a41e1cb4f65fc714552e6987ca8620a1fe726f717629","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/哆来咪·苏伊特_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/哆来咪·苏伊特_combined_top20_freq.csv","243","709231ba1c4faa4be9603b6d2cdc7188b53789835ece1acc810118e72cd0ce91","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/哆来咪·苏伊特_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/哆来咪·苏伊特_combined_wordcloud_freq.png","303483","c6acbe9f7eaf481619d1f8d507aa9ba2b347d1d68a5728edbf7a74db8ea03d28","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/尔子田里乃_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/尔子田里乃_combined_top20_freq.csv","227","89682254c3df3f3851fc1610763c2dbec5e4d396cf945a86b965b4795352fe29","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/尔子田里乃_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/尔子田里乃_combined_wordcloud_freq.png","321075","2bb78a27ef0178ce981287ae6aadb5997591cc5540d6601f2c232a34f0e55da8","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/二岩猯藏_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/二岩猯藏_combined_top20_freq.csv","252","5d1a51a42136e96c3896dc0ce152b91e679281ef08983f0928aa22252f1f7284","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/二岩猯藏_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/二岩猯藏_combined_wordcloud_freq.png","321172","1f76d70eda7cdbaba30c33cce59827f60813fecf8e526f487b171aa1d7ce6989","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/饭纲丸龙_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/饭纲丸龙_combined_top20_freq.csv","216","5af97c0492013dbde5d1035598351ba18024444e0fd0cbeb95cf2aa97cee1b4d","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/饭纲丸龙_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/饭纲丸龙_combined_wordcloud_freq.png","318183","4d25957fae0ebe158d9da861d9827611e644bcbd31a9e8a1f75e4b79467bb1b4","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/丰聪耳神子_combined_top20_freq.csv","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/丰聪耳神子_combined_top20_freq.csv","253","1d2ddcdafeb2fd9c0d3e392f3b2bc4d1eea81f44dba573c661e3f430cfd6ec24","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-results-freq/丰聪耳神子_combined_wordcloud_freq.png","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-results-freq/丰聪耳神子_combined_wordcloud_freq.png","304381","50141b424d7366fe92ddc96cb8915233746ffe77dac0573be8f9dda852f66ca7","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
