region,round,round_status,poll_period,character_cn,character_cn_raw,character_jp,rank,candidate_count,top_percentile,points_jp,primary_jp,official_support_jp,votes_cn,primary_cn,weighted_score_cn,community_event_count,community_event_ids,community_platforms,comment_or_danmaku_sample_count,evidence_status,timeline_limit
cn,1,complete,,琪露诺,琪露诺,,11,138,92.7007,,,,892,200,1092,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,魂魄妖梦,魂魄妖梦,,12,138,91.9708,,,,885,187,1072,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,东风谷早苗,东风谷早苗,,13,138,91.2409,,,,756,153,909,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,射命丸文,射命丸文,,14,138,90.5109,,,,681,142,823,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,古明地觉,古明地觉,,15,138,89.781,,,,664,148,812,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,伊吹萃香,伊吹萃香,,16,138,89.0511,,,,646,109,755,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,风见幽香,风见幽香,,17,138,88.3212,,,,560,104,664,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,铃仙·优昙华院·因幡,铃仙·优昙华院·因幡,,18,138,87.5912,,,,544,83,627,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,古明地恋,古明地恋,,19,138,86.8613,,,,519,68,587,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,比那名居天子,比那名居天子,,20,138,86.1314,,,,496,73,569,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,蓬莱山辉夜,蓬莱山辉夜,,21,138,85.4015,,,,474,97,571,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,键山雏,键山雏,,22,138,84.6715,,,,438,79,517,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,红美铃,红美铃,,23,138,83.9416,,,,427,76,503,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,洩矢诹访子,洩矢诹访子,,24,138,83.2117,,,,361,61,422,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,四季映姬·夜摩仙那度,四季映姬·夜摩仙那度,,25,138,82.4818,,,,340,36,376,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,上白泽慧音,上白泽慧音,,26,138,81.7518,,,,309,35,344,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,灵乌路空,灵乌路空,,27,138,81.0219,,,,301,68,369,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,露米娅,露米娅,,28,138,80.292,,,,267,39,306,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,圣白莲,圣白莲,,29,138,79.562,,,,241,37,278,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,八云蓝,八云蓝,,30,138,78.8321,,,,240,42,282,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,多多良小伞,多多良小伞,,31,138,78.1022,,,,193,19,212,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,封兽鵺,封兽鵺,,32,138,77.3723,,,,175,28,203,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,小野塚小町,小野塚小町,,33,138,76.6423,,,,173,20,193,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,霍青娥,霍青娥,,34,138,75.9124,,,,170,11,181,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,八意永琳,八意永琳,,35,138,75.1825,,,,159,19,178,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,犬走椛,犬走椛,,35,138,75.1825,,,,159,27,186,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,物部布都,物部布都,,37,138,73.7226,,,,147,23,170,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,茨木华扇,茨木华扇,,38,138,72.9927,,,,143,14,157,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,橙,橙,,39,138,72.2628,,,,131,11,142,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,火焰猫燐,火焰猫燐,,39,138,72.2628,,,,131,9,140,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,宇佐见莲子,宇佐见莲子,,41,138,70.8029,,,,128,18,146,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,丰聪耳神子,丰聪耳神子,,42,138,70.073,,,,126,17,143,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,稗田阿求,稗田阿求,,42,138,70.073,,,,126,20,146,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,水桥帕露西,水桥帕露西,,44,138,68.6131,,,,124,17,141,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,森近霖之助,森近霖之助,,45,138,67.8832,,,,119,22,141,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,河城荷取,河城荷取,,46,138,67.1533,,,,116,17,133,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,永江衣玖,永江衣玖,,47,138,66.4234,,,,111,16,127,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,星熊勇仪,星熊勇仪,,48,138,65.6934,,,,108,12,120,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,神绮,神绮,,49,138,64.9635,,,,102,11,113,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,八坂神奈子,八坂神奈子,,50,138,64.2336,,,,100,9,109,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,因幡天为（因幡帝）,因幡天为（因幡帝）,,51,138,63.5036,,,,99,11,110,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,姬海棠果,姬海棠果,,52,138,62.7737,,,,97,8,105,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,玛艾露贝莉·赫恩,玛艾露贝莉·赫恩,,53,138,62.0438,,,,92,12,104,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,小恶魔,小恶魔,,54,138,61.3139,,,,89,13,102,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,爱丽丝的人偶（上海、蓬莱、大江户等）,人形（含上海人形、哥利亚人形）,,55,138,60.5839,,,,83,8,91,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,米斯蒂娅·萝蕾拉,米斯蒂娅·萝蕾拉,,56,138,59.854,,,,82,16,98,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,毛玉,毛玉,,57,138,59.1241,,,,71,8,79,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,大妖精,大妖精,,58,138,58.3942,,,,70,8,78,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,魅魔,魅魔,,58,138,58.3942,,,,70,10,80,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,冈崎梦美,冈崎梦美,,60,138,56.9343,,,,61,8,69,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,冴月麟,冴月麟,,61,138,56.2044,,,,60,6,66,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,苏我屠自古,苏我屠自古,,62,138,55.4745,,,,59,7,66,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,村纱水蜜,村纱水蜜,,63,138,54.7445,,,,55,11,66,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,宫古芳香,宫古芳香,,64,138,54.0146,,,,53,7,60,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,梅蒂欣·梅兰可莉,梅蒂欣·梅兰可莉,,65,138,53.2847,,,,49,7,56,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,莉莉霍瓦特（莉莉白）,莉莉霍瓦特（莉莉白）,,66,138,52.5547,,,,44,11,55,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,寅丸星,寅丸星,,67,138,51.8248,,,,40,3,43,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,娜兹玲,娜兹玲,,68,138,51.0949,,,,39,6,45,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,二岩猯藏,二岩猯藏,,69,138,50.365,,,,37,4,41,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,魂魄妖忌,魂魄妖忌,,69,138,50.365,,,,37,4,41,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,幽谷响子,幽谷响子,,71,138,48.9051,,,,36,3,39,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,秋静叶,秋静叶,,72,138,48.1752,,,,30,1,31,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,露娜萨·普莉兹姆利巴,露娜萨·普莉兹姆利巴,,72,138,48.1752,,,,30,5,35,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,斯塔萨菲雅,斯塔萨菲雅,,74,138,46.7153,,,,28,6,34,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,秋穰子,秋穰子,,74,138,46.7153,,,,28,2,30,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,莉莉卡·普莉兹姆利巴,莉莉卡·普莉兹姆利巴,,74,138,46.7153,,,,28,3,31,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,蕾蒂·霍瓦特洛克,蕾迪·霍瓦特洛克,,77,138,44.5255,,,,27,3,30,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,幻月,幻月,,78,138,43.7956,,,,22,2,24,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,桑尼米尔克,桑尼米尔克,,78,138,43.7956,,,,22,2,24,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,莉格露·奈特巴格,莉格露·奈特巴格,,78,138,43.7956,,,,22,1,23,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,黑谷山女,黑谷山女,,78,138,43.7956,,,,22,0,22,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,绵月依姬,绵月依姬,,82,138,40.8759,,,,21,0,21,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,露娜切露德,露娜切露德,,82,138,40.8759,,,,21,2,23,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,大鲶鱼,大鲶鱼,,84,138,39.4161,,,,20,0,20,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,无名的读书妖怪（朱鹭子）,无名的读书妖怪（朱鹭子）,,84,138,39.4161,,,,20,0,20,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,梅露兰·普莉兹姆利巴,梅露兰·普莉兹姆利巴,,86,138,37.9562,,,,18,1,19,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,琪斯美,琪斯美,,86,138,37.9562,,,,18,3,21,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,绵月丰姬,绵月丰姬,,86,138,37.9562,,,,18,3,21,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,云居一轮,云居一轮,,89,138,35.7664,,,,17,2,19,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,核热造神非想天则,非想天则,,89,138,35.7664,,,,17,1,18,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,阴阳玉,阴阳玉,,91,138,34.3066,,,,15,0,15,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,卡娜·安娜贝拉尔,卡娜·安娜贝拉尔,,92,138,33.5766,,,,14,1,15,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,蕾拉·普莉兹姆利巴,蕾拉·普莉兹姆利巴,,92,138,33.5766,,,,14,0,14,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,北白河千百合,北白河千百合,,94,138,32.1168,,,,13,1,14,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,UFO,UFO,,95,138,31.3869,,,,10,2,12,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,舞,舞,,95,138,31.3869,,,,10,0,10,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,命莲,命莲,,97,138,29.927,,,,9,0,9,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,矜羯罗,矜羯罗,,97,138,29.927,,,,9,0,9,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,艾丽,艾丽,,97,138,29.927,,,,9,0,9,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,妖精（含持花妖精，僵尸妖精）,妖精（含持花妖精，僵尸妖精）,,100,138,27.7372,,,,8,1,9,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,明罗,明罗,,100,138,27.7372,,,,8,3,11,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,梦月,梦月,,102,138,26.2774,,,,7,1,8,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,玄爷,玄爷,,102,138,26.2774,,,,7,1,8,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,神玉,神玉,,102,138,26.2774,,,,7,0,7,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,雪,雪,,102,138,26.2774,,,,7,0,7,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,梦子,梦子,,106,138,23.3577,,,,6,4,10,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,爱莲,爱莲,,106,138,23.3577,,,,6,1,7,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,,108,138,21.8978,,,,5,0,5,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,胡桃,胡桃,,108,138,21.8978,,,,5,1,6,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,龙神,龙神,,108,138,21.8978,,,,5,0,5,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,云山,云山,,111,138,19.708,,,,4,0,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,朝仓理香子,朝仓理香子,,111,138,19.708,,,,4,0,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,菊理,菊理,,111,138,19.708,,,,4,1,5,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,萨丽爱尔,萨丽爱尔,,111,138,19.708,,,,4,0,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,依莉斯,依莉斯,,115,138,16.7883,,,,3,1,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,幽灵,幽灵,,115,138,16.7883,,,,3,1,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,里香,里香,,115,138,16.7883,,,,3,0,3,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,铃仙二号,Reisen,,115,138,16.7883,,,,3,1,4,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,小兔姬,小兔姬,,119,138,13.8686,,,,2,1,3,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,石长姬,石长姬,,119,138,13.8686,,,,2,0,2,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,Flower～战车,Flower～战车,,121,138,12.4088,,,,1,1,2,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,奥莲姬,奥莲姬,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,幽幻魔眼,幽玄魔眼,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,月夜见,月夜见,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,木花咲耶姬,木花咲耶姬,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,萨拉,萨拉,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,运松翁,运松翁,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,露易兹,露易兹,,121,138,12.4088,,,,1,0,1,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,久米 / 竿打,久米 / 竿打,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,咪咪号,咪咪号,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,岩笠,岩笠,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,水江浦岛子（瑞江浦岛子）,瑞江浦岛子,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,水鬼鬼神长,水鬼鬼神长,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,玛○奇,玛○奇,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,留琴,留琴,,130,138,5.8394,,,,0,0,0,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
