region,round,source_id,character_jp,character_cn,under20_rate,under20_denominator,female_rate,female_denominator,first_time_voter_rate,first_time_voter_denominator,event_participation_rate,event_participation_denominator,2019plus_cognition_rate,2019plus_cognition_denominator,source_note
jp,11,2205f0a6aaeb01,虎柄の毘沙門天,,0.410112,178,0.137363,182,0.47644,191,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,23690e4278be8f,本居 小鈴,本居小铃,0.320652,368,0.085333,375,0.226463,393,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,23829a71dad847,易者,易者,0.486486,37,0.05,40,0.538462,39,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,23d7b3ddd81ff6,さくらさくら ～ Japanize Dream...,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2417e6e0ea64cc,大神神話伝,,0.376812,138,0.2,140,0.358108,148,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,247930c074f455,藤原 妹紅,藤原妹红,0.5164,1189,0.161873,1217,0.472484,1272,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,24e71d32a0e655,ヴワル魔法図書館,,0.37234,94,0.121212,99,0.524272,103,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,254f580db72272,懐かしき東方の血 ～ Old World,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,25883a725fc437,始原のビート ～ Pristine Beat,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,265933137f61bd,キスメ,琪斯美,0.362069,58,0.086207,58,0.322034,59,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,26824272f39e96,緑眼のジェラシー,,0.376812,276,0.183746,283,0.442244,303,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,268b25be325d78,今泉 影狼,今泉影狼,0.315657,396,0.06801,397,0.263158,418,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,26930dd0edada0,いたずらに命をかけて,,0.358491,53,0.034483,58,0.389831,59,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,26bc25537ee35d,東方妖恋談,,0.254237,59,0.065574,61,0.328571,70,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2797fd109484e4,リーインカーネイション,,0.365297,219,0.114537,227,0.296296,243,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,27b2bd356c89ac,マエリベリー・ハーン,玛艾露贝莉·赫恩,0.410579,397,0.118932,412,0.320843,427,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2884c4dcd74cc3,魔術師メリー,,0.306452,62,0.208955,67,0.371429,70,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,29877b05dc362d,森近 霖之助,森近霖之助,0.408602,186,0.173469,196,0.401914,209,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,29a455eb105a0a,夜雀の歌声 ～ Night Bird,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2a3192272ac78a,キャプテン・ムラサ,,0.307018,114,0.147826,115,0.392,125,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2b8af0f168e7b3,眠れる恐怖 ～ Sleeping Terror,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2bbe6d06d21756,夢子,梦子,0.310345,29,0.064516,31,0.285714,35,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2c21141d30c95a,ハートフェルトファンシー,,0.202614,153,0.13125,160,0.211765,170,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2c32ff99ec173b,エレン,爱莲,0.684211,19,0.263158,19,0.380952,21,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2c38d7dc1ff20e,天空の花の都,,0.313901,223,0.116883,231,0.25,244,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2c611b325d0ed2,死体旅行 ～ Be of good cheer!,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2ce647ae9ab0be,エクステンドアッシュ ～ 蓬莱人,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2d3ec999147345,永遠の三日天下,,0.38843,242,0.12,250,0.296578,263,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2d4b72b4caccd2,少女綺想曲,,0.50497,503,0.117417,511,0.502836,529,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2e7b85f9e5d429,聖徳伝説 ～ True Administrator,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2f02315d15d670,ヴォヤージュ1970,,0.386555,119,0.137097,124,0.384615,130,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,302e66746458e9,ラクトガール ～ 少女密室,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,309d3bcec6188f,永遠の巫女,,0.304762,105,0.071429,112,0.275862,116,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,30e29513049967,少女幻葬 ～ Necro-Fantasy,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,319a7bfd07dc3c,不可能弾幕には反則を,,0.292135,89,0.067416,89,0.322222,90,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,33133954e6b416,小兎姫,小兔姬,0.578947,19,0.142857,21,0.3,20,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,33d2c00e12704a,紅楼 ～ Eastern Dream...,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,34055198d1683a,東方妖々夢 ～ Ancient Temple,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3582ddb03c185c,衛星カフェテラス,,0.408163,98,0.128713,101,0.203883,103,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,35d6e3e72721b6,紅 美鈴,红美铃,0.376726,507,0.100193,519,0.416058,548,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,36071f528d2683,不思議なお祓い棒,,0.341463,287,0.125424,295,0.288961,308,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,36a4b06af6e5c1,二色蓮花蝶,,0.379052,401,0.118765,421,0.298643,442,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,36b20bd120e0bc,綿月 依姫,绵月依姬,0.322835,127,0.098485,132,0.309353,139,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,37def69329f5e7,夜空のユーフォーロマンス,,0.286364,220,0.137931,232,0.243697,238,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3893368c3bd50e,秋 穣子,秋穰子,0.317647,170,0.12,175,0.302198,182,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,38a6a51e31fb31,狂気の瞳 ～ Invisible Full Moon,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3a24457f8b1a02,月まで届け、不死の煙,,0.585366,1271,0.118329,1293,0.554412,1360,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3c625dc426ee6b,月時計 ～ ルナ・ダイアル,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3f82c9b4f7cd52,エニグマティクドール,,0.445946,74,0.16,75,0.227848,79,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,3fde6fd183010e,輝く針の小人族 ～ Little Princess,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,40becc7dd5e133,ラストオカルティズム ～ 現し世の秘術師,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4125d7114fdba8,夢月,梦月,0.575,40,0.095238,42,0.333333,45,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4307aedf45dc10,キュアリアス上海古牌,,0.230769,52,0.153846,52,0.127273,55,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,44ccb53814f897,the Grimoire of Alice,,0.392562,242,0.1,250,0.333333,264,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,465d6fb01918f3,名無しの本読み妖怪,无名的读书妖怪（朱鹭子）,0.404255,47,0.102041,49,0.396226,53,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,471258e07c54f3,人恋し神様 ～ Romantic Fall,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,477e3dbd86b2b0,ツェペシュの幼き末裔,,0.415385,65,0.096774,62,0.4,70,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,491936ed1ec0a9,東方緋想天,,0.310185,216,0.045662,219,0.286957,230,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,49b3a6c26cf4d3,レイラ・プリズムリバー,蕾拉·普莉兹姆利巴,0.588235,17,0.052632,19,0.4,20,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4a4a83c72f37c4,オリエンタルダークフライト,,0.55,120,0.237705,122,0.368,125,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4cf31e6cd3dc48,御柱の墓場 ～ Grave of Being,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4d770ebc394f97,フランドール・スカーレット,芙兰朵露·斯卡蕾特,0.56179,1408,0.123422,1426,0.498008,1506,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,4dad2576b60810,幽谷 響子,幽谷响子,0.358491,212,0.022422,223,0.354978,231,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,51e6fadb3f3c2f,西行寺 幽々子,西行寺幽幽子,0.410798,852,0.10419,883,0.415669,919,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,522d5d4ed3f874,少女さとり ～ 3rd eye,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,529fd55c42da73,明治十七年の上海アリス,,0.404372,366,0.16622,373,0.435115,393,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5362c734c1ed6a,人形裁判 ～ 人の形弄びし少女,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5398bc2dac526b,幽夢 ～ Inanimate Dream,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5438e714a004fd,春の湊に,,0.295503,467,0.067901,486,0.275794,504,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,55ea5cb5cf11f0,おてんば恋娘（おてんば恋娘の冒険）,,0.577428,381,0.099502,402,0.640845,426,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5628e5114b6793,妖々夢 ～ Snow or Cherry Petal,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5679ce2086651f,黒谷 ヤマメ,黑谷山女,0.331126,151,0.077419,155,0.386905,168,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,58b9ba5c8d4677,赤蛮奇,赤蛮奇,0.359477,306,0.165584,308,0.343465,329,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,593e3d3c86bbd7,亡き王女の為のセプテット,,0.470294,1801,0.100162,1857,0.462671,1969,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,597424273aa37e,Bad Apple!!,,0.710983,173,0.101604,187,0.74359,195,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5ae9ba3e2082ef,ナズーリン,娜兹玲,0.363354,322,0.090361,332,0.357349,347,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5c92708f817fbc,あなたの町の怪事件,,0.22807,57,0.12069,58,0.183333,60,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,5dce60ef5c93ed,天衣無縫,,0.2625,80,0.066667,90,0.215054,93,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,60005ba18aa9b4,リジッドパラダイス,,0.308642,81,0.107143,84,0.467391,92,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,632461e884241b,コンガラ,矜羯罗,0.583333,24,0.28,25,0.4,25,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,63a650f491ea6f,鍵山 雛,键山雏,0.342679,321,0.134557,327,0.362069,348,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,65477f2090ab44,博麗 霊夢,博丽灵梦,0.393736,1788,0.131874,1873,0.406971,1951,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,66f2164acf652b,千年幻想郷 ～ History of the Moon,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,67f84dd61f27a1,ラストリモート,,0.378863,1003,0.081159,1035,0.360519,1079,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,68f57d4fa15ae8,多々良 小傘,多多良小伞,0.432285,731,0.061842,760,0.416562,797,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,692868016c2bff,ボーダーオブライフ,,0.367052,346,0.085227,352,0.410811,370,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,697a591ead2183,小さな小さな賢将,,0.40678,118,0.226562,128,0.419847,131,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,6a87d5c01baa87,アリスマエステラ,,0.362637,91,0.10989,91,0.25,92,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,6d7adb238ad111,東方妖怪小町,,0.472868,129,0.073529,136,0.312057,141,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7011e97e84f73e,華のさかづき大江山,,0.445122,164,0.138554,166,0.456647,173,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,70adda7114de57,秦 こころ,秦心,0.38,1000,0.076848,1028,0.330241,1078,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,70e4bd5c5c8143,宇佐見 蓮子,宇佐见莲子,0.453608,776,0.09441,805,0.359096,841,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,70ff7677433f0a,厄神様の通り道 ～ Dark Road,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,71503656433ccb,神々が恋した幻想郷,,0.419968,1262,0.088957,1304,0.43348,1368,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,71c714aee1a69e,雲居 一輪,云居一轮,0.199115,226,0.224576,236,0.272358,246,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,72a4bab0fb22dd,宮古 芳香,宫古芳香,0.389706,136,0.160584,137,0.414966,147,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7372cad04f23fa,ミスティア・ローレライ,米斯蒂娅·萝蕾拉,0.345161,310,0.05136,331,0.347953,342,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7374d221913719,幽霊客船の時空を越えた旅,,0.2891,211,0.202765,217,0.295652,230,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,73bef9136975a7,メイドと血の懐中時計,,0.570175,228,0.155844,231,0.460905,243,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,74669b29494e06,核熱造神ヒソウテンソク,核热造神非想天则,0.6,25,0.115385,26,0.481481,27,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,75058790ca250b,ポイズンボディ ～ Forsaken Doll,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,75518bf0a264bd,霊知の太陽信仰 ～ Nuclear Fusion,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,76585fd52d78a8,運命のダークサイド,,0.462963,324,0.114458,332,0.440922,347,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,76684ee5fb6ea2,明羅,明罗,0.6,20,0.3,20,0.35,20,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7688b1cce6c464,霧雨 魔理沙,雾雨魔理沙,0.492357,1570,0.167277,1638,0.489437,1704,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,76c38b7600c984,星熊 勇儀,星熊勇仪,0.375,200,0.149038,208,0.451613,217,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7835d8823d6111,二ッ岩 マミゾウ,二岩猯藏,0.258486,383,0.163265,392,0.261614,409,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,784ae5a0aab941,ほおずきみたいに紅い魂,,0.465753,146,0.100671,149,0.47205,161,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7c5c139bea709b,少名 針妙丸,少名针妙丸,0.333333,735,0.089947,756,0.289873,790,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7c7932f3c380b0,村紗 水蜜,村纱水蜜,0.414508,193,0.212871,202,0.37799,209,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7d64ae1b4f96f3,無何有の郷 ～ Deep Mountain,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7da7bb797a1363,童祭 ～ Innocent Treasures,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7e186caf8ee9af,蓬莱伝説,,0.424419,172,0.088757,169,0.320442,181,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7ec16020724fb6,十六夜 咲夜,十六夜咲夜,0.476866,1340,0.116026,1379,0.481328,1446,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7ed70e977b43ef,信仰は儚き人間の為に,,0.414443,637,0.082192,657,0.437048,691,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,7f4c837a93c319,上白沢 慧音,上白泽慧音,0.427746,346,0.164345,359,0.43883,376,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,8138350eb287f7,ヴォヤージュ1969,,0.336735,196,0.123223,211,0.309735,226,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,81a54eeb21b3ad,シンデレラケージ ～ Kagome-Kagome,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,81a99420d4570e,リバースイデオロギー,,0.376,500,0.123288,511,0.315789,551,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,825c9051e55000,君はあの影を見たか,,0.368421,76,0.051948,77,0.223684,76,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,8345e4206fd3f8,時代親父とハイカラ少女,,0.366197,71,0.094595,74,0.447368,76,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,835f1cd5f7e80f,魅魔,魅魔,0.430556,144,0.145695,151,0.393333,150,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,85865795d58d3d,メイガスナイト,,0.447402,789,0.122677,807,0.37927,849,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,85ee45d6d4ba66,永江 衣玖,永江衣玖,0.372493,349,0.049861,361,0.356771,384,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,8636566a49ce0c,霍 青娥,霍青娥,0.34,350,0.22191,356,0.336927,371,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,86fa2f108a2a84,妖々跋扈,,0.414141,99,0.132653,98,0.35514,107,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,87a013df13ddf7,豊聡耳 神子,丰聪耳神子,0.42984,563,0.215517,580,0.37,600,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,881ac584310891,万年置き傘にご注意を,,0.497608,209,0.077273,220,0.434783,230,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,89120962fdb387,天空のグリニッジ,,0.464471,577,0.140033,607,0.361199,634,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,89bc426950f7ee,ルーズレイン,,0.391892,74,0.142857,77,0.256098,82,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,8ed7b0501d9b16,魂魄 妖夢,魂魄妖梦,0.535684,1163,0.074751,1204,0.522907,1266,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,90378191a42225,九十九 弁々,九十九弁弁,0.283186,113,0.144068,118,0.290323,124,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,90a837fed0c07c,鈴仙・優曇華院・イナバ,铃仙·优昙华院·因幡,0.436856,776,0.068664,801,0.428058,834,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
