region,character_key,character_jp,character_cn,previous_round,round,round_gap,consecutive_rounds,previous_rank,rank,rank_improvement,previous_candidate_count,candidate_count,previous_top_percentile,top_percentile,top_percentile_change,interpretation_limit
cn,抗抑郁药大叔长相酷似周杰伦的村民,,抗抑郁药大叔（长相酷似周杰伦的村民）,9,10,1,True,96,143,-47.0,229,239,58.3333,40.3361,-17.9972,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,5,6,1,True,178,151,27.0,203,215,12.3762,29.9065,17.5303,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,朝仓理香子,,朝仓理香子,3,4,1,True,129,118,11.0,163,191,20.9877,38.4211,17.4334,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,米斯蒂娅萝蕾拉,,米斯蒂娅·萝蕾拉,9,10,1,True,75,37,38.0,229,239,67.5439,84.8739,17.33,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,二岩猯藏,,二岩猯藏,1,2,1,True,69,50,19.0,138,152,50.365,67.5497,17.1847,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,久米竿打,,久米 / 竿打,7,8,1,True,156,201,-45.0,218,227,28.5714,11.5044,-17.067,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,鬼人正邪,,鬼人正邪,2,3,1,True,48,24,24.0,152,163,68.8742,85.8025,16.9283,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,怨灵,,怨灵,6,7,1,True,196,162,34.0,215,218,8.8785,25.8065,16.928,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,妖怪兔,,妖怪兔,9,10,1,True,163,210,-47.0,229,239,28.9474,12.1849,-16.7625,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,7,7,0,False,153,189,-36.0,218,218,29.9539,13.3641,-16.5898,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,无名的读书妖怪朱鹭子,,无名的读书妖怪（朱鹭子）,2,3,1,True,109,90,19.0,152,163,28.4768,45.0617,16.5849,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,玄爷,,玄爷,4,5,1,True,135,111,24.0,191,203,29.4737,45.5446,16.0709,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大鲶鱼,,大鲶鱼,3,4,1,True,119,109,10.0,163,191,27.1605,43.1579,15.9974,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,矜羯罗,,矜羯罗,3,4,1,True,119,109,10.0,163,191,27.1605,43.1579,15.9974,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,幽谷响子,,幽谷响子,1,2,1,True,71,102,-31.0,138,152,48.9051,33.1126,-15.7925,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,嫦娥,,嫦娥,5,6,1,True,149,124,25.0,203,215,26.7327,42.5234,15.7907,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,导航,,导航,5,6,1,True,178,155,23.0,203,215,12.3762,28.0374,15.6612,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,座敷童子,,座敷童子,3,4,1,True,149,145,4.0,163,191,8.642,24.2105,15.5685,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,萨丽爱尔,,萨丽爱尔,1,2,1,True,111,99,12.0,138,152,19.708,35.0993,15.3913,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,命莲,,命莲,1,2,1,True,97,130,-33.0,138,152,29.927,14.5695,-15.3575,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,露易兹,,露易兹,4,5,1,True,154,133,21.0,191,203,19.4737,34.6535,15.1798,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,爱莲,,爱莲,1,2,1,True,106,94,12.0,138,152,23.3577,38.4106,15.0529,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,河童含山童,,河童（含山童）,3,4,1,True,136,131,5.0,163,191,16.6667,31.5789,14.9122,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,阴阳玉,,阴阳玉,3,4,1,True,136,131,5.0,163,191,16.6667,31.5789,14.9122,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,黄帝,,黄帝,10,11,1,True,187,227,-40.0,239,244,21.8487,6.9959,-14.8528,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,舞,,舞,7,8,1,True,132,171,-39.0,218,227,39.6313,24.7788,-14.8525,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,酒吧客人,,酒吧客人,6,7,1,True,155,189,-34.0,215,218,28.0374,13.3641,-14.6733,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,雪,,雪,2,3,1,True,121,106,15.0,152,163,20.5298,35.1852,14.6554,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,梦子,,梦子,2,3,1,True,117,102,15.0,152,163,23.1788,37.6543,14.4755,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,梦月,,梦月,3,4,1,True,124,118,6.0,163,191,24.0741,38.4211,14.347,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,伊豆能卖,,伊豆能卖,7,8,1,True,162,201,-39.0,218,227,25.8065,11.5044,-14.3021,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,稻荷大人,,稻荷大人,5,6,1,True,167,147,20.0,203,215,17.8218,31.7757,13.9539,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,庭渡久侘歌,,庭渡久侘歌,8,9,1,True,24,56,-32.0,227,229,89.823,75.8772,-13.9458,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,明罗,,明罗,3,4,1,True,119,113,6.0,163,191,27.1605,41.0526,13.8921,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,豪德寺三花,,豪德寺三花,10,11,1,True,65,100,-35.0,239,244,73.1092,59.2593,-13.8499,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,假扮魔理沙的妖狐,,假扮魔理沙的妖狐,9,10,1,True,139,178,-39.0,229,239,39.4737,25.6303,-13.8434,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,竹扫帚付丧神,,竹扫帚付丧神,9,10,1,True,189,230,-41.0,229,239,17.5439,3.7815,-13.7624,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,袈裟罗婆娑罗,,袈裟罗婆娑罗,9,10,1,True,189,230,-41.0,229,239,17.5439,3.7815,-13.7624,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,运松翁,,运松翁,9,10,1,True,189,230,-41.0,229,239,17.5439,3.7815,-13.7624,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,马凭,,马凭,9,10,1,True,189,230,-41.0,229,239,17.5439,3.7815,-13.7624,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,依莉斯,,依莉斯,1,2,1,True,115,106,9.0,138,152,16.7883,30.4636,13.6753,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,野铁炮,,野铁炮,9,10,1,True,210,187,23.0,229,239,8.3333,21.8487,13.5154,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,沓颊,,沓颊,10,11,1,True,230,202,28.0,239,244,3.7815,17.284,13.5025,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,饿神,,饿神,10,11,1,True,230,202,28.0,239,244,3.7815,17.284,13.5025,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,万岁乐,,万岁乐,5,6,1,True,158,196,-38.0,203,215,22.2772,8.8785,-13.3987,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,前鬼后鬼,,前鬼 / 后鬼,5,6,1,True,158,196,-38.0,203,215,22.2772,8.8785,-13.3987,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,邪龙,,邪龙,8,9,1,True,178,210,-32.0,227,229,21.6814,8.3333,-13.3481,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,坂田合欢,,坂田合欢,6,7,1,True,85,115,-30.0,215,218,60.7477,47.4654,-13.2823,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,戎璎花,,戎璎花,10,11,1,True,87,121,-34.0,239,244,63.8655,50.6173,-13.2482,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,胡桃,,胡桃,1,2,1,True,108,99,9.0,138,152,21.8978,35.0993,13.2015,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,9,9,0,False,180,210,-30.0,229,229,21.4912,8.3333,-13.1579,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,前鬼后鬼,,前鬼 / 后鬼,4,5,1,True,173,158,15.0,191,203,9.4737,22.2772,12.8035,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,怨灵少女,,怨灵少女,4,5,1,True,173,158,15.0,191,203,9.4737,22.2772,12.8035,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,邪眼西格玛,,邪眼西格玛,4,5,1,True,173,158,15.0,191,203,9.4737,22.2772,12.8035,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,核热造神非想天则,,核热造神非想天则,1,2,1,True,89,117,-28.0,138,152,35.7664,23.1788,-12.5876,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,本居小铃,,本居小铃,2,3,1,True,75,60,15.0,152,163,50.9934,63.5802,12.5868,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,戎璎花,,戎璎花,9,10,1,True,112,87,25.0,229,239,51.3158,63.8655,12.5497,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,姬虫百百世,,姬虫百百世,10,11,1,True,74,106,-32.0,239,244,69.3277,56.7901,-12.5376,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,座敷童子,,座敷童子,8,9,1,True,201,175,26.0,227,229,11.5044,23.6842,12.1798,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,饕餮尤魔,,饕餮尤魔,10,11,1,True,76,48,28.0,239,244,68.4874,80.6584,12.171,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,蓬莱人形封面的少女夹克子,,蓬莱人形封面的少女（夹克子）,10,11,1,True,121,94,27.0,239,244,49.5798,61.7284,12.1486,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,蓬莱人形碟面的少女label子,,蓬莱人形碟面的少女（Label子）,10,11,1,True,152,126,26.0,239,244,36.5546,48.5597,12.0051,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,咪咪号,,咪咪号,6,7,1,True,145,173,-28.0,215,218,32.7103,20.7373,-11.973,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,flower战车,,Flower～战车,5,6,1,True,178,163,15.0,203,215,12.3762,24.2991,11.9229,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,兜风四人组,,兜风四人组,5,6,1,True,178,163,15.0,203,215,12.3762,24.2991,11.9229,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大老爷,,大老爷,5,6,1,True,178,163,15.0,203,215,12.3762,24.2991,11.9229,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,白仙和尚,,白仙和尚,5,6,1,True,178,163,15.0,203,215,12.3762,24.2991,11.9229,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,天照大御神,,天照大御神,6,7,1,True,196,173,23.0,215,218,8.8785,20.7373,11.8588,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,尼西号,,尼西号,6,7,1,True,196,173,23.0,215,218,8.8785,20.7373,11.8588,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,彭祖,,彭祖,6,7,1,True,196,173,23.0,215,218,8.8785,20.7373,11.8588,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,玛奇,,玛○奇,6,7,1,True,196,173,23.0,215,218,8.8785,20.7373,11.8588,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,里香,,里香,4,5,1,True,139,124,15.0,191,203,27.3684,39.1089,11.7405,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,绵月丰姬,,绵月丰姬,3,4,1,True,101,96,5.0,163,191,38.2716,50.0,11.7284,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,留琴,,留琴,4,5,1,True,154,140,14.0,191,203,19.4737,31.1881,11.7144,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,神玉,,神玉,1,2,1,True,102,130,-28.0,138,152,26.2774,14.5695,-11.7079,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,舞,,舞,8,9,1,True,171,146,25.0,227,229,24.7788,36.4035,11.6247,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,绵月依姬,,绵月依姬,3,4,1,True,94,88,6.0,163,191,42.5926,54.2105,11.6179,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,地精,,地精,3,4,1,True,129,173,-44.0,163,191,20.9877,9.4737,-11.514,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,幽灵,,幽灵,3,4,1,True,129,173,-44.0,163,191,20.9877,9.4737,-11.514,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,玄爷,,玄爷,5,6,1,True,111,142,-31.0,203,215,45.5446,34.1121,-11.4325,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,卓柏卡布拉,,卓柏卡布拉,7,8,1,True,189,171,18.0,218,227,13.3641,24.7788,11.4147,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,酒吧客人,,酒吧客人,7,8,1,True,189,171,18.0,218,227,13.3641,24.7788,11.4147,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,丰聪耳神子,,丰聪耳神子,1,2,1,True,42,29,13.0,138,152,70.073,81.457,11.384,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,管狐,,管狐,9,10,1,True,180,161,19.0,229,239,21.4912,32.7731,11.2819,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,高丽野阿吽,,高丽野阿吽,6,7,1,True,50,75,-25.0,215,218,77.1028,65.8986,-11.2042,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,座敷童子,,座敷童子,5,6,1,True,140,172,-32.0,203,215,31.1881,20.0935,-11.0946,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,冈崎梦美,,冈崎梦美,2,3,1,True,53,39,14.0,152,163,65.5629,76.5432,10.9803,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大鲶鱼,,大鲶鱼,1,2,1,True,84,109,-25.0,138,152,39.4161,28.4768,-10.9393,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,无名的读书妖怪朱鹭子,,无名的读书妖怪（朱鹭子）,1,2,1,True,84,109,-25.0,138,152,39.4161,28.4768,-10.9393,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,八尺大人,,八尺大人,6,7,1,True,163,189,-26.0,215,218,24.2991,13.3641,-10.935,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大老爷,,大老爷,6,7,1,True,163,189,-26.0,215,218,24.2991,13.3641,-10.935,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,云山,,云山,3,4,1,True,115,114,1.0,163,191,29.6296,40.5263,10.8967,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,ufo,,UFO,1,2,1,True,95,121,-26.0,138,152,31.3869,20.5298,-10.8571,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,留琴,,留琴,10,11,1,True,161,138,23.0,239,244,32.7731,43.6214,10.8483,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,久米竿打,,久米 / 竿打,3,4,1,True,149,154,-5.0,163,191,8.642,19.4737,10.8317,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,留琴,,留琴,3,4,1,True,149,154,-5.0,163,191,8.642,19.4737,10.8317,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,管狐,,管狐,3,4,1,True,149,154,-5.0,163,191,8.642,19.4737,10.8317,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,萨拉,,萨拉,3,4,1,True,149,154,-5.0,163,191,8.642,19.4737,10.8317,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,野槌,,野槌,3,4,1,True,149,154,-5.0,163,191,8.642,19.4737,10.8317,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,杀死大老爷的侍童,,杀死大老爷的侍童,8,9,1,True,163,189,-26.0,227,229,28.3186,17.5439,-10.7747,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,咪咪号,,咪咪号,3,4,1,True,136,139,-3.0,163,191,16.6667,27.3684,10.7017,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,岩笠,,岩笠,3,4,1,True,136,139,-3.0,163,191,16.6667,27.3684,10.7017,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,阿菊,,阿菊,4,5,1,True,137,167,-30.0,191,203,28.4211,17.8218,-10.5993,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,毛玉,,毛玉,10,11,1,True,114,142,-28.0,239,244,52.521,41.9753,-10.5457,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,万岁乐,,万岁乐,9,10,1,True,169,201,-32.0,229,239,26.3158,15.9664,-10.3494,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,菊理,,菊理,7,8,1,True,173,157,16.0,218,227,20.7373,30.9735,10.2362,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,阿菊,,阿菊,5,6,1,True,167,155,12.0,203,215,17.8218,28.0374,10.2156,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,玛艾露贝莉赫恩,,玛艾露贝莉·赫恩,1,2,1,True,53,43,10.0,138,152,62.0438,72.1854,10.1416,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,小兔姬,,小兔姬,3,4,1,True,124,126,-2.0,163,191,24.0741,34.2105,10.1364,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,核热造神非想天则,,核热造神非想天则,3,4,1,True,124,126,-2.0,163,191,24.0741,34.2105,10.1364,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,雪,,雪,5,6,1,True,145,132,13.0,203,215,28.7129,38.785,10.0721,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,蕾拉普莉兹姆利巴,,蕾拉·普莉兹姆利巴,2,3,1,True,114,106,8.0,152,163,25.1656,35.1852,10.0196,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,8,9,1,True,201,180,21.0,227,229,11.5044,21.4912,9.9868,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,管狐,,管狐,8,9,1,True,201,180,21.0,227,229,11.5044,21.4912,9.9868,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,6,7,1,True,172,153,19.0,215,218,20.0935,29.9539,9.8604,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,ufo,,UFO,3,4,1,True,115,116,-1.0,163,191,29.6296,39.4737,9.8441,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,6,6,0,False,151,172,-21.0,215,215,29.9065,20.0935,-9.813,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大老爷,,大老爷,10,11,1,True,199,227,-28.0,239,244,16.8067,6.9959,-9.8108,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,ufo,,UFO,8,9,1,True,150,129,21.0,227,229,34.0708,43.8596,9.7888,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,八尺大人,,八尺大人,9,10,1,True,210,196,14.0,229,239,8.3333,18.0672,9.7339,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,玉造魅须丸,,玉造魅须丸,10,11,1,True,122,148,-26.0,239,244,49.1597,39.5062,-9.6535,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,云居一轮,,云居一轮,8,9,1,True,113,92,21.0,227,229,50.4425,60.0877,9.6452,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,大鹫灵,,大鹫灵,10,11,1,True,210,191,19.0,239,244,12.1849,21.8107,9.6258,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,牛崎润美,,牛崎润美,8,9,1,True,122,145,-23.0,227,229,46.4602,36.8421,-9.6181,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,永江衣玖,,永江衣玖,4,5,1,True,71,56,15.0,191,203,63.1579,72.7723,9.6144,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,奥莲姬,,奥莲姬,4,5,1,True,139,167,-28.0,191,203,27.3684,17.8218,-9.5466,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,绿巨人,,绿巨人,10,11,1,True,185,212,-27.0,239,244,22.6891,13.1687,-9.5204,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,苏格拉底,,苏格拉底,5,6,1,True,158,147,11.0,203,215,22.2772,31.7757,9.4985,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,卓柏卡布拉,,卓柏卡布拉,9,10,1,True,171,201,-30.0,229,239,25.4386,15.9664,-9.4722,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,兜风四人组,,兜风四人组,7,8,1,True,162,190,-28.0,218,227,25.8065,16.3717,-9.4348,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
