snapshot_time,rank,twitter_ballot_self_report_count,character_jp_raw,character_cn,source_url,source_image_url,transcription_method,metric_note,observed_at,final_jp14_rank,final_jp14_points,final_jp14_primary_num,final_jp14_candidate_count,final_rank_minus_snapshot_rank,join_status,alignment_note
2018-01-16 00:00,11,229,依神紫苑,依神紫苑,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,15,4045,277,186,4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,12,224,古明地さとり,古明地觉,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,8,5371,745,186,-4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,13,211,藤原妹紅,藤原妹红,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,10,5144,828,186,-3,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,14,208,アリス・マーガトロイド,爱丽丝·玛格特洛依德,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,9,5148,939,186,-5,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,15,190,東風谷早苗,东风谷早苗,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,14,4306,800,186,-1,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,16,189,宇佐見蓮子,宇佐见莲子,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,26,2678,283,186,10,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,17,170,洩矢諏訪子,洩矢诹访子,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,32,2383,321,186,15,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,18,162,多々良小傘,多多良小伞,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,20,3115,450,186,2,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,19,159,秦こころ,秦心,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,17,3646,335,186,-2,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,20,157,鈴仙・優曇華院・イナバ,铃仙·优昙华院·因幡,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,16,3716,439,186,-4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,21,141,稀神探女,稀神探女,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,28,2577,211,186,7,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,22,139,西行寺幽々子,西行寺幽幽子,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,18,3642,589,186,-4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,23,137,鬼人正邪,鬼人正邪,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,30,2555,416,186,7,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,24,136,パチュリー・ノーレッジ,帕秋莉·诺蕾姬,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,21,3022,403,186,-3,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
